pathway_description	BS_VJVDJABP	BS_NKEAAFMW	BS_K81DR8XG	BS_2Z1MKS84	BS_77317DY4	BS_4D9DD103	BS_5VQP0E6K	BS_YETBN0RQ	BS_K3ER45RV	BS_M84H3KXA	BS_HB03GSHF	BS_JZRM1S3T	BS_JTMXAMB7
KEGG_ABC_TRANSPORTERS	0.05217043259388145	0.025944426626795233	-0.030547967032585055	0.01738539694328484	0.057181424241415084	0.009878008929165408	0.0014035079896935888	-0.008692812841583493	-0.009678793316489482	0.0010268064656248355	-0.008639953370304416	-0.012509117703053699	0.020494083494854314
KEGG_ACUTE_MYELOID_LEUKEMIA	0.23006308002649825	0.23055053038622828	0.2655563436757825	0.23128063571581925	0.21780363712973586	0.23534705833449043	0.22388049569116097	0.22788088349668595	0.21935773871046169	0.20084248347452577	0.2502396449242415	0.23135883397825172	0.1979888916671604
KEGG_ADHERENS_JUNCTION	0.3140139518629771	0.3128587721344825	0.3616213723234473	0.2984046178185639	0.2837591804703257	0.2888785986399085	0.28054797880142995	0.27796294291597345	0.2831247429970371	0.2756265570497102	0.29586442910452615	0.28784649200253365	0.29095345164255865
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.17638138676852658	0.15125332379580803	0.16453317486739943	0.13394836502855345	0.14178551948695697	0.13970058388659426	0.14282123266829294	0.13392433621432587	0.14729588155349227	0.12312866578651872	0.14297884178083595	0.1440141834709703	0.1394862005671181
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.12888546921505148	0.11697467685870552	0.09409554291581089	0.08114128639074775	0.07982961309315559	0.09979666545196826	0.08027257033362632	0.10542888748018416	0.09445777372264884	0.11159042694290248	0.06794496947639016	0.10687562461439042	0.16091775143564443
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.1778065597394662	0.17788569391858544	0.11914504036857533	0.10428210457500851	0.07596849798955352	0.08910902949485792	0.13792547602319535	0.10322030896820587	0.08438149461057193	0.0713277578909256	0.15042841384525416	0.11476753150617126	0.11422379548329258
KEGG_ALLOGRAFT_REJECTION	-0.08125772113362664	-0.10279618185781068	-0.10650700152062371	-0.07408687753707377	-0.1325353286085169	-0.25437923795024026	-0.13814026717651157	-0.1681773355736029	-0.1872028119988344	-0.13943516711573667	-0.1681593945844745	-0.06745905112437597	-0.14450040337082032
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.09078826072668163	-0.12129809137991455	-0.1260449403184428	-0.13212480538957525	-0.10566996432769767	-0.11328935858461633	-0.10565667165713283	-0.11568958273340278	-0.11967804227962987	-0.1235641581192797	-0.11808125897195941	-0.12082732727179794	-0.10646540300053187
KEGG_ALZHEIMERS_DISEASE	0.22314023349992115	0.2715805186169004	0.2723611832520365	0.23245799158737318	0.1840235167326705	0.22446485438206232	0.2165642667504891	0.22786010262036638	0.23146130514490887	0.22487065449693222	0.21632178960804618	0.23430678001129565	0.24529480650409624
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.10241936374207987	0.14385268790427233	0.13445542788516712	0.13607304292463202	0.108863267671971	0.1329185230622873	0.12332011163633315	0.13417093361202914	0.1459871596834101	0.15307220077022532	0.11009537072849863	0.11498640065390428	0.13673674471352598
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.07457013814645494	0.1047763523568389	0.12884934209279789	0.08184480456753777	0.10577568054077775	0.1046051165650967	0.0724052281439104	0.09317285500176513	0.11141905477645385	0.11831521027251708	0.0975182401635475	0.10587074279729988	0.09410937038922788
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.1973452422302027	0.18687118450602375	0.14086467734620964	0.1747179785213802	0.1507166928442231	0.17746747549265282	0.18667370153747145	0.20250615363794733	0.19096153924740175	0.16801282704341178	0.16331553727291007	0.17836595691577672	0.19545829581806118
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.08681590509956473	0.07834753773715183	0.07036479674628829	0.10061281383825757	0.05129798538301098	4.4181695666870914e-4	0.038755913545399416	0.023705594483711928	0.04008400660744362	0.04467845069830266	0.03138426184313582	0.09152809342858671	0.039224475318638485
KEGG_APOPTOSIS	0.12762847008693828	0.1282030618476773	0.14354136086737554	0.1261704359204818	0.1082652601528338	0.11877775016752745	0.12708592461513504	0.12774386624516448	0.10662431351741558	0.11946669413188062	0.12061175199920281	0.11348912298874708	0.11033556738142984
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.11936645922580366	-0.14365533192016008	-0.1280775723719579	-0.1315934088576635	-0.12435873728621111	-0.1117438427057882	-0.13398964490075674	-0.13183870646717005	-0.11990840866368602	-0.15131834560646737	-0.1548253102531251	-0.13037105038598193	-0.12932771031258342
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.1514203383313643	0.12717800426461157	0.15269577912482196	0.10047823122778475	0.10476124822765831	0.1387465615779567	0.11147613835264925	0.1355030284955131	0.15068772933054453	0.14231340831986136	0.10661671013887898	0.1514697128308079	0.1693533030356906
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.16353585971688434	0.125836995311094	0.25271720155879773	0.16201866146614868	0.16873409588146882	0.17183416870913323	0.1532943800990618	0.1462122376154468	0.13690727498055785	0.1391657236765409	0.14976820024323864	0.150899328069316	0.17247194966199966
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-0.1692692137356434	-0.2119992116797511	-0.22505018967817667	-0.20267923735213156	-0.20427427530908263	-0.19644873875612684	-0.20912406514020015	-0.18054283420113457	-0.1888930512383325	-0.18898207776621226	-0.20181134055559835	-0.18465845042052684	-0.19177807210712788
KEGG_ASTHMA	-0.19230713218810058	-0.24074861446436718	-0.22679295694947002	-0.17721427919341318	-0.23259831278725343	-0.3371951306099501	-0.20906373718394278	-0.23181805804392455	-0.2796332549752459	-0.21666640485647548	-0.2632282265764005	-0.14963375014289346	-0.23312707156844348
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.17893227206228499	-0.19822873335493496	-0.19708016000473758	-0.16108178422415367	-0.1927954026808765	-0.28883160334194247	-0.2147483361392272	-0.24526028381597068	-0.26272533837537326	-0.22247922746957374	-0.24250365520568495	-0.16223073589627438	-0.228869543658686
KEGG_AXON_GUIDANCE	0.2084500052598081	0.23636272006392972	0.2196755760648796	0.23262662237978737	0.2090815918020765	0.22975119290244517	0.23477688513718026	0.22539253017204625	0.23433983542529532	0.21874554243590552	0.22741678189160403	0.22877137682482893	0.2229817093778633
