pathway	logFC	P.Value	adj.P.Val	direction
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.016120218734442002	2.43922129121229e-10	4.5369516016548595e-8	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.028734249759825647	1.563433568727796e-9	1.0223283705606812e-7	down
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.013836570696006242	1.648916726710776e-9	1.0223283705606812e-7	down
KEGG_PYRUVATE_METABOLISM	0.019429855489412434	2.361334773167325e-9	1.0980206695228062e-7	up
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.022778174464294167	6.639365863665878e-9	2.4698441012837066e-7	up
KEGG_HISTIDINE_METABOLISM	-0.017775337728315705	9.525570477688324e-9	2.9529268480833803e-7	down
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.03166321229373911	1.675510213659425e-8	4.4520699962950437e-7	down
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.009839640012331476	3.019214363325298e-8	7.019673394731318e-7	down
KEGG_RIBOSOME	-0.025944148759069467	3.4172081236262734e-8	7.062230122160966e-7	down
KEGG_ERBB_SIGNALING_PATHWAY	-0.011257016082291616	4.5042175493673705e-8	8.37784464182331e-7	down
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.02417915932025669	1.001405035763743e-7	1.6932848786550565e-6	down
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.028563391348462468	3.134137381988111e-7	4.857912942081572e-6	down
KEGG_FOLATE_BIOSYNTHESIS	0.012998006691481337	4.668581378728487e-7	6.679662588026913e-6	up
KEGG_PURINE_METABOLISM	-0.0258556110469436	5.880920587142048e-7	7.813223065774436e-6	down
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.02698598304449553	6.567257658190634e-7	8.143399496156386e-6	up
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-0.02789920063183041	9.308849236853292e-7	1.0714441828562963e-5	down
KEGG_LIMONENE_AND_PINENE_DEGRADATION	-0.01768413059389338	9.792769413202708e-7	1.0714441828562963e-5	down
