pathway	logFC	P.Value	adj.P.Val	direction
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.015688014240001946	1.4780570044772862e-10	2.7491860283277524e-8	down
KEGG_PYRUVATE_METABOLISM	0.019524161588222358	9.365620016247196e-10	5.945336702646234e-8	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.009367294967655513	9.589252746203603e-10	5.945336702646234e-8	down
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.02752731314483708	2.2969859703461685e-9	9.288513202001421e-8	down
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.024861470050086997	2.496912151075651e-9	9.288513202001421e-8	up
KEGG_HISTIDINE_METABOLISM	-0.017472612519259363	5.258298777996965e-9	1.6300726211790592e-7	down
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.03130898296680367	5.696095199540804e-8	1.5135338673065564e-6	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.014229114194496417	7.388509876912077e-8	1.7126515009447127e-6	up
KEGG_PEROXISOME	-0.007714229875896685	8.287023391667965e-8	1.7126515009447127e-6	down
KEGG_ERBB_SIGNALING_PATHWAY	-0.00985708487849438	1.3462512440833762e-7	2.50402731399508e-6	down
KEGG_RIBOSOME	-0.02609375652518537	2.5141006216885264e-7	4.251115596673327e-6	down
KEGG_ADHERENS_JUNCTION	-0.009192081014212093	3.212444308111254e-7	4.979288677572444e-6	down
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.02354162866700913	5.824394815790105e-7	8.333364890284305e-6	down
KEGG_PURINE_METABOLISM	-0.025442668513358385	8.654284939232406e-7	1.1497835704980197e-5	down
KEGG_RNA_POLYMERASE	-0.018511002611937194	1.1336851457829687e-6	1.4057695807708813e-5	down
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.02805942171504212	1.5481599537005796e-6	1.7121950196291845e-5	down
KEGG_LEISHMANIA_INFECTION	-0.006941962813907176	1.564909426542803e-6	1.7121950196291845e-5	down
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	-0.026313713994334607	2.5844871175982447e-6	2.670636688184853e-5	down
KEGG_NON_HOMOLOGOUS_END_JOINING	-0.008738872383602892	3.0207854005016514e-6	2.957189918385827e-5	down
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-0.031011185436521413	3.6930058582198393e-6	3.4344954481444506e-5	down
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.025619266273165492	5.782244158785305e-6	5.121416254924128e-5	up
KEGG_DNA_REPLICATION	-0.012055569782613636	6.111075836478013e-6	5.166636843567775e-5	down
KEGG_LIMONENE_AND_PINENE_DEGRADATION	-0.015176995488540243	7.936010808287696e-6	6.165046162163097e-5	down
KEGG_FOLATE_BIOSYNTHESIS	0.011237759311695366	7.954898273758835e-6	6.165046162163097e-5	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	-0.007058285162732617	1.5040382613732023e-5	1.1190044664616626e-4	down
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.00829021486363094	2.2812582593420495e-5	1.6319770624523893e-4	down
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.01186236376032429	2.4808498530231247e-5	1.7090298987492637e-4	down
KEGG_VEGF_SIGNALING_PATHWAY	-0.006250635249111389	3.0153910496279335e-5	2.0030811972528416e-4	down
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.018477468104773912	3.3558669661533636e-5	2.152383640360433e-4	down
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.00822370129523964	4.501975354168247e-5	2.7912247195843135e-4	up
KEGG_PENTOSE_PHOSPHATE_PATHWAY	-0.007451431894801062	4.7808190538592554e-5	2.8332840823056373e-4	down
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.008947025995436363	4.920863695026889e-5	2.8332840823056373e-4	down
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.0066155496342252184	5.0267943395745175e-5	2.8332840823056373e-4	down
KEGG_GALACTOSE_METABOLISM	-0.010729659925275099	5.8690586828509846e-5	3.2107203382655385e-4	down
KEGG_SPHINGOLIPID_METABOLISM	-0.012559011493159869	8.480439580608886e-5	4.5067478914092934e-4	down
KEGG_PRIMARY_IMMUNODEFICIENCY	-0.01200560217808486	1.3307549395108077e-4	6.875567187472507e-4	down
KEGG_GRAFT_VERSUS_HOST_DISEASE	-0.014232476400307247	1.678823876521236e-4	8.439493000890537e-4	down
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-0.011018524210010061	1.865595386219772e-4	9.129714774083183e-4	down
KEGG_ASTHMA	0.006267908838075255	1.9142950332755063e-4	9.129714774083183e-4	up
KEGG_NITROGEN_METABOLISM	-0.01330878997916491	2.8441616583493027e-4	0.0013225351711324258	down
KEGG_PROSTATE_CANCER	-0.0060059818138841385	3.102775089468925e-4	0.001407600406442	down
