pathway	logFC	P.Value	adj.P.Val	direction
KEGG_MELANOGENESIS	0.5334027707447835	2.474935547440401e-132	4.603380118239146e-130	up
KEGG_WNT_SIGNALING_PATHWAY	-0.47099438200657723	4.3066281682954695e-90	4.0051641965147863e-88	down
KEGG_PARKINSONS_DISEASE	0.38690648667517197	1.2835778486124033e-81	6.698800419036931e-80	up
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.32427522053575136	1.4406022406531034e-81	6.698800419036931e-80	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.37035088316423653	8.551875890704216e-78	3.1812978313419685e-76	up
KEGG_ETHER_LIPID_METABOLISM	0.3168869928520776	9.490870426129695e-77	2.9421698321002054e-75	up
KEGG_ECM_RECEPTOR_INTERACTION	0.3793258506831948	7.440922573581866e-76	1.97715942669461e-74	up
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.32678444245809757	1.9011393043721157e-74	4.420148882665169e-73	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.28283421848514756	5.067262280662487e-74	1.0472342046702473e-72	up
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.28543974794624233	2.691720377759234e-71	5.006599902632176e-70	up
KEGG_OOCYTE_MEIOSIS	0.2656604670355967	7.879578027686893e-71	1.3323650119543292e-69	up
KEGG_ASTHMA	0.2647187924215978	3.34291418289918e-68	5.181516983493729e-67	up
KEGG_ABC_TRANSPORTERS	0.20814302982673794	1.01768942535157e-67	1.4560787162722465e-66	up
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.24986273708704912	5.7442296430761856e-67	7.631619382944076e-66	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.31021986914990113	8.097898495554916e-65	1.0041394134488096e-63	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.23798244949964192	1.5355461382162913e-64	1.7850723856764386e-63	up
KEGG_PEROXISOME	0.23365645818638764	2.666109611635022e-64	2.9170375750830244e-63	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.2389940675352395	2.6171666232624323e-63	2.7044055107045134e-62	up
KEGG_VIRAL_MYOCARDITIS	0.19605649071827108	2.2385245396813423e-62	2.191397707266998e-61	up
KEGG_BASE_EXCISION_REPAIR	0.2551514423681293	2.524085063405449e-62	2.3473991089670678e-61	up
KEGG_GNRH_SIGNALING_PATHWAY	-0.2580362587573267	2.6960724546969552e-61	2.3879498884458746e-60	down
KEGG_VEGF_SIGNALING_PATHWAY	0.23839051991327392	1.0389750148101693e-60	8.784061488849614e-60	up
KEGG_PYRIMIDINE_METABOLISM	0.2248295453886632	1.1167595566309718e-60	9.031185979711337e-60	up
KEGG_DILATED_CARDIOMYOPATHY	0.2491114451450547	3.835864215187071e-60	2.8769558832768384e-59	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.2806743036180536	3.8668761872000513e-60	2.8769558832768384e-59	up
KEGG_ALLOGRAFT_REJECTION	0.2536607380610843	9.676750700474934e-60	6.922598578032069e-59	up
KEGG_TYPE_II_DIABETES_MELLITUS	0.2946057669944888	1.0685593084615865e-59	7.361186347179818e-59	up
KEGG_PROTEASOME	-0.28273302920932497	1.122276259968526e-59	7.455120869790923e-59	down
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.20808528519482958	2.140727664612521e-58	1.373018433165272e-57	up
KEGG_ADHERENS_JUNCTION	0.18776776933788683	6.54247507315337e-57	4.0563345453550897e-56	up
KEGG_O_GLYCAN_BIOSYNTHESIS	0.2493185765725448	1.1705430476132456e-56	7.023258285679473e-56	up
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.37664055232349275	1.94919746800528e-56	1.132971028278069e-55	up
KEGG_NOTCH_SIGNALING_PATHWAY	0.19942013672297235	2.4894982175837472e-55	1.403171722638112e-54	up
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.22620274288059966	8.548942051666854e-55	4.6767741812059854e-54	up
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.21076522327256605	7.819029983599685e-54	4.155255934141547e-53	up
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.2035776991186554	4.9529109216673045e-53	2.5590039761947743e-52	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.20192683592067343	4.3816014265626854e-52	2.2026428792990797e-51	up
KEGG_GAP_JUNCTION	0.24005962183871257	5.096397579366179e-52	2.4945524993739714e-51	up
KEGG_TYPE_I_DIABETES_MELLITUS	0.2677431756718	4.2387850239090047e-51	2.0215743960181406e-50	up
KEGG_MTOR_SIGNALING_PATHWAY	0.27050034892170716	4.0381728245514784e-50	1.8777503634164375e-49	up
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.358835543169523	6.014496134815532e-50	2.7285275148187533e-49	up
KEGG_OTHER_GLYCAN_DEGRADATION	0.21436999446992397	1.8337964924588445e-49	8.12109875231774e-49	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.30707932974793684	4.167243741064889e-49	1.8025751996234168e-48	up
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.20840124137374075	1.1936493294084329e-48	5.045881256135648e-48	up
KEGG_GLIOMA	0.16562402353819017	1.8162408719741692e-48	7.507128937493233e-48	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.22557159422500406	2.2737552209315155e-47	9.193879806375258e-47	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.2236547643857684	1.4681337290926768e-46	5.810061140664636e-46	up
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.14340411462281727	3.238704114377529e-46	1.2549978443212925e-45	up
KEGG_PRION_DISEASES	-0.20538363011452776	1.6209217090464068e-45	6.152886487400647e-45	down
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.17180283806153365	1.486621832674539e-44	5.530233217549286e-44	up
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.14587221917854862	7.499990720897713e-44	2.7352907335038717e-43	up
KEGG_CELL_CYCLE	-0.19421452363225059	1.5396222185505623e-43	5.5071102432770116e-43	down
KEGG_ENDOMETRIAL_CANCER	0.21233964142731407	1.6586924951251438e-43	5.8210717753448445e-43	up
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.23621428006466177	1.810567157343543e-43	6.236397986405537e-43	up
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.2181002500269237	1.972810655657894e-43	6.671686944588514e-43	up
KEGG_LONG_TERM_DEPRESSION	0.17339902732519907	2.1301125505581544e-43	7.075016685782442e-43	up
KEGG_SMALL_CELL_LUNG_CANCER	0.23100665465289494	3.184898845694572e-43	1.0392827812266499e-42	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.20132537277511423	1.2557103397692574e-42	4.026933158570377e-42	up
KEGG_LEISHMANIA_INFECTION	0.12861688920987138	2.2485457844602257e-42	7.08863586287461e-42	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.14839405253217694	8.49808072131153e-42	2.6344050236065744e-41	up
KEGG_RETINOL_METABOLISM	0.25436374466525097	1.0294434254828478e-41	3.138958641636224e-41	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.16472393949696887	1.0546311399070615e-41	3.163893419721184e-41	up
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.1854781009600766	1.2989480114663126e-41	3.8349893671862566e-41	up
KEGG_TIGHT_JUNCTION	-0.1420417956421324	1.666033062866123e-41	4.84190858895467e-41	down
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.27231335872308704	3.9895674731114067e-41	1.1416300769211102e-40	up
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.1594137783353654	9.455118839538119e-41	2.66462440023347e-40	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.14945404841669468	3.388439590166054e-40	9.406712892102777e-40	up
KEGG_LONG_TERM_POTENTIATION	0.18753612641630182	5.211453082658949e-40	1.4254856961390655e-39	up
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.1778952728100568	7.538843902457588e-40	2.032210095445089e-39	down
KEGG_BETA_ALANINE_METABOLISM	0.18614551585858582	8.180571127503288e-40	2.173694613879445e-39	up
KEGG_NON_HOMOLOGOUS_END_JOINING	0.1646770130010874	1.7400493876553873e-39	4.558439240900029e-39	up
KEGG_ARACHIDONIC_ACID_METABOLISM	0.16413602266074812	3.250503816670483e-39	8.397134859732081e-39	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.16612834430708495	3.440287467070682e-39	8.765663957193793e-39	down
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.1879118510932472	1.4399302287544255e-38	3.6192840884908534e-38	up
KEGG_ERBB_SIGNALING_PATHWAY	0.15126145562630575	2.3167286487940028e-38	5.745487049009127e-38	up
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.14797234869927076	6.350044914710075e-38	1.5540899396527289e-37	up
KEGG_HISTIDINE_METABOLISM	0.2199553245684157	6.684530367742496e-38	1.6147047381819537e-37	up
KEGG_LYSINE_DEGRADATION	0.10845447093178844	1.130189239763048e-36	2.69506664866573e-36	up
KEGG_APOPTOSIS	0.2253944809170528	1.8392755296182796e-36	4.330446183658228e-36	up
KEGG_SELENOAMINO_ACID_METABOLISM	0.170846783915685	1.4956565831607485e-35	3.4774015558487404e-35	up
KEGG_MISMATCH_REPAIR	0.12761274672391865	1.8172209177336274e-35	4.172877662943885e-35	up
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.24397580129771707	7.266123569385555e-35	1.6481694925679428e-34	up
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.2169266420038108	7.131205340851774e-34	1.5980773414438916e-33	up
KEGG_TRYPTOPHAN_METABOLISM	0.16611758220642325	1.8301607722466813e-33	4.052498852831937e-33	up
KEGG_MAPK_SIGNALING_PATHWAY	0.11290056217394237	5.381053036404419e-33	1.1775010173779082e-32	up
KEGG_PPAR_SIGNALING_PATHWAY	0.2098116232665532	5.9369317473937985e-33	1.2840340755991237e-32	up
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.25505135955416974	1.7955601589982013e-32	3.838783788203051e-32	up
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.12943424742342413	9.38943044552785e-32	1.984584162350205e-31	up
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.1368364458797519	3.4903286902290397e-31	7.294394790815747e-31	down
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	-0.12582574659837759	5.671352850764835e-31	1.172079589158066e-30	down
