pathway	P.Value	adj.P.Val
KEGG_MELANOGENESIS	2.6244599343769057e-133	4.881495477941045e-131
KEGG_WNT_SIGNALING_PATHWAY	1.8975025900381397e-90	1.76467740873547e-88
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2.5261483933668256e-83	1.4364616199837875e-81
KEGG_PARKINSONS_DISEASE	3.0891647741586827e-83	1.4364616199837875e-81
KEGG_TGF_BETA_SIGNALING_PATHWAY	3.8669703690308435e-79	1.4385129772794739e-77
KEGG_ETHER_LIPID_METABOLISM	2.999617763591933e-77	9.298815067134993e-76
KEGG_ECM_RECEPTOR_INTERACTION	3.977949371722363e-77	1.0569979759147993e-75
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.5560543963541538e-75	3.617826471523408e-74
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.4374666102851697e-74	2.9707643279226843e-73
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	2.00629859997104e-71	3.7317153959461345e-70
KEGG_OOCYTE_MEIOSIS	3.284916315499973e-71	5.5544948607545e-70
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	9.550078130034877e-69	1.480262110155406e-67
KEGG_ASTHMA	7.401158673317906e-68	1.0589350101824081e-66
KEGG_ABC_TRANSPORTERS	8.574147023607336e-68	1.1391366759935461e-66
KEGG_CHEMOKINE_SIGNALING_PATHWAY	7.644989283676253e-66	9.479786711758554e-65
KEGG_PEROXISOME	1.4869317453536074e-65	1.7285581539735686e-64
KEGG_CELL_ADHESION_MOLECULES_CAMS	3.955365070587434e-65	4.3276347242897806e-64
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	6.789466509756733e-65	7.015782060081958e-64
KEGG_BASE_EXCISION_REPAIR	3.397319832319416e-64	3.325797309533744e-63
KEGG_VIRAL_MYOCARDITIS	2.5568854648635845e-63	2.377903482323134e-62
KEGG_DILATED_CARDIOMYOPATHY	3.1939317639938323e-63	2.828910990965966e-62
KEGG_VEGF_SIGNALING_PATHWAY	2.0577934457066734e-62	1.7397708222792786e-61
KEGG_GNRH_SIGNALING_PATHWAY	1.3918211286923785e-61	1.1255596953773149e-60
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.4984909282985126e-61	1.1613304694313473e-60
KEGG_PROTEASOME	5.295070448514249e-61	3.9395324136946015e-60
KEGG_TYPE_II_DIABETES_MELLITUS	9.843557529422387e-61	7.04192961720217e-60
KEGG_PYRIMIDINE_METABOLISM	2.591408268696418e-60	1.7851923628797549e-59
KEGG_ALLOGRAFT_REJECTION	2.5176428218292684e-59	1.672434160215157e-58
KEGG_ADHERENS_JUNCTION	5.984646242095029e-59	3.838428279412674e-58
KEGG_O_GLYCAN_BIOSYNTHESIS	2.136777517761195e-58	1.324802061011941e-57
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	4.7206897696547155e-58	2.8324138617928294e-57
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	8.05224344096549e-58	4.680366500061191e-57
KEGG_NOTCH_SIGNALING_PATHWAY	1.25803170005445e-56	7.090724127579627e-56
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.306360865631101e-54	7.146562382570141e-54
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.899557791023124e-54	1.0094792832294316e-53
KEGG_TYPE_I_DIABETES_MELLITUS	8.714200629379452e-54	4.502336991846051e-53
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	2.398565008995883e-53	1.2057651126303628e-52
KEGG_BASAL_TRANSCRIPTION_FACTORS	3.164900028414633e-53	1.5491352770661098e-52
KEGG_GAP_JUNCTION	7.8081788251723455e-53	3.723900670466811e-52
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	8.647011678270033e-52	4.0208604303955656e-51
KEGG_CITRATE_CYCLE_TCA_CYCLE	4.156539084133733e-51	1.885649438167986e-50
KEGG_MTOR_SIGNALING_PATHWAY	4.5479267272628554e-51	2.0140818363592647e-50
KEGG_OTHER_GLYCAN_DEGRADATION	1.6862481616107929e-50	7.294003675804824e-50
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	5.2295347239475614e-49	2.2106669514869237e-48
KEGG_ENDOMETRIAL_CANCER	5.665675730613054e-49	2.3418126353200626e-48
KEGG_ARGININE_AND_PROLINE_METABOLISM	6.4182567154882906e-49	2.5952081501757002e-48
