pathway_description	BS_FKDQJJB5	BS_E3BAT4C1	BS_1BWP5MCT	BS_V72H4RQS	BS_HE57E1RP	BS_R439VVPK	BS_N4B1SZZH	BS_CHDGRYHJ	BS_9V633J1X	BS_9NJHQE9F	BS_D144EJRQ	BS_TZVFR600	BS_V9HVBBDW	BS_ZV68CES9	BS_YEB88D32	BS_KVNGNETA	BS_AHEFXG7W	BS_1AYRM596	BS_W311713R	BS_SKGJ5SY9	BS_TA9WP4TH	BS_HZRM07TW	BS_HHPA8NJ2	BS_JT82QGXF	BS_S1M423AB
KEGG_ABC_TRANSPORTERS	-0.034787287553035555	-0.042923694949594554	0.005401071031612461	0.0024311974697730637	-0.012934289935254695	-0.047088645754127786	-0.003970426285246694	-0.0014604730946266111	0.018811114792872282	0.007180893588199248	-0.012612346553237995	0.007663246631923589	-0.014943376236026285	-0.052501808440731955	-0.03530053693511758	0.015138545425517555	-0.0643335000339661	-0.08936117713962279	0.035089575172923465	-0.03207586875068347	-0.027750078880289197	-0.061272957767597946	5.91904786845022e-4	-0.02714714327764733	0.0022277510850629294
KEGG_ACUTE_MYELOID_LEUKEMIA	0.2019765466861808	0.20200151651095744	0.18765653689448392	0.2254708847246244	0.20930329180522908	0.20640686926851795	0.23097454130004397	0.16120308969163563	0.1970784229046307	0.18210263170301086	0.2323416387519549	0.21042254103665514	0.18814706859678293	0.22322142814827828	0.2136413652979881	0.19105070789376535	0.198429155183991	0.20525012703886183	0.18212936589871945	0.2409101358620771	0.2237169368192146	0.2163747482582748	0.17554831770284243	0.21570310476571697	0.2043981652227471
KEGG_ADHERENS_JUNCTION	0.24094946795429983	0.24306805112552377	0.24414353727020766	0.2819651408551805	0.2506868271275235	0.24936831028254725	0.2670314402459495	0.22586266000745744	0.24111816894681878	0.2400105730606527	0.26047945002041994	0.256837210042982	0.23308196756777577	0.2596902960686299	0.24047826879292716	0.2480030208856588	0.25038219130126577	0.2579996300036387	0.24613058491007977	0.26215961307740976	0.2709145314275903	0.22983338608282644	0.2543699050607641	0.24409328721295212	0.2607534333962372
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.09651026952726498	0.09964367495130912	0.1120805766816462	0.10322862110726282	0.08554056050767977	0.09124913075274281	0.11702067440003165	0.1150133308275861	0.10466576042232839	0.12086548837616444	0.10708862913070304	0.10387194329760456	0.10620032911281543	0.10171454977926715	0.11494367660351927	0.134653184447136	0.09834799113954401	0.08551467530548162	0.12743910353347662	0.08076281647010548	0.11100235476721786	0.09905586999186654	0.1060593121992888	0.10539644146607334	0.10706618437692689
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.09454514624056	0.0470728309738379	0.014187015445498859	0.026321398053090653	0.07601932785357442	0.0756287686544568	0.035369616499040815	0.05387255896227575	0.03104608793895771	0.05937050853977684	0.05356866635196839	0.08329215280238698	0.04197186690598442	0.04785352957297182	0.035717307461903304	0.048572228296146984	0.053910994757643195	0.05434512006778899	0.04642726226373017	0.07441810077936302	0.0543222625294683	0.07004158905886268	0.04741909990549556	0.06371149370018951	0.041294568092262986
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.06717571922643986	0.07539956446233975	0.05536140152205731	0.10771831718322053	0.06457778654498357	0.06220895661276554	0.09652768465842841	0.07206982920158297	0.057583935903524675	0.09469698434706027	0.11284527045188872	0.1041601801145225	0.11266196541000302	0.11184384148537255	0.10041584787199653	0.10014514272093432	0.11021698488006244	0.09761447977232142	0.10884868148256523	0.10518060288449647	0.11235677348897705	0.1378615046043291	0.12572786865364272	0.1046300101688754	0.09357100376837922
KEGG_ALLOGRAFT_REJECTION	-0.0521825160529517	-0.08223212597262332	-0.19129348035368945	-0.07192314171452245	-0.07874582386828702	-0.016446114844144582	-0.015535437716181015	-0.07505565561323466	-0.12138404516133011	-0.14076178657449007	-0.014522946162505256	-0.12444461456326067	-0.15384012644930847	-0.045457647560965674	-0.16621984537071266	-0.08595479067157989	-0.013596149326312326	-0.0323182233251589	-0.06182806891965109	-0.05711954625334967	0.01666820133089651	-0.017523308158778488	-0.006061630078913461	-0.032316695727986434	-0.062099146426549096
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.11316711068036787	-0.1045418786273973	-0.11766301522903398	-0.1317124611232603	-0.09827202247893428	-0.12414591853959253	-0.1122139576512063	-0.09974503873722904	-0.10886826394279256	-0.10505909029055284	-0.11091685515952186	-0.09647362667928489	-0.10743634419065093	-0.09484099041568074	-0.11034882856246353	-0.07422846997173595	-0.13149395237956066	-0.1075078106230104	-0.10516626958002219	-0.12332865381689156	-0.09218795636132672	-0.0842328522499567	-0.12374999380588758	-0.08438671300480956	-0.09483339072323256
KEGG_ALZHEIMERS_DISEASE	0.2919631463799358	0.29066571948452036	0.2552057016774651	0.2946256503143912	0.2930248840270742	0.2955069669764964	0.29855410015281253	0.2880359820840092	0.2627425334402509	0.2947040265757007	0.30252528616262336	0.2967661987436201	0.29511553975459703	0.3004997422179374	0.27336717235605806	0.2889996702608133	0.29522912643307125	0.2887698630281653	0.2844286528196989	0.3089591592959447	0.2845914424048687	0.293387610619777	0.290349710835209	0.2755358098479187	0.28159740648741727
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.1752356593031734	0.1529879375679016	0.12981667178663306	0.14838168686488482	0.16432707461688023	0.16619398601820567	0.13220696185541894	0.15958573473909823	0.1520091643945258	0.16588901303019413	0.1560428360245092	0.16111558948287136	0.14172084965301987	0.15070348122579239	0.15586629116133835	0.15344797048915737	0.14938295437429547	0.15387637846997054	0.14197839503212822	0.13941965487243899	0.14296226309887336	0.12969145412515623	0.1457128477104532	0.1617709003263125	0.12533014676077475
