pathway_description	BS_VJVDJABP	BS_NKEAAFMW	BS_K81DR8XG	BS_2Z1MKS84	BS_77317DY4	BS_4D9DD103	BS_5VQP0E6K	BS_YETBN0RQ	BS_K3ER45RV	BS_M84H3KXA	BS_HB03GSHF	BS_JZRM1S3T	BS_JTMXAMB7
KEGG_ABC_TRANSPORTERS	-0.010970772579694732	-0.021168991868268774	-0.08951366721500027	-0.03289943885946522	0.011709397671870847	-0.0432043165385042	-0.04490132147175426	-0.05459796063882597	-0.05685305280387411	-0.05178067488929386	-0.060758462781462914	-0.05832764028612926	-0.03339017413122848
KEGG_ACUTE_MYELOID_LEUKEMIA	0.20687416391345279	0.21146820482499645	0.24058697203160695	0.20833278077805223	0.20460172911138153	0.21023911525568856	0.20002919196374697	0.20524597165961303	0.19348991971548235	0.1722913063685592	0.22161807867534786	0.20659675916273557	0.1693983040943302
KEGG_ADHERENS_JUNCTION	0.27555643587559947	0.2753357748136379	0.32486952728240015	0.24538881359238573	0.24269807020945808	0.24896224233080128	0.23495201222274004	0.2304213735909248	0.24207194654633274	0.22482767154682334	0.24823804427328766	0.23796944421795457	0.23320552072577583
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1427759689045342	0.1312874482527821	0.13853879235749944	0.10832223552704193	0.1262643859459828	0.11658588387244867	0.11622724648360638	0.10537321332629493	0.12776625929602609	0.09215790900195121	0.11549734335782831	0.12243232233825752	0.10135357456531888
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.10810476339837788	0.09529997263837602	0.09074704676241933	0.07501836938720573	0.07802395359874055	0.09674735312845144	0.06910197432874571	0.0969602603923336	0.09347737413633618	0.10025371894087048	0.06063914462664484	0.09530015038906547	0.143047163208926
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.13292571732801586	0.13240895425553714	0.08321646082210611	0.04519273717729425	0.030907338371224637	0.03808744424319844	0.08939295479000756	0.04478945029218392	0.03434565046037036	0.0014921846095296248	0.0974677593975634	0.0669168755572049	0.05101815955630238
KEGG_ALLOGRAFT_REJECTION	-0.022598892529638842	-0.05770543139665892	-0.055840432943175325	-0.013142712028831303	-0.07684841952575276	-0.21951416256817713	-0.0687194535069803	-0.10496436485291172	-0.1454612720775083	-0.07209659181666958	-0.10834079653968319	-0.007969679055150808	-0.07605649746089833
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.07381457115934527	-0.11403166929708211	-0.11217921306246578	-0.12692301770011666	-0.096959628605619	-0.10760113324746617	-0.10592474783904834	-0.1164163665628663	-0.11282090916007649	-0.11122154481034706	-0.10950364614918708	-0.11556712311862935	-0.10536430426205645
KEGG_ALZHEIMERS_DISEASE	0.2989589863278676	0.32683444399681794	0.3242078414290773	0.2987667681791981	0.24555637664839733	0.2824257203939747	0.2873823457686121	0.2973100029537623	0.2898270469565623	0.29498184471467004	0.29005971616183746	0.2945875076192173	0.3067702370733811
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.1442353044902655	0.17945507248281858	0.165264095989252	0.1733967644837429	0.13875480111189384	0.1672710471830633	0.14768600776627946	0.1632612594270722	0.18338898359548475	0.1867709188500998	0.13583142837521411	0.14999095747423338	0.1726474835794975
