pathway_description	BS_8T7DZV2F	BS_BA6AZWB3	BS_AM70R8RG	BS_AMZ70B6F	BS_BPWEFR89	BS_BVSW4GTG	BS_8GW1TMV2	BS_3V3KE3VT	BS_3F5PR9GS	BS_81SP2HX4	BS_7C40TRCY	BS_7XQRH69M	BS_VT6C6N6K	BS_VPBMDMQX	BS_WH5HDE0A	BS_TW8DQH8J	BS_M15PW2N0	BS_J1AB8PMA	BS_RD4D5F9F	BS_R6WNEEE4	BS_RCC8BXVE
KEGG_ABC_TRANSPORTERS	1313.2092260391819	976.1753737938689	-158.77123679749275	-32.04926575370882	511.60097681268053	87.01948339709088	815.239106530702	-597.5559309958007	84.71003993192971	-263.0998440591993	136.1407445557943	609.4887166043536	139.39895568028805	555.8416779716645	-158.88784920901162	561.0516319354756	180.44536725292892	967.649873542372	-71.29138828703617	636.6217919959472	429.14846556134034
KEGG_ACUTE_MYELOID_LEUKEMIA	4535.037361000681	4039.9926962077952	3456.9510672189917	3817.0450768168157	4087.8182063451422	3831.2806974263713	3852.939350579478	3815.3333652835263	3414.9097033730686	3540.338855184875	3695.8746174849057	3789.5554626658322	3941.4300450872634	3685.5502088049343	3373.159941709033	3476.2197974393093	3806.4098330463185	4010.5987366431345	3786.2668594673723	3833.3189058685402	3568.1983908420534
KEGG_ADHERENS_JUNCTION	5550.070105702174	5212.23657548596	4465.7859395881715	4844.771274149649	4942.306931306253	5066.801166003208	4667.236383539022	5255.659414459138	4809.109961529752	4919.756745362454	5060.127954298745	4861.853374732575	4919.294221002712	4502.088243815979	4552.5296734291715	4960.217027184668	4735.191487725357	5326.336205246649	4945.8742193596045	5085.119523950058	4249.632484995096
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2704.5635817329767	2625.5059723786635	1770.490619369788	2148.635157036524	2328.9386467380136	2107.069489446896	2396.636540489595	1758.1276764944614	2061.423870759105	2136.6847197689367	2171.951757732313	2074.0416021257042	2095.6759746201915	2148.247428761615	2099.4292765604714	2189.199958232226	2414.9074243517825	2217.792432878554	2200.070303394845	2165.6729217463235	2270.5621990255113
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1516.552710316104	1828.9605097830354	1433.9283811155528	1053.031184632604	1388.9985457319726	1039.5362752936871	1720.7186996092641	1802.1075892710833	1214.913966487822	1057.0684997408953	1063.0761985638637	873.8572711193156	1372.3019917267302	614.2059963288029	1326.1173050125744	1768.8747538515963	841.6003328726274	1872.5690239227297	966.3132165913012	1647.064859477352	1902.295612140726
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2122.435482265151	3551.251243434488	2393.7905307699875	2577.1328979799237	3002.751736442666	2717.191613181807	2605.3326752380854	1674.073870664246	2011.8677706835206	2762.3209426324174	2470.6329235742123	2669.594241197534	2231.547657241126	2896.459874339971	2679.801312420055	2004.2627285578037	2892.6318964466645	2683.6634800018437	3006.8698263183633	2573.0248450360777	3210.318570505975
KEGG_ALLOGRAFT_REJECTION	1249.9598336889285	-921.5831071236917	-2865.761087332452	-922.3694886527464	-1720.1813044063601	-1684.0271577813019	162.06562890000168	-2342.9732091700025	-2809.261452515432	-1481.8682810652153	-134.6458943033067	-1687.1614411710261	-611.6907299035302	-864.6138553510227	-3063.9269740956206	-47.67052610304745	-1365.392647793189	258.187736747861	-785.3609809806967	-1081.2974552983724	-1708.8854861691407
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-1672.532549287309	-1923.7076914251775	-2099.5483450256806	-2153.4996040022397	-1998.2111383157562	-1929.5957583785375	-1802.422142038532	-2481.7283443123943	-2058.3765131994496	-2190.5741325357603	-2247.647789061629	-2029.6589206221233	-2148.939710077244	-1679.0994513463156	-2086.2682102323697	-1918.2340346384526	-1526.9803369414603	-2036.6800579683759	-1991.3446002594956	-1913.7174263849993	-2101.692096346086
KEGG_ALZHEIMERS_DISEASE	3777.1064576382905	3967.5818621071903	3823.8930252384325	4148.282139617251	3878.8468549622357	3815.6253317988558	3771.514989314299	3361.151027128073	3614.6567907215376	4231.581423376003	3810.4384193562764	3898.6358906772	3968.454615233466	3873.430804947762	4223.567236918636	3745.553383644903	3535.131327934756	3815.481259633554	4028.783729870127	4186.969050160242	4562.875417799822
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	3015.6714762677384	1742.9960180838061	1643.7498135744445	1838.8521046456426	1818.8411309853946	2037.3276165939114	2446.599635044149	1788.07919418832	1941.7290354879624	1985.2300269559582	1857.0379685376174	1905.1538514576187	2310.276666863261	1768.816763657962	1974.0059643180011	2206.41710817045	2058.6657606341287	2605.1029536760907	2077.6996267073555	2292.623304832996	1720.3502418275493
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	2013.9520500842464	889.4964988410757	1867.5349362036468	1643.0432304593742	1675.7472790525408	1576.5382241957705	2247.2756810530445	2507.3719663861684	2037.9731827800078	1535.8968625142425	1341.3134953114295	1649.5125850683598	2056.4660932887236	1681.7199788546586	1480.2536421465975	2559.6026673797824	1691.9068157262736	1575.5851508256965	1830.5187033977982	2405.096337487017	1382.9796380388816
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	2960.9510473862483	3745.666411443166	3167.8280024847554	3311.4710613157313	2883.181429097467	3368.0530809235006	2984.956353396894	2759.5247208177243	2906.904755598698	3284.5729680678833	3223.4173675745096	3702.5455940004067	3136.555340532912	3714.1230447947546	3880.557687841556	2426.112379562657	2729.846747607071	2911.625763752665	3472.162862351084	3223.048549947629	3518.2405198440138
