pathway_description	BS_FKDQJJB5	BS_E3BAT4C1	BS_1BWP5MCT	BS_V72H4RQS	BS_HE57E1RP	BS_R439VVPK	BS_N4B1SZZH	BS_CHDGRYHJ	BS_9V633J1X	BS_9NJHQE9F	BS_D144EJRQ	BS_TZVFR600	BS_V9HVBBDW	BS_ZV68CES9	BS_YEB88D32	BS_KVNGNETA	BS_AHEFXG7W	BS_1AYRM596	BS_W311713R	BS_SKGJ5SY9	BS_TA9WP4TH	BS_HZRM07TW	BS_HHPA8NJ2	BS_JT82QGXF	BS_S1M423AB
KEGG_ABC_TRANSPORTERS	59.13686021468311	255.53345264939162	750.2327344408968	851.0560843256899	354.85044957310674	85.9526548517224	960.3540189410342	726.1331518741026	968.0390291336553	977.8553287044197	752.2973213901714	889.3587648065804	486.4993776024112	63.752828249749655	129.71588381845686	1103.167788346229	-193.90638583451982	-620.1152209380398	1396.4831955735772	459.3735208389717	483.1319846560109	-212.50887626705662	906.0705055444523	402.90605508491717	951.5941245080103
KEGG_ACUTE_MYELOID_LEUKEMIA	3696.987156407684	3665.544022710659	3335.317169035199	3941.676754270351	3806.4409734619585	3831.7015014075987	4268.813332342175	3007.27918577285	3556.649279581703	3225.479642897928	4182.034186695837	3710.399560349373	3489.8727995604713	3918.518524213907	3716.69518403899	3502.7549256812945	3527.213567595285	3708.235359364433	3244.170270112376	4195.550172662946	4033.239557147561	4001.889237018904	3178.7219077236077	3864.80379422479	3719.5220178215077
KEGG_ADHERENS_JUNCTION	4795.078044217422	4597.466140239043	4467.760382704155	5240.47168752528	4859.501792786412	4828.702220266456	5149.902399342869	4461.473537972948	4536.812573984422	4533.515536462453	4956.748584836934	4780.816649736007	4468.150384132996	4822.71829139566	4477.34827396002	4712.453612871048	4859.693240257324	4979.17754909048	4705.705985404911	5062.9341865796505	5225.046449192056	4612.919233745652	4836.908263711375	4778.982222764011	4947.034804407578
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1921.7333932298297	2075.666790052348	2101.642081784941	2160.0022579993074	1771.9417548005858	1847.3769809027544	2291.2044731789556	2473.2806459731055	2079.5435315729155	2443.8492013039977	2238.003499534565	2103.3017505924345	2133.495816828754	2109.7368651730776	2263.6368069199834	2685.7835700428805	2065.97838943064	1966.2907857818154	2474.914927248339	1697.431127631624	2245.53751575366	2079.300890986353	2291.3902558313075	2147.992987675181	2200.9861798011734
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1786.6561372606102	978.3406884197266	319.76824287935597	717.2957529857867	1415.2623172627063	1316.0469439533445	689.7970764323218	1099.368800980903	680.0300687801282	1270.9754534570147	1177.9265778130048	1424.0043103160697	882.9314821508142	1021.1567834844627	888.0259448613888	1089.1724424186905	1100.9774242013536	1108.3105815360686	840.4819041100836	1579.8712059794652	982.7212795093474	1335.2023746776686	1058.1188083805882	1064.4517401327303	818.7198028729854
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1952.0260176752035	2149.091955790782	1622.5497944622166	2625.201699054087	1974.6361467574206	1909.0769887399092	2373.1929429113443	2070.149114596974	1637.502536629545	2501.312491861092	2737.733206860288	2514.166833881831	2760.322045715864	2779.3142969703167	2424.6992694002	2507.8855382895345	2667.827658858667	2555.46188991939	2579.6019861434143	2550.8426434796584	2741.796866509105	3011.3636699240487	2935.874420092983	2623.670754325194	2474.2291721806796
KEGG_ALLOGRAFT_REJECTION	-1805.9512536851598	-2389.2085035462906	-3876.369819546677	-1995.7374655970061	-2050.839606654581	-1261.6717119244677	-1214.1671173737268	-2208.985675802498	-2727.9594115090285	-3043.4929439425905	-1211.7281885113389	-2683.5891584397677	-3204.77520634294	-1743.9056731488763	-3613.6815909611623	-2241.431837855527	-1351.840764130633	-1660.209148733541	-1993.0587371398597	-1829.973273254086	-607.5742887442884	-1091.4488785260055	-1158.1628020943717	-1516.993091391655	-1960.6961479310667
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-2005.3949209287566	-1880.6318721793077	-2186.8428692139105	-2172.206347869451	-1899.4314514428834	-2170.7530001698087	-1908.3175433031565	-1834.2191721704985	-1905.6577471360279	-1855.471369014802	-2015.4493776932013	-1859.232956100498	-1840.9667889471411	-1806.0444329251304	-1880.9782520745848	-1327.776573073429	-2424.550131987752	-1903.3250387107464	-1928.142100862533	-2238.0846466061203	-1697.6812639341715	-1565.6985955058344	-2127.4976847280677	-1678.7491483189833	-1717.3029611453621
KEGG_ALZHEIMERS_DISEASE	3849.3532820375585	3683.5901601765636	3020.8252045923655	3781.072992281397	3830.3965992272497	3965.688946445758	3917.7335155749897	3556.234036105374	3094.169292431474	3770.8521147440915	3815.245125484	3699.4023171849803	3827.1343022269757	3907.327424609968	3356.3059321643505	3763.647867886073	3629.6351537834307	3511.884813790477	3512.057344193023	4067.421151923156	3736.1578372781423	3977.8806865890274	3578.8588786696073	3524.077827259658	3509.8739517028553
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	2452.7196851123535	1965.3507319528708	1732.6260146405366	1840.4078233532855	2060.9938175802654	2031.9072792263632	1565.1224302595183	2007.5710841124092	2088.293124899692	2148.829855570548	2069.1133445304094	2061.737498634815	1767.2604106563867	1931.3220208596813	2186.9883113936376	1942.9964273631667	1900.5841867380623	1931.587048959609	1832.1473084262307	1798.9530691540112	1607.3840317568993	1509.0526416655011	1810.3161313524379	1948.8107148565705	1608.3786253997205
