pathway_description	BS_A14Z8BBK	BS_9PB3XH5D	BS_2SFTWNVE	BS_1TWCV047	BS_7FWZ518S	BS_J71N7D09	BS_VA5T4KAA	BS_Z45HD492	BS_BSV07M7Z	BS_A87NPZAP	BS_9NZ2D6AD	BS_9M5XJ10G	BS_GNV89A5P	BS_G00FHF3Q	BS_DFWFBYSN	BS_EFE4YEK3	BS_ERWT0ZWE	BS_3NWQXPQV	BS_3MYEMXPQ	BS_4W68NV3M	BS_4PH1MBGR	BS_4CP4T22V	BS_61E80SD6	BS_5PJCHF6V	BS_W9AT0MR7	BS_VMEX27TN	BS_VVFBW0YH	BS_TYAYZ9ZW	BS_TE0GVDNG	BS_ZXYDSBM9	BS_Z7PKVY9J	BS_KN92S7YQ	BS_K74PZET7	BS_KYF0Q0E7	BS_HTEPAKCM	BS_HKZENFDA	BS_HZE3KYZ1	BS_H4B5Y6S0	BS_HF3RNN2T	BS_HD4EJYE3	BS_J8G4SH4Z	BS_JFB984RG	BS_QRDT19KS	BS_QPPPGYP4	BS_NKRYMHEP	BS_NZ71XCG3
KEGG_ABC_TRANSPORTERS	71.75189326029067	238.49208785268092	-59.00120294429507	613.0050192467497	601.0004902291021	1817.2882215252212	936.6725480929526	148.12934802363088	-306.641820896808	460.0144738527142	-27.15229078667653	851.6109832879756	-540.3452919180745	-96.23340167475726	-120.75530633700328	-462.2060867943783	-257.15359968955454	-256.1341416385876	-108.68445175980014	637.0623601654534	-215.0373287495495	-196.75852904698877	1055.6732615472702	212.77538805133372	-143.29377727621613	79.9084272786331	96.39487519994691	-480.36004743149897	430.2165627267241	-301.85754939163235	127.86841766666475	235.9285604415254	591.4158772766641	515.5231799362446	99.01809164583574	-427.5152959383231	69.52966615583864	91.27627884663889	-219.75261149688777	-144.87232354557818	-90.44983606390997	-213.29284427193124	497.9311109526734	-74.93403158277943	-349.1134097986087	207.30600564607994
KEGG_ACUTE_MYELOID_LEUKEMIA	3488.9713816357435	4114.962197216088	3498.424644147757	3583.136414016808	3824.564532548433	3679.4200294929287	3652.5104554983645	3657.6999738310114	3778.3053787763893	3625.125766936384	3507.418644109941	3432.8990348609605	3625.1232218464174	3858.866498685815	3622.2082026641183	3504.961048421186	3401.254410171503	3854.6466465231442	4204.87962114322	3538.7971391980864	3783.3494382406334	3881.6548521802397	3375.0229621572653	3683.51670900536	3299.7460830853925	3775.865264838558	3814.618276741836	3482.630852011529	3191.370673289788	3395.1758268720205	3134.5279075651288	3831.667866569067	3837.1391425752117	3235.8304540910885	3620.090108722372	3140.3546143009444	3709.635348282087	3207.675729464161	3647.977695180656	3803.030998259739	3716.0142615373206	3771.9927655141055	3604.5821769105205	3442.480456587351	3534.28752953649	3764.3192589648697
KEGG_ADHERENS_JUNCTION	4661.016729785884	5018.482750245144	4702.592812757055	4505.145575187305	4992.105910294958	4511.349625939518	4717.303213169964	4503.556981184614	4491.748139996735	4185.657401196879	4229.381990093743	4831.823271304889	4455.564027306011	4889.920632910891	4560.495521181232	4537.058137764008	4701.8669739983925	4576.917897728823	4862.494940035127	4695.675927108547	4690.384145007913	4660.29610239397	4444.752824360912	4667.605744528437	4418.9840503073065	4754.99532252067	4658.845009438628	4375.741361342918	4758.4877700508805	4559.552974057322	4493.268275274813	4555.916502871625	4407.711636001006	4474.462709866262	4445.356796848171	4316.703815611625	4607.115939115627	4399.570060242173	4373.237451491394	4665.0081294767515	4612.129445882716	4561.987405730844	4446.9244045792275	4587.891765877663	4677.85898292924	4611.6086126598
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2187.829611874986	2187.60482919439	2151.0564929438733	2235.056483177672	2511.4907866171416	2353.972619664133	2415.368428165335	2002.8665495834612	2000.4691269483374	2409.818849990108	1736.8203473782141	2545.1262240540564	1855.1240574020467	1923.4451053627708	2245.989872093687	1518.5718215327033	2116.1315780142886	1975.5424206397274	2431.173004103026	2029.2463361229893	1981.1096149093974	2009.7590950957529	2612.164108736015	2248.1527780438846	2057.332488955013	1914.3854788516946	1884.6234182481458	1660.526833587619	2239.1206324614723	2015.9071358845085	2067.0189234659847	2548.5128912921336	2068.205495762895	1960.3984244672902	2256.690170435166	2152.7808168805277	2055.8403455107673	2299.5888785132865	1974.964755729543	2105.3066399920226	2002.703946054242	1798.2208557470276	2122.056452290699	2083.2876711638546	1861.829250193081	2271.2635926157145
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1775.0896132836133	1345.7569183810301	2023.7805409914563	833.755018941305	2028.9338762405514	1761.2478065873638	1078.1760852312527	971.3095184725898	1153.966980186553	1230.763829305879	1295.248310029303	1244.4419166886582	1210.3096206101563	869.6931541996237	1335.7902046214058	1436.0313480631667	1937.478925853342	765.862583711174	1006.4599750098405	1164.6181794845324	693.1186630965512	1181.4348314255258	1503.117830732168	1225.8210218458462	2219.0151749580764	1274.4798953744175	1100.976248849749	844.8287902257853	1630.2825634113815	2080.460323329915	2505.395185060903	1334.9986564056198	1427.2636006245284	1600.8594126793687	1348.7928772266496	2057.1711239796878	1326.9617096366746	1956.8709997127116	1500.086667558011	1330.6471114906835	1044.566575324594	1544.7187116188288	1195.0292367691454	1749.8875073600848	1249.7671786111987	1237.0336609568385
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2942.3522268809465	2800.10706872652	3163.6878431775804	2575.375536994712	3434.5372154684246	3102.2144734025533	2909.601961780394	2586.6203568961737	2710.345688047086	2783.7827206112397	2068.942387744637	3035.4895821834816	2701.835166054854	3247.5273037738752	3212.940374572532	2264.0395736871396	3079.3370855360463	2951.6831168265144	2781.1774144714054	2699.844653508364	2786.0454700996997	2793.220847204684	2978.7584918147404	2997.022660009181	2903.7302825846346	2566.9499101840247	2357.478364945564	1829.3390795255818	2735.1932120501624	2935.5050774967203	2448.4717778933536	3237.357799146752	2412.1879178571435	2558.565515668195	3222.7801970620894	2262.976385212376	2599.3973369049454	2471.858614889781	2848.2529022937797	2976.8600774172864	2782.7493916239982	2238.8697615547735	2546.0692343819956	3094.806444383463	2670.991483782527	2904.6802459715655
KEGG_ALLOGRAFT_REJECTION	-2948.436229185274	-1639.170622913518	-2282.98358664796	-2807.215573565656	-705.712824784554	-3182.7882003086906	-2374.8819383387863	-2614.3592229330407	-2998.450291145934	-2521.8071623009773	-3113.579604963904	-2258.7626882972654	-2822.559246380064	-1668.5666515102112	-2391.765398321396	-3132.0101743316154	-2154.2599127546246	-2659.332862189858	-1229.004340523281	-2644.545660267653	-2670.6480192082417	-3454.0493396625134	-2195.297789255903	-2188.4085176001354	-3283.2253197855625	-1862.5964193950158	-2079.600295622171	-1827.879165508145	-2591.2607475863597	-2970.3277777952217	-3044.70548680735	-1728.963162692884	-3187.3560697576513	-3144.1569863021814	-2365.830255861146	-2844.8062144072283	-2189.317888940178	-2873.658896510751	-2435.4219011650093	-2204.164329517993	-3270.898307865872	-3235.6455474862323	-2242.661768056484	-2319.647110256875	-3189.080250911782	-2709.3460909714495
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-2113.010084367277	-2107.9845011736043	-1648.6068420024349	-2082.826695610127	-2082.817612807982	-1534.9708815939366	-1389.6095906842065	-1833.8238734769484	-1581.1679944301932	-1254.678083946379	-2166.315719205005	-1756.1987900236554	-1498.8346210693599	-1522.7629195146274	-1714.9232207517143	-1942.628744019169	-1709.2711652968273	-1444.7632820349236	-2078.9796345135874	-1449.0216061178226	-1646.0458441854744	-1552.2263671866285	-1691.5480823089802	-1441.295384095969	-1855.0367558329963	-1709.7148477391884	-1792.8979447233069	-1869.2124555371201	-2201.894884409445	-1782.1526970457371	-1957.6531187212568	-1409.7459854607305	-1767.3235090475746	-1676.9846469061777	-1555.3767400384704	-1870.405124131672	-1829.7259223408173	-1895.4742956193504	-1724.1299987049233	-1779.206195274668	-1693.3111439612449	-1880.559793473657	-1369.4140714845198	-1501.7376471573916	-1728.002960335286	-1647.506984118244
KEGG_ALZHEIMERS_DISEASE	3750.561087159702	3767.8330896649386	3840.7371574983335	3482.324342110678	4045.367367914925	3463.633531315043	3856.6246781279697	3956.3012277418766	3795.215314576815	3441.1112056822603	3848.947654099122	3532.0033524442406	3385.1331639150703	3500.1097282493465	3596.8916956800676	3819.7099144428503	3557.8192170438742	3310.3039651843774	3636.8433199674255	3250.8708353688107	3424.943860700665	3080.1101509888304	3804.9844431045476	3381.3723377422466	3937.4088959722903	3568.112714423978	3546.189522345345	3750.0063171411657	3634.2614479736003	4073.215828779974	3708.851036695087	3343.521633875187	3784.442584457507	3647.9095513363645	3454.2913101913655	3974.5872989021027	3569.931104527883	3661.6588680051427	3459.906911813525	3786.857257713358	3459.4372447409332	3615.188167969829	3490.897544601654	3645.774389639404	3513.8590677107277	3552.396931811818
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1435.0465769044495	1972.1030300108305	1497.3948011934262	2049.406920494781	1772.9819027840203	1514.349799091753	2081.4526851561404	2024.242811588374	1755.1348313467806	1639.8154852138796	1910.7915187207782	1913.9090032417062	1894.6249867606311	1524.883927211371	1504.8147134729825	2237.8102255117374	1912.1205454720057	1535.1616577425448	1522.2745361866073	1809.539936403342	1547.920773308244	1750.7685633581004	1617.8098180100515	1773.6736545199165	1728.9705037021558	1565.2780029641854	1601.7516997339844	1709.0184528505943	1843.43371419303	1709.0864448241082	1633.2133214484693	2176.1353773238643	1868.361611239865	2001.610892848974	1686.7770569686782	2030.11269019264	1759.581672694405	1774.357937105373	1831.1789021682252	1760.0991818380098	1652.296650723718	2159.5055821070255	1697.604989130159	1693.271431836516	1882.1337673116304	1426.8607182689084
