pathway_description	BS_VJVDJABP	BS_NKEAAFMW	BS_K81DR8XG	BS_2Z1MKS84	BS_77317DY4	BS_4D9DD103	BS_5VQP0E6K	BS_YETBN0RQ	BS_K3ER45RV	BS_M84H3KXA	BS_HB03GSHF	BS_JZRM1S3T	BS_JTMXAMB7
KEGG_ABC_TRANSPORTERS	855.3054287033174	425.6165212520118	-500.086636801223	285.21170973190783	937.3094335167716	162.4510803451176	23.32745143225111	-141.65291520491883	-157.28159217226857	17.332664331661363	-140.7973050047549	-204.53068615258235	336.3067107790266
KEGG_ACUTE_MYELOID_LEUKEMIA	3768.5990762008805	3776.399154729397	4349.6391177544265	3788.3295847873396	3567.717920252062	3854.7981697293562	3667.275117637688	3732.81960423099	3593.0884102973887	3290.054409349441	4098.881563100927	3789.676966091427	3243.3354508691373
KEGG_ADHERENS_JUNCTION	5143.684840893546	5124.719679517129	5923.244193924873	4887.916694509058	4648.1290040450585	4732.0482859601925	4595.461980457856	4553.240617861866	4637.787966660866	4514.95716700143	4846.3441305498	4715.211114608333	4766.052447201211
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2889.3997057399993	2477.9617932547426	2695.6913753773624	2194.1419048332027	2322.792635804448	2288.6152256842834	2339.6211663748454	2194.2630073519467	2412.835788068791	2017.7534900844566	2342.2861659353093	2359.312000606964	2284.902530296107
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	2111.3628639830767	1916.262767646871	1541.665410620326	1329.1132866377648	1307.4840969220659	1634.9902054372924	1315.034719251391	1726.6033297827435	1547.527316525142	1829.022520385277	1112.9735336549948	1750.6150710449256	2635.479618562096
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2912.904079625381	2913.569364408746	1951.756731637157	1707.875989945298	1244.5779707869697	1459.775354422638	2259.2045712696836	1690.819387401334	1382.1976248321444	1168.0800310292107	2463.8483737947554	1880.2939716110996	1870.7806592782435
KEGG_ALLOGRAFT_REJECTION	-1330.7468998104532	-1683.79964297666	-1745.0430042313546	-1212.7281559914536	-2171.5866999510617	-4165.500311825467	-2259.686011955343	-2755.7561897458845	-3066.997781644597	-2284.5799198337036	-2754.320882874198	-1104.7918171137462	-2367.18251392233
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-1484.1364767203158	-1986.9894350651266	-2062.8548275252424	-2161.5673094336416	-1728.7622140646135	-1854.3707828280276	-1729.2688081311435	-1893.9312376781636	-1957.0910177787846	-2021.7283516714015	-1932.3889925955145	-1977.339280476749	-1743.0123000101303
KEGG_ALZHEIMERS_DISEASE	3655.332287962545	4448.499218318697	4461.263330669748	3807.7211775726137	3014.5641865859798	3676.7140906540753	3547.5077900301258	3732.6721543750227	3791.446919822356	3683.6778381848726	3543.5853671129153	3838.3339421916426	4018.061428805142
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1677.7239964787495	2356.3734560188113	2202.3273875787854	2228.804185263336	1783.2055454742422	2176.9864837763253	2019.8425602281786	2197.7004976356548	2391.2841461811313	2507.452120389722	1803.471749013901	1883.597556607312	2239.94598310117
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1221.5164620361684	1716.1700953496256	2110.5224197271255	1340.7045545499477	1732.6088892104071	1713.1079300252459	1185.732320711153	1525.8960901783012	1824.757056611339	1937.9834996543195	1597.2051013212676	1734.0984756218422	1541.6108219535163
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3232.5641862956873	3061.1763853835964	2307.5397245287168	2861.903618334989	2469.0042680288734	2907.3780359556567	3058.0843114798827	3317.3575377570323	3128.1512163418447	2752.4438521372067	2675.5146633701042	2921.7770593447967	3201.670960859017
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1421.886529741856	1282.6433721704652	1151.7289862698963	1646.0728790726753	839.736539784988	11.22766095537736	634.2308198618193	387.57787027242557	654.7728514901282	731.6645530490187	513.9547886549153	1497.7817273430792	642.1902177573156
KEGG_APOPTOSIS	2090.956177551783	2100.1698043983797	2351.185106480554	2066.5134264232474	1773.3506544105894	1946.1086724197921	2081.7694021582665	2092.7524883281258	1747.219642774191	1957.1610898995496	1976.0554612060823	1859.3558783986628	1807.6174469350153
KEGG_ARACHIDONIC_ACID_METABOLISM	-1952.7891880081606	-2351.427314482833	-2094.9655149900345	-2153.852163763382	-2021.8171574836915	-1828.932576901716	-2193.0114458138687	-2158.07164639622	-1961.4197097597316	-2476.1738477984773	-2533.854617132978	-2133.1269170685973	-2116.6806964453963
KEGG_ARGININE_AND_PROLINE_METABOLISM	2480.3965036020963	2083.1190464247156	2501.7685985159605	1646.2247364643736	1716.2169075680613	2272.937447680326	1826.3144087047403	2220.049923343593	2468.7706698728507	2331.8228611221784	1746.585989542731	2481.4866176624	2773.8909185603807
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2679.0864096152964	2061.805201631427	4139.5830480782915	2654.1238068514504	2764.3983919321636	2814.820169511613	2511.3056329316605	2395.467707751386	2243.1035830185865	2280.021972126944	2453.8744756768992	2472.4122813903923	2825.724946792774
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-2783.723107561691	-3471.006773858894	-3690.605336057063	-3318.9591714443786	-3358.643140549071	-3215.6070949757395	-3422.0024554129304	-2952.3641737759317	-3118.6440809619717	-3112.5639502247823	-3304.1569612596977	-3034.089607984889	-3151.7757631360746
KEGG_ASTHMA	-3149.324892297879	-3936.3852485153684	-3713.8475843461583	-2901.7726664421443	-3809.7049184032485	-5522.82791635341	-3419.717802678574	-3795.7511508580565	-4576.942605643836	-3551.765811579806	-4309.421673035298	-2449.9836766434346	-3820.402667341613
KEGG_AUTOIMMUNE_THYROID_DISEASE	-2930.581966807008	-3246.5626576954637	-3228.3897188962874	-2639.367344984973	-3158.358834067968	-4729.875679971803	-3514.880045750786	-4018.2793161695217	-4302.979594604273	-3645.162292532672	-3972.3335655638584	-2657.567222014596	-3749.629367395628
KEGG_AXON_GUIDANCE	3414.51933139179	3871.7151412398416	3598.401081083677	3810.32105908463	3424.7601705592915	3763.4976544042765	3845.675417318038	3692.1484843911003	3838.4398129099045	3583.156172057148	3725.287447421091	3747.4745105074217	3652.4084584305165
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2471.441781817095	2421.7465210267783	2560.869992797978	2227.424846252021	1953.2510726538057	1987.3769054643144	2181.775176245621	2230.7829482689885	1964.3251378518544	1991.6191367432548	2471.2110573197406	2003.8466482605982	1812.5007976713605
KEGG_BASAL_CELL_CARCINOMA	935.6710055437743	1477.2322867971598	1425.4368078003845	1851.0019465181667	1957.6908516903914	2556.6843222373645	2006.687872799348	2238.722278975083	2435.8968035029175	2005.7324403242765	2597.789758443072	2499.4862474630027	1707.5882276632128
KEGG_BASAL_TRANSCRIPTION_FACTORS	2096.420698979291	1563.5605182454347	2017.919787213381	1468.203539197997	1415.0498180242375	1302.9910728454488	1561.012113706738	1884.4379953906482	1381.5939587528046	2033.3134854948603	1937.3130162903599	1630.235446596389	1661.4258933759593
KEGG_BASE_EXCISION_REPAIR	2377.448853448741	2980.1827406349184	3512.628281245943	3913.6093706321262	3803.271632889315	4096.112332160152	3168.1449541746642	3568.9901075502603	4153.636899132349	3733.307062153439	3312.9450320771375	3829.285493737212	3342.028688746759
KEGG_BETA_ALANINE_METABOLISM	2034.7898542029652	1737.2496583368538	1980.2330695411765	1762.411003192552	1791.5251422169058	2363.1766467580564	2098.5661537217093	2287.478358082528	1696.4779872104755	2158.6675395578823	1697.3624440505482	2775.944624213518	2571.7147964062024
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	3870.9806899699324	2710.8066144319637	2907.061073633111	3266.0901939424966	1862.6066116782677	2981.794134960486	3336.354292968541	3482.3490944861824	3097.2936108067042	3302.197209412714	3015.2867729118316	3682.498238505461	3859.9986332929275
KEGG_BLADDER_CANCER	2301.6187634174894	2530.1365788593976	4248.511785921986	2754.8617950071457	2648.9030314207284	2489.1850902920705	2301.5226161656265	2414.588347439223	2985.8325380273527	2355.0463225303374	2584.3012617948443	2707.0035359312096	2362.557165679049
KEGG_BUTANOATE_METABOLISM	1574.1816831577526	1420.0335918374476	1393.874033573862	1025.168347757226	890.4045940053584	1377.2206857718447	1153.531554788242	1584.7475347746185	1018.6264018535439	1512.5908560590615	1189.561180346389	1649.454618927337	1667.7611858089622
KEGG_CALCIUM_SIGNALING_PATHWAY	1177.7584846180944	995.8046017914803	1038.3863378487004	486.49362956141886	562.2273842276172	309.9078462188263	548.1022829745489	270.31881668984533	566.215884136076	91.94716964394684	149.6486039983829	365.81282159691	679.2407754521482
KEGG_CARDIAC_MUSCLE_CONTRACTION	2765.796539015495	3482.757529153583	4788.017285963091	2723.465218539517	2325.371772314975	2652.8029759810233	2316.682398008652	2465.6413359853723	2621.429752060454	2365.5169501504934	2645.9366796424456	2597.022931414358	2691.388622846869
