pathway	logFC	P.Value	adj.P.Val	direction
KEGG_LIMONENE_AND_PINENE_DEGRADATION	-0.08270364061336823	2.4524660320120362e-33	4.561586819542387e-31	down
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.09036041854408412	1.2238360176922742e-23	1.1381674964538151e-21	down
KEGG_INOSITOL_PHOSPHATE_METABOLISM	-0.06974791063929174	1.4169243569850826e-17	8.295954068692219e-16	down
KEGG_BUTANOATE_METABOLISM	-0.08864505902399687	1.7840761438047783e-17	8.295954068692219e-16	down
KEGG_GAP_JUNCTION	-0.050284016590880595	7.485553765332246e-16	2.7846260007035955e-14	down
KEGG_VIRAL_MYOCARDITIS	-0.03030153243906501	3.765372020653813e-15	1.167265326402682e-13	down
KEGG_ONE_CARBON_POOL_BY_FOLATE	-0.05431348155269888	4.690467859711046e-13	1.2463243170089352e-11	down
KEGG_ADHERENS_JUNCTION	-0.029794554727193005	1.3086594042505906e-12	2.8688375739468935e-11	down
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.03827972696341812	1.3881472132001097e-12	2.8688375739468935e-11	down
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.0315101980836641	5.539649808180249e-11	1.0303748643215263e-9	down
KEGG_PROPANOATE_METABOLISM	-0.06453567687187553	2.0378696264147253e-10	3.445852277392172e-9	down
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.029325363138467737	2.3530542018414246e-10	3.647234012854208e-9	down
KEGG_MAPK_SIGNALING_PATHWAY	-0.026514822432782907	1.341937526279742e-9	1.920002922215631e-8	down
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.038943919044228253	4.329551804013146e-9	5.7521188253317514e-8	down
KEGG_ERBB_SIGNALING_PATHWAY	-0.03165737617417198	8.61817325951586e-9	1.0686534841799668e-7	down
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	-0.02827125252899904	1.7273850737875406e-8	2.0080851482780159e-7	down
KEGG_FOLATE_BIOSYNTHESIS	0.03891764605892277	2.5261184013119474e-8	2.762307603772639e-7	up
KEGG_BETA_ALANINE_METABOLISM	-0.03702349245282965	2.6732009068767475e-8	2.762307603772639e-7	down
KEGG_PRIMARY_IMMUNODEFICIENCY	-0.04605819618312193	6.108639095753305e-8	5.792245242990343e-7	down
KEGG_HOMOLOGOUS_RECOMBINATION	-0.053326387234241726	6.228220691387465e-8	5.792245242990343e-7	down
KEGG_PENTOSE_PHOSPHATE_PATHWAY	-0.0241178566860786	8.925150458418134e-8	7.905133263170347e-7	down
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.02728302739719269	1.7630714133637537e-7	1.4905967403893554e-6	down
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.02488058658932633	2.06801493461262e-7	1.672394686251945e-6	down
KEGG_GLIOMA	-0.02096735013593964	4.4089467002472264e-7	3.4169336926916004e-6	down
KEGG_SMALL_CELL_LUNG_CANCER	-0.03325601529462458	4.643738635328939e-7	3.454941544684731e-6	down
KEGG_WNT_SIGNALING_PATHWAY	0.019986522319320462	5.757427204936184e-7	4.118774846608193e-6	up
KEGG_OOCYTE_MEIOSIS	-0.018569036596117815	7.100859314542612e-7	4.8917030833515775e-6	down
KEGG_LEISHMANIA_INFECTION	-0.01822154167369506	8.050405607050342e-7	5.347769438969156e-6	down
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.022010691630791425	1.0617845760649622e-6	6.810066591313206e-6	down
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.021097801043719177	1.1722184025571717e-6	7.267754095854465e-6	up
KEGG_PROTEIN_EXPORT	-0.036501671083188775	1.472764268917852e-6	8.836585613507112e-6	down
KEGG_NON_HOMOLOGOUS_END_JOINING	-0.02437190984733217	2.297459344285525e-6	1.3353982438659614e-5	down
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.05246705539734293	2.434656627859745e-6	1.372261008430038e-5	down
KEGG_PEROXISOME	-0.020121016063284227	2.843879091160142e-6	1.55576914986996e-5	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	-0.021748744388174337	3.449814180626234e-6	1.8333298217042273e-5	down
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.03140945160078839	3.5917223867368005e-6	1.855723233147347e-5	down
KEGG_LYSINE_DEGRADATION	-0.016278271467595452	4.104690874243214e-6	2.0634391962411834e-5	down
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	-0.019128184174289763	4.911510505867988e-6	2.40405514234591e-5	down
KEGG_TRYPTOPHAN_METABOLISM	-0.027139871129489245	6.623516139190201e-6	3.15890769715225e-5	down
KEGG_P53_SIGNALING_PATHWAY	-0.025403783394752726	8.174792918631612e-6	3.7366080161861443e-5	down
KEGG_RIBOSOME	-0.05007185385849304	8.2366090679372e-6	3.7366080161861443e-5	down
KEGG_DNA_REPLICATION	-0.030694155678561208	9.616368459038678e-6	4.215560568498528e-5	down
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.03615572512757422	9.745650776636382e-6	4.215560568498528e-5	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.024937312435469264	1.1757606320655253e-5	4.970260853731539e-5	down
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-0.06462489787343134	1.2587585089588412e-5	5.2028685036965444e-5	down
KEGG_ABC_TRANSPORTERS	-0.01341231474527794	1.7868545853398532e-5	7.2027856589207e-5	down
KEGG_REGULATION_OF_AUTOPHAGY	-0.018957482769871588	1.8200587417702844e-5	7.2027856589207e-5	down
KEGG_LYSOSOME	0.023220726263283052	2.0213450734519703e-5	7.832712159626384e-5	up
KEGG_PRION_DISEASES	-0.02248042640948643	2.0696435253231944e-5	7.856197871634984e-5	down
KEGG_PPAR_SIGNALING_PATHWAY	-0.03563425719918491	2.533567111965437e-5	9.424869656511426e-5	down
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	-0.01904003807306096	2.7497465428143875e-5	1.0028487391440707e-4	down
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.06092247039000031	2.8418083579241236e-5	1.0164929895651673e-4	down
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	-0.02004079191824235	7.14629993128716e-5	2.507946768338513e-4	down
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.01794385633935157	1.1486968793862275e-4	3.9566225845525613e-4	down
KEGG_OLFACTORY_TRANSDUCTION	0.017727486961734713	1.174633901712605e-4	3.972398285791719e-4	up
KEGG_ARGININE_AND_PROLINE_METABOLISM	-0.018981084460247228	1.2056118291745091e-4	4.0043535754724765e-4	down
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.018317826439540864	1.3501234361379147e-4	4.4056659495026693e-4	up
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	-0.020882232054906726	2.4063297439110357e-4	7.716850558059528e-4	down
KEGG_HISTIDINE_METABOLISM	-0.027557962860120213	2.5995330257553125e-4	8.195138013398104e-4	down
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.051949542534902214	2.9093712391569846e-4	9.019050841386653e-4	up
KEGG_LONG_TERM_DEPRESSION	-0.018433961324712877	2.978687960801521e-4	9.082556732935785e-4	down
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.04169214008744894	3.547787158566849e-4	0.0010643361475700546	down
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.015068269163447735	3.995065716036373e-4	0.001177831658525602	down
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.052024883074946994	4.0527540938515335e-4	0.001177831658525602	down
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.020829878178924496	4.237166066616919e-4	0.0012124813667549954	down
KEGG_BASAL_CELL_CARCINOMA	-0.039652746749507715	6.884706204262923e-4	0.001940235384837733	down
KEGG_HUNTINGTONS_DISEASE	-0.03573368875610922	9.012489569826347e-4	0.002501974716399553	down
