pathway	logFC	P.Value	adj.P.Val	direction
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.10983391212678988	1.0835937490282226e-27	2.015484373192494e-25	down
KEGG_ENDOMETRIAL_CANCER	-0.0717442896396217	1.5252180314063543e-19	1.4184527692079096e-17	down
KEGG_VIRAL_MYOCARDITIS	-0.03712579522744524	2.3712047148384878e-18	1.4701469231998625e-16	down
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.04302494637344387	2.864965376104358e-16	1.3322088998885265e-14	down
KEGG_LIMONENE_AND_PINENE_DEGRADATION	-0.0470968582723158	8.470439690741536e-16	3.1510035649558517e-14	down
KEGG_TRYPTOPHAN_METABOLISM	-0.056205294953118594	2.68799948730376e-15	8.332798410641656e-14	down
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.07059935649487287	1.0121351988313907e-13	2.6893878140376953e-12	down
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	-0.08218862486374842	7.575690758300469e-13	1.761348101304859e-11	down
KEGG_GAP_JUNCTION	-0.04558081595770346	9.258055186518873e-13	1.9133314052139006e-11	down
KEGG_TYROSINE_METABOLISM	-0.08382148885997935	1.2539442262400276e-12	2.3323362608064516e-11	down
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.08658478657977584	3.813609575175376e-12	6.448467099841999e-11	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.04245580412564841	3.739113400896343e-11	5.795625771389331e-10	down
KEGG_GLYCEROLIPID_METABOLISM	0.05557835793468788	7.387853830221291e-11	9.981385694865155e-10	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	-0.0589830446867968	7.51287095312431e-11	9.981385694865155e-10	down
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.032432874606380876	1.0021343837178292e-10	1.2426466358101083e-9	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	-0.04520901189731742	1.7990269096742364e-10	2.0913687824963e-9	down
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.046934543878263985	4.444805263025108e-10	4.8631398760157064e-9	down
KEGG_MAPK_SIGNALING_PATHWAY	-0.028905108680699943	5.597647488553114e-10	5.784235738171551e-9	down
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.030533636551907578	1.2160352261905886e-9	1.1904344845865761e-8	down
KEGG_PHENYLALANINE_METABOLISM	-0.04011370283147813	1.8232436907447933e-9	1.6956166323926578e-8	down
