pathway	P.Value	adj.P.Val
KEGG_WNT_SIGNALING_PATHWAY	1.0822905599725055e-95	2.0130604415488605e-93
KEGG_MELANOGENESIS	5.47203710912914e-85	5.088994511490101e-83
KEGG_OOCYTE_MEIOSIS	1.659795391830343e-78	1.0290731429348126e-76
KEGG_PENTOSE_PHOSPHATE_PATHWAY	9.169762229926084e-77	4.263939436915629e-75
KEGG_ABC_TRANSPORTERS	8.256993928444489e-76	3.07160174138135e-74
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1.5079853659759014e-74	4.6747546345252944e-73
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.3462137136571329e-73	3.5770821534318105e-72
KEGG_BASE_EXCISION_REPAIR	2.458222186784891e-71	5.7153665842748716e-70
KEGG_VIRAL_MYOCARDITIS	1.0313364005157971e-70	2.1314285610659807e-69
KEGG_PARKINSONS_DISEASE	1.3646675927851317e-70	2.538281722580345e-69
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.0903093965653143e-69	1.8436140705558952e-68
KEGG_PEROXISOME	2.8899370304548616e-69	4.479402397205035e-68
KEGG_PROTEASOME	5.006874357223277e-69	7.163681772642535e-68
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.3844086995984209e-68	1.8392858437521878e-67
KEGG_O_GLYCAN_BIOSYNTHESIS	3.817559491423626e-68	4.7337737693652966e-67
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.0859451381051536e-67	1.262411223047241e-66
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1.8662653031959425e-67	2.0419138023202666e-66
KEGG_ASTHMA	1.9880420440125236e-66	2.0543101121462744e-65
KEGG_GNRH_SIGNALING_PATHWAY	7.198142476227028e-66	7.046602634622248e-65
KEGG_CELL_ADHESION_MOLECULES_CAMS	6.582947443895354e-65	6.12214112282268e-64
KEGG_DILATED_CARDIOMYOPATHY	1.2528555739486437e-64	1.1096720797830845e-63
KEGG_ADHERENS_JUNCTION	2.0102334719524163e-63	1.699561026287043e-62
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	3.5436368986178317e-63	2.86572375279529e-62
KEGG_VEGF_SIGNALING_PATHWAY	3.400951896478232e-62	2.5533076951231282e-61
KEGG_PYRIMIDINE_METABOLISM	3.431865181617108e-62	2.5533076951231282e-61
KEGG_NOTCH_SIGNALING_PATHWAY	1.575904385408935e-61	1.1273777526386997e-60
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.7300444844361613e-61	1.1918084226115779e-60
KEGG_BASAL_TRANSCRIPTION_FACTORS	2.635589073923823e-60	1.7507841705351112e-59
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2.456560603245063e-59	1.5755871455295922e-58
KEGG_ETHER_LIPID_METABOLISM	8.940263281760702e-58	5.542963234691636e-57
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	4.646238179862153e-55	2.787742907917292e-54
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1.2230679168744221e-54	7.109082266832578e-54
KEGG_ARGININE_AND_PROLINE_METABOLISM	4.989150217681274e-54	2.8120664863294457e-53
KEGG_ECM_RECEPTOR_INTERACTION	3.0896827166389507e-53	1.6902381920436613e-52
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3.213265049448778e-53	1.707620854849922e-52
KEGG_OTHER_GLYCAN_DEGRADATION	6.474893120902551e-53	3.2960712292376843e-52
KEGG_TYPE_II_DIABETES_MELLITUS	6.556700832354533e-53	3.2960712292376843e-52
KEGG_GLIOMA	7.840908820931693e-53	3.837918528140249e-52
KEGG_LEISHMANIA_INFECTION	3.3486286462049656e-52	1.5970382774208297e-51
KEGG_PRION_DISEASES	3.486604266855209e-52	1.6212709840876723e-51
KEGG_CALCIUM_SIGNALING_PATHWAY	2.5317588597636372e-51	1.148554019307406e-50
KEGG_ALLOGRAFT_REJECTION	2.829779150963762e-51	1.2531879097125232e-50
KEGG_MTOR_SIGNALING_PATHWAY	6.69628972618632e-51	2.89653462574571e-50
KEGG_TGF_BETA_SIGNALING_PATHWAY	2.7175795597965618e-49	1.148794995732183e-48
KEGG_ENDOMETRIAL_CANCER	1.4434908306885148e-48	5.966428766845861e-48
KEGG_MAPK_SIGNALING_PATHWAY	2.86721552267252e-48	1.148352599258567e-47
KEGG_LONG_TERM_DEPRESSION	2.9017511916748736e-48	1.148352599258567e-47
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	9.204973301945655e-48	3.5669271545039416e-47
KEGG_TIGHT_JUNCTION	4.0542522058692883e-47	1.5389610414116075e-46
KEGG_HISTIDINE_METABOLISM	1.2711156081597432e-46	4.7285500623542445e-46
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	2.3619856143051734e-46	8.61430047570122e-46
KEGG_GAP_JUNCTION	2.623526949484584e-46	9.384154088541013e-46
KEGG_BETA_ALANINE_METABOLISM	1.0954684884941291e-45	3.844474318111472e-45
KEGG_NON_HOMOLOGOUS_END_JOINING	8.686841147798277e-45	2.992134173130518e-44
KEGG_AUTOIMMUNE_THYROID_DISEASE	2.3981048977621804e-44	8.109954745159374e-44
KEGG_LIMONENE_AND_PINENE_DEGRADATION	2.451526208105223e-44	8.142569191206635e-44
KEGG_LYSINE_DEGRADATION	3.4749987581478174e-44	1.1339469631850772e-43
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.4175549235311229e-43	4.545951996151532e-43
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.8067203502268214e-43	5.695762460037098e-43
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	2.6468646382551096e-43	8.20528037859084e-43
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1.0357732430021e-42	3.1582593966949274e-42
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.761141982276745e-42	5.2834259468302355e-42
KEGG_ERBB_SIGNALING_PATHWAY	6.800265720431546e-42	2.0076974984131232e-41
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	8.697372739803338e-42	2.527673952505345e-41
KEGG_ENDOCYTOSIS	3.9644129493082777e-41	1.1344320131866763e-40
KEGG_MISMATCH_REPAIR	7.132629103007387e-41	2.010104565392991e-40
KEGG_TYPE_I_DIABETES_MELLITUS	2.133088603128912e-40	5.921708659432502e-40
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	3.6093912670245782e-40	9.872746700978993e-40
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	3.811748413502906e-40	1.0275147897268704e-39
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	6.1717131948819765e-40	1.6399123632114966e-39
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	3.551292772110369e-39	9.30338669876801e-39
KEGG_INOSITOL_PHOSPHATE_METABOLISM	4.857895150299697e-39	1.2549562471607552e-38
KEGG_PPAR_SIGNALING_PATHWAY	8.887925642289837e-39	2.2645947526930268e-38
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	4.871598045602557e-38	1.224482752002805e-37
KEGG_CELL_CYCLE	5.845498016927798e-38	1.4496835081980939e-37
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.1052643499047448e-37	2.7049890668721384e-37
KEGG_SMALL_CELL_LUNG_CANCER	1.2407457939509801e-37	2.9971262035699e-37
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	4.551250301498494e-37	1.0852981488188718e-36
KEGG_RETINOL_METABOLISM	5.178684093037631e-37	1.2192851155759487e-36
KEGG_ARACHIDONIC_ACID_METABOLISM	4.1366480848936107e-36	9.617706797377646e-36
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	4.688894811102459e-36	1.0767091788457497e-35
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	2.6528607872951844e-35	6.017464712645174e-35
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	4.847394107021932e-35	1.0862834986820233e-34
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1.0668265194951142e-34	2.3622587217391814e-34
KEGG_OXIDATIVE_PHOSPHORYLATION	1.7667252982861867e-34	3.866010652720362e-34
KEGG_TRYPTOPHAN_METABOLISM	3.98498500406408e-34	8.618688497161846e-34
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	6.4821515503955305e-34	1.3858392969811133e-33
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1.1008309762953165e-33	2.326756381715101e-33
KEGG_HEMATOPOIETIC_CELL_LINEAGE	2.0630188124087018e-33	4.3114775180676247e-33
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	3.301043321797352e-33	6.822156198381196e-33
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	3.9194413574119e-33	8.011165851413334e-33
KEGG_CARDIAC_MUSCLE_CONTRACTION	6.60569395667599e-33	1.3354989955888417e-32
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	8.436210028707424e-32	1.6872420057414847e-31
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	9.60470403050341e-32	1.9005052656102492e-31
KEGG_ACUTE_MYELOID_LEUKEMIA	4.0532609149755025e-31	7.935858212478353e-31
KEGG_APOPTOSIS	4.946144908364207e-31	9.583155759955651e-31
