geneSymbol	cluster	vtest_score
ALDH18A1	1	0.09324517446118168
ALDH18A1	2	-0.3759400077563906
ALDH18A1	3	-0.06511303004148947
ALDH18A1	4	0.11036044026844975
ALDH18A1	5	0.3394379405318584
ASNS	1	0.06314041708167624
ASNS	2	-0.28770677590898913
ASNS	3	-0.2770950633382594
ASNS	4	0.1617597991804159
ASNS	5	0.4007995772624632
ATP5A1	1	-0.16992414692711574
ATP5A1	2	0.04672494930777528
ATP5A1	3	0.45740754121367677
ATP5A1	4	-0.41099005007564665
ATP5A1	5	0.02070818382928721
ATP5B	1	-0.15729717900484666
ATP5B	2	-0.044554175047402604
ATP5B	3	0.4498650924463616
ATP5B	4	-0.287621317355766
ATP5B	5	0.040355707972765484
ATP5C1	1	-0.22688988320970097
ATP5C1	2	-0.15308337350494247
ATP5C1	3	0.20089467326726348
ATP5C1	4	-0.16645628966939008
ATP5C1	5	0.36183529977865453
ATP5D	1	0.04040876961206799
ATP5D	2	0.12666800504675108
ATP5D	3	0.20965984679345448
ATP5D	4	0.22545479591333326
ATP5D	5	-0.5191211402175073
ATP5E	1	-0.03433137913042313
ATP5E	2	-0.01669794705862961
ATP5E	3	0.4580205554490792
ATP5E	4	-0.31753029157047163
ATP5E	5	-0.1025336843592732
ATP5F1	1	-0.3595257619410635
ATP5F1	2	1.0788887568934204e-4
ATP5F1	3	0.30043858958788816
ATP5F1	4	-0.4002765933868145
ATP5F1	5	0.38763175942856987
ATP5G1	1	0.01629524172767417
ATP5G1	2	0.007330835952574497
ATP5G1	3	0.5442464028621875
ATP5G1	4	-0.26612618485549544
ATP5G1	5	-0.28782526345983045
ATP5G2	1	0.0752399104485333
ATP5G2	2	-0.07821820339539325
ATP5G2	3	0.4399811379956226
ATP5G2	4	-0.16287641054129887
ATP5G2	5	-0.2286580568210803
ATP5G3	1	-0.03929619123685218
ATP5G3	2	0.08206947868165415
ATP5G3	3	0.1975766733680045
ATP5G3	4	-0.5198887252879008
ATP5G3	5	0.13402786189738453
ATP5H	1	-0.16479850832410292
ATP5H	2	-0.1918127210094904
ATP5H	3	0.5679603261162662
ATP5H	4	-0.3000053784090744
ATP5H	5	0.1380537581351633
ATP5I	1	0.0035748525580943007
ATP5I	2	0.09976754222570267
ATP5I	3	0.4813421326239869
ATP5I	4	-0.19609931612391118
ATP5I	5	-0.38345726474278014
ATP5J	1	-0.1685362813506605
ATP5J	2	-0.017470905243419956
ATP5J	3	0.5696893168682273
ATP5J	4	-0.20524649598267827
ATP5J	5	-0.13538927832561695
ATP5J2	1	-0.039493406183979486
ATP5J2	2	-0.00914852222518864
ATP5J2	3	0.5382681398505594
ATP5J2	4	-0.15525883799061502
ATP5J2	5	-0.2830117850551051
ATP5L	1	-0.051622978862721484
ATP5L	2	-0.06027827904630861
ATP5L	3	0.47398853909753086
ATP5L	4	-0.3614552999397508
ATP5L	5	-0.015515818759235661
ATP5O	1	-0.07374825117360524
