geneSymbol	cluster	vtest_score
A2M	1	-0.23923773852191518
A2M	2	-0.1446951366639829
A2M	3	0.4347969784392315
ABCA2	1	0.20218737759578997
ABCA2	2	-0.2862241500739592
ABCA2	3	0.02016943667264589
ABL1	1	-0.1839346073997339
ABL1	2	-0.10772194402231708
ABL1	3	0.3309428801891806
ABLIM1	1	0.1561046948892589
ABLIM1	2	-0.08635792202606027
ABLIM1	3	-0.1121759985428283
ABR	1	0.12249015602274387
ABR	2	-0.32427429632454824
ABR	3	0.15538006528180123
ACACA	1	0.024928303286778964
ACACA	2	0.24183117429119041
ACACA	3	-0.26046922630066804
ACACB	1	0.38196199711712314
ACACB	2	-0.41711565622732827
ACACB	3	-0.07918335912042962
ACADVL	1	-0.06813956739684936
ACADVL	2	-0.33723139468476115
ACADVL	3	0.404727412370699
ACIN1	1	-0.16732542429221092
ACIN1	2	-0.00874699669533474
ACIN1	3	0.21637299643744667
ACSL1	1	-0.0015570093601201308
ACSL1	2	-0.36423097492063355
ACSL1	3	0.34754997202200844
ACTA1	1	-0.21930831589449457
ACTA1	2	-0.050066189688470715
ACTA1	3	0.32022215928574554
ACTA2	1	-0.22574576640757749
ACTA2	2	-0.287795457319724
ACTA2	3	0.5538053331680162
ACTB	1	-0.04672358540876457
ACTB	2	-0.5455145164898427
ACTB	3	0.5757331441045256
ACTC1	1	0.09501392611425921
ACTC1	2	-0.5474592402745797
ACTC1	3	0.4013245449720501
ACTG1	1	-0.31256449867503633
ACTG1	2	-0.21305286963456643
ACTG1	3	0.5908442436531691
ACTG2	1	-0.21145388212855962
ACTG2	2	-0.32031637387099077
ACTG2	3	0.5668916930275152
ACTN1	1	-0.13709983530261666
ACTN1	2	-0.4274077206096583
ACTN1	3	0.5760482067019185
ACTN2	1	-0.005053661697002388
ACTN2	2	0.12961596211070853
ACTN2	3	-0.11670646816831955
ACTN4	1	0.032144948406102526
ACTN4	2	-0.4276765859213121
ACTN4	3	0.36584347004246454
ACTR2	1	0.006205538479489211
ACTR2	2	0.24311068734638377
ACTR2	3	-0.23840114145020702
ADA	1	-0.17349121865513348
ADA	2	-0.17352656072629397
ADA	3	0.3803973827416657
ADAM33	1	-0.21042595753914914
ADAM33	2	0.4084705992011958
ADAM33	3	-0.125922554123806
ADAMTS1	1	-0.31406645520226245
ADAMTS1	2	0.08400559472911388
ADAMTS1	3	0.31083724473686164
ADAR	1	-0.328780566126519
ADAR	2	0.5434814201807056
ADAR	3	-0.10685574447511142
ADD1	1	0.13070890509280564
ADD1	2	-0.2789222716623045
ADD1	3	0.10212594158872906
ADH1B	1	0.12238311352901612
ADH1B	2	-0.17405867292686986
ADH1B	3	0.01297562300838554
ADK	1	0.056555863239038294
ADK	2	0.30632647964337967
ADK	3	-0.36099755295744346
AEBP1	1	-0.14158471945774567
AEBP1	2	-0.21849546401820621
AEBP1	3	0.38339128018302854
AES	1	0.24802434201262397
AES	2	-0.5839944619386284
AES	3	0.24572027547743813
AHCYL1	1	0.3747511635776454
AHCYL1	2	-0.398421269790805
AHCYL1	3	-0.08795536624054837
AHNAK	1	0.16877992094534897
AHNAK	2	-0.4627600599535314
AHNAK	3	0.22922490506988533
AKAP12	1	-0.20658740831888384
AKAP12	2	-0.1505308842706283
AKAP12	3	0.3997329879557703
AKAP13	1	0.156730302203033
AKAP13	2	-0.5087583385452761
AKAP13	3	0.2878560266000727
AKT2	1	-0.019186153839137094
AKT2	2	-0.19549652455934055
AKT2	3	0.20936241284329438
ALB	1	0.2644775321460438
ALB	2	-0.4797640952367013
ALB	3	0.1263575770269472
ALDH18A1	1	-0.38458201536479353
ALDH18A1	2	0.3440831596621225
ALDH18A1	3	0.15174095117576508
ALDH2	1	0.24491202779463586
ALDH2	2	-0.07317569526101422
ALDH2	3	-0.23511843538734098
ALDOA	1	-0.16777084336746892
ALDOA	2	-0.18242884561762596
ALDOA	3	0.3817312183334727
ANKRD1	1	-0.08163005654580216
ANKRD1	2	-0.2238707704624137
ANKRD1	3	0.3139368050488418
ANPEP	1	-0.27819078867031055
ANPEP	2	-0.2517671512436339
ANPEP	3	0.5848351815348363
ANTXR1	1	0.4828657647671878
ANTXR1	2	-0.5057648780658764
ANTXR1	3	-0.12054152646634686
ANXA1	1	0.10893948024975958
ANXA1	2	-0.36395205958278876
ANXA1	3	0.20988033582580964
ANXA11	1	0.318443203211135
ANXA11	2	-0.6150705919651014
ANXA11	3	0.18764048452590587
ANXA2	1	-0.06796595703227643
ANXA2	2	-0.3852836240255879
ANXA2	3	0.450107627526672
ANXA5	1	-0.25772667088025736
ANXA5	2	-8.812844452311175e-4
ANXA5	3	0.32132540066139487
ANXA6	1	-0.20468474514492
ANXA6	2	0.27135949078922844
ANXA6	3	-0.002959029485343229
AOC3	1	-0.0730981142064074
AOC3	2	-0.44849799589385536
AOC3	3	0.5164728389297392
AP2B1	1	0.028732192952151413
AP2B1	2	-0.09840052174856997
AP2B1	3	0.05764175426358254
AP2M1	1	-0.09805233198846139
AP2M1	2	-0.31976230006718115
AP2M1	3	0.42534845179698316
AP3D1	1	-0.044361325888335724
AP3D1	2	-0.3277421891209172
