geneSymbol	cluster	vtest_score
ALDH18A1	1	-0.38458201536479353
ALDH18A1	2	0.3440831596621225
ALDH18A1	3	0.15174095117576508
ASNS	1	-0.3081431592905622
ASNS	2	0.4283947463445399
ASNS	3	-0.023314672084932896
ATP5A1	1	0.21732526401824304
ATP5A1	2	-0.060273061365091245
ATP5A1	3	-0.21305678037485293
ATP5B	1	0.15448194295394732
ATP5B	2	-0.061594025994070746
ATP5B	3	-0.1336561909489436
ATP5C1	1	0.016045986632884503
ATP5C1	2	0.22896964277807602
ATP5C1	3	-0.23721972566788155
ATP5D	1	0.11294333936517988
ATP5D	2	-0.33933249637754703
ATP5D	3	0.1815402760161242
ATP5E	1	0.2155636038046802
ATP5E	2	-0.19801124213024537
ATP5E	3	-0.08016823723382782
ATP5F1	1	0.17355901014781555
ATP5F1	2	0.18951811094313345
ATP5F1	3	-0.39565584650613034
ATP5G1	1	0.24782391432368758
ATP5G1	2	-0.37230362407616296
ATP5G1	3	0.04509896902835352
ATP5G2	1	0.10464488369154643
ATP5G2	2	-0.23679257182145946
ATP5G2	3	0.09456086728740622
ATP5G3	1	0.16691780468020812
ATP5G3	2	-0.11380286887160285
ATP5G3	3	-0.09958021927333409
ATP5H	1	0.09446307025667362
ATP5H	2	0.05418472067361977
ATP5H	3	-0.16888218504373395
ATP5I	1	0.28055119770535875
ATP5I	2	-0.4013529324516855
ATP5I	3	0.03196631602812666
ATP5J	1	0.2775084569508452
ATP5J	2	-0.2243219614430109
ATP5J	3	-0.13223223345921
ATP5J2	1	0.2244741244703689
ATP5J2	2	-0.27648531461493636
ATP5J2	3	-0.016785703818156805
ATP5L	1	0.2123407514006061
ATP5L	2	-0.1761280314225595
ATP5L	3	-0.09692522423082067
ATP5O	1	0.2651750962104159
ATP5O	2	-0.28664947746872393
ATP5O	3	-0.05775368185918758
CAD	1	0.037713582655070625
CAD	2	-0.23103856344623236
CAD	3	0.17233161052505105
CTPS1	1	-0.17723750327567894
CTPS1	2	0.11330989350654465
CTPS1	3	0.11288078417914504
CTPS2	1	-0.011796703736420205
CTPS2	2	0.3738110789013415
CTPS2	3	-0.3400347462293973
GCK	1	0.2892644805048258
GCK	2	-0.46316262737966474
GCK	3	0.07978151923748213
GCLC	1	0.25214241647306773
GCLC	2	-0.5264147643499494
GCLC	3	0.18596276513857937
GCLM	1	-0.07499651165721549
GCLM	2	0.14099431127300552
GCLM	3	-0.04052765329653291
GFPT1	1	-0.1741270537832166
GFPT1	2	0.4511668400783596
GFPT1	3	-0.2115749720329752
GFPT2	1	0.23311776866121695
GFPT2	2	-0.6848203603710337
GFPT2	3	0.3599292662596328
GLS	1	-0.19658965192236763
GLS	2	0.10031308349221102
GLS	3	0.14927813045402294
GLS2	1	0.044524046790538965
GLS2	2	0.014426624495385822
GLS2	3	-0.06905592360794813
GMPS	1	-0.24599847915776116
GMPS	2	0.7102339237610804
GMPS	3	-0.3680263835436016
GSS	1	-0.10231378907108683
GSS	2	-0.04006036113565332
GSS	3	0.16524232634360986
HK1	1	0.0961989551627429
HK1	2	-0.5288665385847972
HK1	3	0.38220857301073435
HK2	1	-0.014146039637912942
HK2	2	-0.3849030318311305
HK2	3	0.3828201588185111
HK3	1	-0.3016102207492338
HK3	2	-0.2137020523282903
HK3	3	0.577838342634625
HKDC1	1	0.15757793124792688
HKDC1	2	-0.2776950970871001
HKDC1	3	0.06754922799375182
PFAS	1	0.03566766590406621
PFAS	2	-0.2596368882122727
PFAS	3	0.20201231553775625
PHGDH	1	0.4121576661804946
PHGDH	2	-0.3432333795724881
PHGDH	3	-0.18683826464494327
PPAT	1	-0.059384720729151436
PPAT	2	0.403326549319737
PPAT	3	-0.3088647571203266
PSAT1	1	0.31898963735801955
PSAT1	2	-0.24435939619537878
PSAT1	3	-0.16480180651082776
PSPH	1	0.19710917847935314
PSPH	2	0.12170456171615696
PSPH	3	-0.3605936832587128
PYCR1	1	-0.3873253518892155
PYCR1	2	0.5710693060548326
PYCR1	3	-0.06023169770749852
PYCR2	1	0.24754299166428523
PYCR2	2	-0.3845765244416049
PYCR2	3	0.0570938903758145
