geneSymbol	cluster	vtest_score
ALDH18A1	1	-0.25754961689598826
ALDH18A1	2	0.33060991038620774
ASNS	1	-0.3193016598305415
ASNS	2	0.4098794415422284
ATP5A1	1	0.0895865262211663
ATP5A1	2	-0.11499995132104078
ATP5B	1	0.05832390282061769
ATP5B	2	-0.07486891464756679
ATP5C1	1	-0.16282371564224946
ATP5C1	2	0.20901267369763935
ATP5D	1	0.25332155009213214
ATP5D	2	-0.32518244827627885
ATP5E	1	0.19526329576703785
ATP5E	2	-0.25065453986416264
ATP5F1	1	-0.09163672994108399
ATP5F1	2	0.11763174583226554
ATP5G1	1	0.3032226629346034
ATP5G1	2	-0.38923924107548485
ATP5G2	1	0.2096093979181778
ATP5G2	2	-0.2690702673024028
ATP5G3	1	0.10802705945743157
ATP5G3	2	-0.1386715960867847
ATP5H	1	0.018899118746916604
ATP5H	2	-0.02426031935361025
ATP5I	1	0.3051056653235635
ATP5I	2	-0.39165640347927405
ATP5J	1	0.1486823158154134
ATP5J	2	-0.19085971744077249
ATP5J2	1	0.2423811266991633
ATP5J2	2	-0.31113850427383927
ATP5L	1	0.1452883779453397
ATP5L	2	-0.1865030054852088
ATP5O	1	0.22853500435353902
ATP5O	2	-0.29336458822980116
CAD	1	0.0910163348131429
CAD	2	-0.11683536034303987
CTPS1	1	-0.15823480530673253
CTPS1	2	0.20312200589902143
CTPS2	1	-0.3109107677260986
CTPS2	2	0.3991082661852458
GCK	1	0.2790022109492837
GCK	2	-0.35814806122094933
GCLC	1	0.36337510233556486
GCLC	2	-0.46645540174985684
GCLM	1	-0.042493910128996684
GCLM	2	0.05454835456183614
GFPT1	1	-0.29482693143568756
GFPT1	2	0.3784618535105701
GFPT2	1	0.45542825876794574
GFPT2	2	-0.584621703706219
GLS	1	-0.11407709985913184
GLS	2	0.14643787948936202
GLS2	1	-0.1414228206859481
GLS2	2	0.1815408876823466
GMPS	1	-0.4704360787674952
GMPS	2	0.60388686156179
GSS	1	0.03177344367212523
GSS	2	-0.04078676369899128
HK1	1	0.3226709291251599
HK1	2	-0.41420448707320656
HK2	1	0.30306201149745027
HK2	2	-0.3890330169005832
HK3	1	0.24463322521344788
HK3	2	-0.3140294660114741
HKDC1	1	0.2372424547215247
HKDC1	2	-0.3045421214001002
PFAS	1	0.16378451616205944
PFAS	2	-0.21024602895392364
PHGDH	1	0.2602160511018736
PHGDH	2	-0.3340327443413988
PPAT	1	-0.2500291875770892
PPAT	2	0.3209561260274768
PSAT1	1	0.20721340814137454
PSAT1	2	-0.26599459600092007
PSPH	1	-0.07042576643718215
PSPH	2	0.09040377000475172
PYCR1	1	-0.40645924269230077
PYCR1	2	0.521761419883675
PYCR2	1	0.23798445999870488
PYCR2	2	-0.3054946147532275
