geneSymbol	cluster	vtest_score
A2M	1	-0.41457376879350155
A2M	2	-0.1193710190549506
A2M	3	0.3816707258346448
A2M	4	0.19655864169111628
ABCA2	1	-0.11399558418204143
ABCA2	2	0.3030650755329286
ABCA2	3	-0.12363949444375054
ABCA2	4	-0.012619795040725417
ABL1	1	0.0941550958808937
ABL1	2	-0.3120138849597666
ABL1	3	0.293954770075218
ABL1	4	-0.308982663829798
ABLIM1	1	-0.03925583363753275
ABLIM1	2	0.30760746922193183
ABLIM1	3	-0.09366182133462257
ABLIM1	4	-0.23775190887528827
ABR	1	-0.09446941022806812
ABR	2	0.12148317278105489
ABR	3	0.03325743383186221
ABR	4	-0.08978976383238721
ACACA	1	0.2823889071833063
ACACA	2	-0.22830204716256794
ACACA	3	-0.3025048387278841
ACACA	4	0.48803803117805894
ACACB	1	0.052634505712688
ACACB	2	-0.11548448906125444
ACACB	3	-0.10938558577398144
ACACB	4	0.3325988687918988
ACADVL	1	-0.28499478193741207
ACADVL	2	-0.11283014991052902
ACADVL	3	0.11817579718954953
ACADVL	4	0.5067288088420177
ACIN1	1	0.14858761002689228
ACIN1	2	-0.331449202184185
ACIN1	3	0.00421192366570574
ACIN1	4	0.25542502935429284
ACSL1	1	-0.2575001109115801
ACSL1	2	0.22813858299501313
ACSL1	3	0.10674372968172219
ACSL1	4	-0.10478543735039629
ACTA1	1	0.09262485033245292
ACTA1	2	-0.0651981268884009
ACTA1	3	-0.22576241339151495
ACTA1	4	0.42363223036976294
ACTA2	1	-0.34840773152185633
ACTA2	2	-0.20271252675938192
ACTA2	3	0.3276883911773
ACTA2	4	0.32439534254890184
ACTB	1	-0.5008871916604013
ACTB	2	-0.019668151355811618
ACTB	3	0.23245988401237622
ACTB	4	0.5312663736141193
ACTC1	1	-0.01875157087145339
ACTC1	2	0.19496896172968659
ACTC1	3	-0.23307665985302306
ACTC1	4	0.22138946498904225
ACTG1	1	-0.43608159594279533
ACTG1	2	0.0882290375405469
ACTG1	3	0.15884106311968516
ACTG1	4	0.37930649028919816
ACTG2	1	-0.21552519534959302
ACTG2	2	-0.22630100901413056
ACTG2	3	0.28534428493771297
ACTG2	4	0.18978586884522955
ACTN1	1	-0.28161652111202334
ACTN1	2	-0.39010178589338573
ACTN1	3	0.5150881089773016
ACTN1	4	0.09409748268220194
ACTN2	1	0.07343551376648794
ACTN2	2	0.023679250525736013
ACTN2	3	-0.28571269897043944
ACTN2	4	0.4435872573040371
ACTN4	1	-0.3639274234092049
ACTN4	2	-0.3378115523304693
ACTN4	3	0.44559088545823333
ACTN4	4	0.3251140507409917
ACTR2	1	-0.26502886610280785
ACTR2	2	0.19157437968547913
ACTR2	3	0.011030355636916414
ACTR2	4	0.18459972609887682
ADA	1	-0.28684549466000375
ADA	2	-0.16717551411256015
ADA	3	0.22809044304537365
ADA	4	0.35984174994383716
ADAM33	1	-0.04585510665381947
ADAM33	2	0.12950465136222297
ADAM33	3	-0.03507626826386028
