geneSymbol	cluster	vtest_score
ALDH18A1	1	-0.12817793130224844
ALDH18A1	2	-0.15501258981740645
ALDH18A1	3	-0.0248137403798894
ALDH18A1	4	0.5782032744739813
ASNS	1	5.725208088013782e-4
ASNS	2	0.05787724103810658
ASNS	3	-0.18862889082115603
ASNS	4	0.31766479147590726
ATP5A1	1	-0.25630499333081264
ATP5A1	2	0.28401781966278805
ATP5A1	3	-0.0032115342304611387
ATP5A1	4	0.040901591003445446
ATP5B	1	-0.3692754426829799
ATP5B	2	0.25478973660660154
ATP5B	3	0.07476699171852927
ATP5B	4	0.14643965515356247
ATP5C1	1	-0.36786397498128226
ATP5C1	2	0.3095148398768016
ATP5C1	3	-0.05509975913276576
ATP5C1	4	0.33772632718362444
ATP5D	1	-0.07958163293742278
ATP5D	2	0.17422642532890706
ATP5D	3	0.20048972413822339
ATP5D	4	-0.5799175455829652
ATP5E	1	-0.46120433648220927
ATP5E	2	0.2842965191738055
ATP5E	3	0.026785336548191086
ATP5E	4	0.3881125693640219
ATP5F1	1	-0.2773881483341069
ATP5F1	2	0.40673110833572124
ATP5F1	3	0.05577288944725578
ATP5F1	4	-0.2562306706611374
ATP5G1	1	-0.3198313185247207
ATP5G1	2	0.41834376795129324
ATP5G1	3	0.01722440380157468
ATP5G1	4	-0.10493629918109355
ATP5G2	1	-0.3483937875651729
ATP5G2	2	0.4554255902922396
ATP5G2	3	0.06804920145207705
ATP5G2	4	-0.22291748153483298
ATP5G3	1	-0.35155191731880797
ATP5G3	2	0.42374989770779875
ATP5G3	3	0.13376611944244485
ATP5G3	4	-0.30798634877709585
ATP5H	1	-0.3023368280467961
ATP5H	2	0.3167350656338648
ATP5H	3	-0.043987373878255506
ATP5H	4	0.16840073882278453
ATP5I	1	-0.32347919265864983
ATP5I	2	0.20452124794418194
ATP5I	3	-0.04428326271236169
ATP5I	4	0.4030738918825018
ATP5J	1	-0.41068304392733873
ATP5J	2	0.46544953154539787
ATP5J	3	0.00563315865255545
ATP5J	4	0.024016995258784504
ATP5J2	1	-0.3116930017198474
ATP5J2	2	0.09219339357694582
ATP5J2	3	0.14985163066245477
ATP5J2	4	0.1410699114243186
ATP5L	1	-0.3255725799697829
ATP5L	2	0.23454977251583142
ATP5L	3	-0.09920602836694736
ATP5L	4	0.4776730726522472
ATP5O	1	-0.3575837968186857
ATP5O	2	0.4013034146153036
ATP5O	3	-0.09992143921909855
ATP5O	4	0.25968062122355223
CAD	1	0.15248715523200243
CAD	2	-0.35319847442160135
CAD	3	0.031827931543598455
CAD	4	0.22349918290653245
CTPS1	1	0.265602347817056
CTPS1	2	-0.19783606841078272
CTPS1	3	-0.13628085584581462
CTPS1	4	0.10212825678680872
CTPS2	1	0.19359555951104077
CTPS2	2	-0.10607838520866955
CTPS2	3	-0.18989843672010762
CTPS2	4	0.2098950052558371
GCK	1	-0.15995216314487112
GCK	2	0.1423696870294571
GCK	3	0.1945953463836764
GCK	4	-0.3501459629264928
GCLC	1	-0.02259437251860405
GCLC	2	0.1922290980487968
GCLC	3	-0.31082750548281374
GCLC	4	0.40590921172436223
GCLM	1	-0.11383374147848717
GCLM	2	0.08471715547589481
GCLM	3	0.1624966163330778
GCLM	4	-0.2740219104728099
GFPT1	1	0.22137826248122702
GFPT1	2	-0.35121056156536373
GFPT1	3	-0.13814117790210567
GFPT1	4	0.45707635417274195
GFPT2	1	-0.2543156191176532
GFPT2	2	0.21055917971564503
GFPT2	3	0.06211037579851391
GFPT2	4	0.0175323211861079
GLS	1	0.08123988088954223
GLS	2	-0.04633100950740384
GLS	3	-0.14869510191681548
GLS	4	0.24390653350112854
GLS2	1	0.14377941695164517
GLS2	2	0.13262057267004315
GLS2	3	-0.23946144075032091
GLS2	4	0.013350914740460367
GMPS	1	0.3703814710100334
GMPS	2	-0.3037597556772983
GMPS	3	-0.10784835229809749
GMPS	4	0.008022720628148426
GSS	1	-0.3702928873829135
GSS	2	-0.16148191941447626
GSS	3	0.28138924380983754
GSS	4	0.40080866270940685
HK1	1	-0.25636600900359563
HK1	2	-0.28999703577925123
HK1	3	0.2228767045502204
HK1	4	0.5191608772449777
HK2	1	-0.30053361298554976
HK2	2	-0.031227804274733366
HK2	3	0.22067314888499653
HK2	4	0.17216874596860832
HK3	1	-0.21427975215546102
HK3	2	-0.19263989680718563
HK3	3	0.2865754411802161
HK3	4	0.12716164884691877
HKDC1	1	-0.09492707583451857
HKDC1	2	-0.2366482549384281
HKDC1	3	0.16453963963816778
HKDC1	4	0.23108322776871693
PFAS	1	0.3180894615315715
PFAS	2	-0.3551138992441414
PFAS	3	0.07461078087460661
PFAS	4	-0.20258784404974695
PHGDH	1	-0.12903641466655105
PHGDH	2	0.3870342998978493
PHGDH	3	-0.24829682774195716
PHGDH	4	0.15053242369696507
PPAT	1	0.007527303696009581
PPAT	2	-0.08374260699348504
PPAT	3	-0.018999164933092113
PPAT	4	0.16959531092416813
PSAT1	1	-0.02720011438333465
PSAT1	2	0.43068828139393206
PSAT1	3	-0.35590189944973266
PSAT1	4	0.10847456229084679
PSPH	1	0.058509766977838676
PSPH	2	0.0370348880436357
PSPH	3	-0.03717654493912196
PSPH	4	-0.09909346927359032
PYCR1	1	-0.008389811920811091
PYCR1	2	0.1879027130963852
PYCR1	3	-0.09158910046964033
PYCR1	4	-0.10065397369490785
PYCR2	1	-0.25731789024870927
PYCR2	2	0.38373681747996863
PYCR2	3	0.12790926382777362
PYCR2	4	-0.4172485715962685
