geneSymbol	cluster	vtest_score
A2M	1	0.18218787515545679
A2M	2	0.2258486279639772
A2M	3	-0.20343601439921843
A2M	4	-0.16239512696686237
ABCA2	1	0.19376011556250247
ABCA2	2	-0.22340598025094596
ABCA2	3	0.03882409532891496
ABCA2	4	-0.009457259718402776
ABL1	1	-0.3465580635355267
ABL1	2	0.05482057523887536
ABL1	3	0.2757706776484724
ABL1	4	-0.1536359072003644
ABLIM1	1	0.17248234035681112
ABLIM1	2	-0.49829440034959394
ABLIM1	3	0.31554449579707416
ABLIM1	4	-0.12117683203352635
ABR	1	0.01535049064353627
ABR	2	-0.1426679436977516
ABR	3	-0.14115208561180884
ABR	4	0.443349370094667
ACACA	1	-0.23801531412526405
ACACA	2	0.0432780723050972
ACACA	3	0.35738428432167935
ACACA	4	-0.42883225947173387
ACACB	1	0.35098495313140676
ACACB	2	-0.23146158514563253
ACACB	3	-0.17853841374554688
ACACB	4	0.2102089558807989
ACADVL	1	0.12280642400406293
ACADVL	2	0.0028993320987151477
ACADVL	3	-0.26854744328259916
ACADVL	4	0.3443489890462938
ACIN1	1	-0.10827402166516442
ACIN1	2	0.16060875329867721
ACIN1	3	0.033756595380148094
ACIN1	4	-0.14844102876457027
ACSL1	1	0.11094418131936991
ACSL1	2	-0.044778541506027815
ACSL1	3	-0.024881682440163703
ACSL1	4	-0.03215980263030898
ACTA1	1	0.07787517419212903
ACTA1	2	-0.015857606753504463
ACTA1	3	-0.16412166524762795
ACTA1	4	0.23129570194889781
ACTA2	1	0.11929902387590055
ACTA2	2	0.4801017106356771
ACTA2	3	-0.3367738107348654
ACTA2	4	-0.184446362441705
ACTB	1	0.2186758474528122
ACTB	2	0.06664144657389436
ACTB	3	-0.23840643988841106
ACTB	4	0.07758820515068707
ACTC1	1	0.08757975070642078
ACTC1	2	-0.016752131105924523
ACTC1	3	-0.2880161492691254
ACTC1	4	0.4529083151633096
ACTG1	1	0.23542029577418033
ACTG1	2	0.11813995994394531
ACTG1	3	-0.26004359076785444
ACTG1	4	0.025577487539107345
ACTG2	1	-0.0017328356675638623
ACTG2	2	0.43163748878984143
ACTG2	3	-0.2956497707921872
ACTG2	4	-0.04074366671676506
ACTN1	1	0.43646361049122673
ACTN1	2	0.07375579207211998
ACTN1	3	-0.4467128284583408
ACTN1	4	0.18227366405881895
ACTN2	1	-0.09445253870339511
ACTN2	2	-0.12765589719261028
ACTN2	3	0.280242994679752
ACTN2	4	-0.2294288592628833
ACTN4	1	0.2246839394973485
ACTN4	2	0.22534717984941927
ACTN4	3	-0.40095955376513087
ACTN4	4	0.15530317294154022
ACTR2	1	-0.06372841068293492
ACTR2	2	-0.005768013322865153
ACTR2	3	0.13151293901134967
ACTR2	4	-0.1580497371566797
ADA	1	0.08559607915596443
ADA	2	0.26215896564095265
ADA	3	-0.30625950981763567
ADA	4	0.10312658558395627
ADAM33	1	0.5133380864079558
ADAM33	2	-0.12504914736212308
ADAM33	3	-0.25767064241019905
ADAM33	4	0.00507980167603916
ADAMTS1	1	0.3596922953679443
ADAMTS1	2	-0.06247442586627124
ADAMTS1	3	-0.1941637805631225
ADAMTS1	4	-0.0057198359992100874
ADAR	1	-0.0799521064297072
ADAR	2	0.17565308711499236
ADAR	3	-0.06094762540261719
ADAR	4	-0.027399105654214027
ADD1	1	-0.09736256404044981
ADD1	2	-0.22200600798701625
ADD1	3	0.20887768941097173
ADD1	4	0.03907703227031297
ADH1B	1	0.0628864786705405
ADH1B	2	0.156277864165866
ADH1B	3	-0.07140921269726506
ADH1B	4	-0.16237408373504048
ADK	1	0.4710396269584864
ADK	2	-0.09227349278709936
ADK	3	-0.33675897908588587
ADK	4	0.16194008974350008
AEBP1	1	0.43927075889564393
AEBP1	2	0.11898844820658873
AEBP1	3	-0.42118112779783917
AEBP1	4	0.06806079842930918
AES	1	-0.2359492865377243
AES	2	0.2602324118920942
AES	3	0.27117214137497886
AES	4	-0.570226747127675
AHCYL1	1	-0.26691587619814383
AHCYL1	2	-0.15720733230330292
AHCYL1	3	0.11133246908271165
AHCYL1	4	0.34789889521500944
AHNAK	1	0.4324857817241838
AHNAK	2	-0.10503495841562652
AHNAK	3	-0.4456211613133084
AHNAK	4	0.4330788687833253
AKAP12	1	0.1798154850806802
AKAP12	2	-0.26627542668167875
AKAP12	3	0.01791003056681021
AKAP12	4	0.10695753562009488
AKAP13	1	0.31365307276672044
AKAP13	2	0.026579083390514135
AKAP13	3	-0.23739351042430468
AKAP13	4	0.010541951757951494
AKT2	1	-0.12410385168705464
AKT2	2	0.06729289386689455
