GOID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Ontology	gene_set_size	universe_size	LogOddsRatioSE	change_dir	cancer_group	gene_parsed_by	quantile
GO:0001775	2.1371010461874035e-11	2.004509616632664	82.67924528301887	142	896	cell activation	BP	939	10176	0.09869701837867204	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0050896	1.750721823006322e-9	1.5119284607781975	494.87588443396226	581	5363	response to stimulus	BP	939	10176	0.0703423833860976	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0016192	3.3472501328846393e-9	1.702873334658978	125.86438679245283	187	1364	vesicle-mediated transport	BP	939	10176	0.08747038337566619	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0045321	1.5208225599722235e-8	1.867477760334903	73.08254716981132	120	792	leukocyte activation	BP	939	10176	0.1056370390761248	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0002443	2.1844848263106872e-8	2.0990782039845377	45.861143867924525	84	497	leukocyte mediated immunity	BP	939	10176	0.12493593295485998	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0003013	5.1517342418672756e-8	2.267787541225582	33.58844339622642	66	364	circulatory system process	BP	939	10176	0.1405865020490803	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0002274	6.82324102474017e-8	2.1164212569124534	41.06279481132076	76	445	myeloid leukocyte activation	BP	939	10176	0.13091766644124894	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0032940	7.314072535580123e-8	1.7323411520190024	90.52270047169812	139	981	secretion by cell	BP	939	10176	0.09874721050897524	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0046903	9.016720445440799e-8	1.7004700470047005	97.44339622641508	147	1056	secretion	BP	939	10176	0.09636147680087834	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0008015	1.1468914783727613e-7	2.2406262230919767	32.8502358490566	64	356	blood circulation	BP	939	10176	0.14249318922529067	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0007154	1.2983739260717526e-7	1.43125	364.58225235849056	439	3951	cell communication	BP	939	10176	0.0688281545452402	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0002684	1.4027692840404245e-7	1.8789112438323217	60.0716391509434	100	651	positive regulation of immune system process	BP	939	10176	0.11455088361835916	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0043299	1.7522924365422985e-7	2.2093590733590736	33.219339622641506	64	360	leukocyte degranulation	BP	939	10176	0.14233088151891782	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0006810	2.3078755540346717e-7	1.4386194496705251	292.2379127358491	362	3167	transport	BP	939	10176	0.07076377652397128	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0051179	2.332800629614815e-7	1.41784436969334	386.63620283018867	460	4190	localization	BP	939	10176	0.06863875946910707	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0002444	2.9845319083797616e-7	2.1560261820559306	34.418926886792455	65	373	myeloid leukocyte mediated immunity	BP	939	10176	0.14102314709065342	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0023052	3.034423494957849e-7	1.4155908335619125	363.936320754717	436	3944	signaling	BP	939	10176	0.06885682826273713	gain_of_correlation_genes	EPN	SLC1A5	10
GO:0002275	3.250311068511494e-7	2.164011352885525	33.772995283018865	64	366	myeloid cell activation involved in immune response	BP	939	10176	0.1420951612090358	gain_of_correlation_genes	EPN	SLC1A5	10
