GOID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Ontology	gene_set_size	universe_size	LogOddsRatioSE	change_dir	cancer_group	gene_parsed_by	quantile
GO:0006952	2.482562496984457e-24	4.711430724783319	24.774164942358855	83	921	defense response	BP	273	10149	0.1364379420690286	gain_of_correlation_genes	EPN	FOLH1	40
GO:0045087	1.0260629027995756e-19	5.234705228031146	13.98758498374224	56	520	innate immune response	BP	273	10149	0.15724775847568684	gain_of_correlation_genes	EPN	FOLH1	40
GO:0006955	1.53488758797062e-17	3.5248223865448747	31.525864617203663	83	1172	immune response	BP	273	10149	0.13543791491035373	gain_of_correlation_genes	EPN	FOLH1	40
GO:0006950	6.940497855181877e-16	2.782674028515516	66.68312148980195	127	2479	response to stress	BP	273	10149	0.1236179959075406	gain_of_correlation_genes	EPN	FOLH1	40
GO:0034097	6.9817502374781e-16	3.843776223776224	20.927579071829737	63	778	response to cytokine	BP	273	10149	0.14880416802745888	gain_of_correlation_genes	EPN	FOLH1	40
GO:0002376	8.315431553541154e-16	2.957961671863504	47.934377771208986	103	1782	immune system process	BP	273	10149	0.12770543947712934	gain_of_correlation_genes	EPN	FOLH1	40
GO:0019221	2.0458402309250515e-15	4.59689497716895	13.073012119420632	48	486	cytokine-mediated signaling pathway	BP	273	10149	0.1663335127147203	gain_of_correlation_genes	EPN	FOLH1	40
GO:0071345	4.0292068281697444e-14	3.7089261517615175	19.179130948861957	57	713	cellular response to cytokine stimulus	BP	273	10149	0.15429303092655558	gain_of_correlation_genes	EPN	FOLH1	40
GO:0034341	2.515009586443363e-13	8.18103719224725	3.738989062961868	24	139	response to interferon-gamma	BP	273	10149	0.2334112928228339	gain_of_correlation_genes	EPN	FOLH1	40
GO:0050896	4.11408545754092e-13	2.577466731580655	143.53414129470883	201	5336	response to stimulus	BP	273	10149	0.13881527725318454	gain_of_correlation_genes	EPN	FOLH1	40
GO:0048584	9.110189961244637e-13	2.7613152804642165	40.24120603015076	86	1496	positive regulation of response to stimulus	BP	273	10149	0.13342728339720977	gain_of_correlation_genes	EPN	FOLH1	40
GO:0051707	1.058758753159956e-12	3.923756755529315	14.283476204552173	46	531	response to other organism	BP	273	10149	0.16826395151927254	gain_of_correlation_genes	EPN	FOLH1	40
