GOID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Ontology	gene_set_size	universe_size	LogOddsRatioSE	change_dir	cancer_group	gene_parsed_by	quantile
GO:0071400	7.848515786821243e-6	1356.5333333333333	0.0050039246467817895	2	3	cellular response to oleic acid	BP	17	10192	1.251704820005449	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0034201	2.6110400443303123e-5	452.0888888888889	0.008339874411302984	2	5	response to oleic acid	BP	17	10192	0.9487351100722262	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0071398	7.68089730511063e-4	58.85217391304348	0.041699372056514916	2	25	cellular response to fatty acid	BP	17	10192	0.7811807923229481	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0000053	0.001667974882261114	Inf	0.0016679748822605966	1	1	argininosuccinate metabolic process	BP	17	10192	Inf	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0071418	0.001667974882261114	Inf	0.0016679748822605966	1	1	cellular response to amine stimulus	BP	17	10192	Inf	gain_of_correlation_genes	Medullo	FOLH1	30
GO:2000647	0.001667974882261114	Inf	0.0016679748822605966	1	1	negative regulation of stem cell proliferation	BP	17	10192	Inf	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0019229	0.001685215155121777	38.628571428571426	0.061715070643642074	2	37	regulation of vasoconstriction	BP	17	10192	0.7715806597935719	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0070542	0.002066771589244788	34.65299145299145	0.06838697017268446	2	41	response to fatty acid	BP	17	10192	0.76967938166195	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0042310	0.0028236392222639544	29.359420289855073	0.08006279434850863	2	48	vasoconstriction	BP	17	10192	0.7671404848725651	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0097006	0.0029409118863102613	28.73191489361702	0.08173076923076923	2	49	regulation of plasma lipoprotein particle levels	BP	17	10192	0.766838965225609	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0001661	0.0033333310226789648	635.875	0.0033359497645211933	1	2	conditioned taste aversion	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0002018	0.0033333310226789648	635.875	0.0033359497645211933	1	2	renin-angiotensin regulation of aldosterone production	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0002034	0.0033333310226789648	635.875	0.0033359497645211933	1	2	maintenance of blood vessel diameter homeostasis by renin-angiotensin	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0003072	0.0033333310226789648	635.875	0.0033359497645211933	1	2	renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0007198	0.0033333310226789648	635.875	0.0033359497645211933	1	2	adenylate cyclase-inhibiting serotonin receptor signaling pathway	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0021764	0.0033333310226789648	635.875	0.0033359497645211933	1	2	amygdala development	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0038183	0.0033333310226789648	635.875	0.0033359497645211933	1	2	bile acid signaling pathway	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0086097	0.0033333310226789648	635.875	0.0033359497645211933	1	2	phospholipase C-activating angiotensin-activated signaling pathway	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:2001287	0.0033333310226789648	635.875	0.0033359497645211933	1	2	negative regulation of caveolin-mediated endocytosis	BP	17	10192	1.436174881328248	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0008652	0.004097507939979651	24.09285714285714	0.0967425431711146	2	58	cellular amino acid biosynthetic process	BP	17	10192	0.764606195056171	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0002016	0.004996072276124752	317.90625	0.0050039246467817895	1	3	regulation of blood volume by renin-angiotensin	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0006640	0.004996072276124752	317.90625	0.0050039246467817895	1	3	monoacylglycerol biosynthetic process	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0010046	0.004996072276124752	317.90625	0.0050039246467817895	1	3	response to mycotoxin	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0032430	0.004996072276124752	317.90625	0.0050039246467817895	1	3	positive regulation of phospholipase A2 activity	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0035609	0.004996072276124752	317.90625	0.0050039246467817895	1	3	C-terminal protein deglutamylation	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0060136	0.004996072276124752	317.90625	0.0050039246467817895	1	3	embryonic process involved in female pregnancy	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:1904431	0.004996072276124752	317.90625	0.0050039246467817895	1	3	positive regulation of t-circle formation	BP	17	10192	1.250039319149615	gain_of_correlation_genes	Medullo	FOLH1	30
GO:2000379	0.005120759772950007	21.401058201058202	0.10841836734693877	2	65	positive regulation of reactive oxygen species metabolic process	BP	17	10192	0.7633076541898068	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0006526	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	arginine biosynthetic process	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0032218	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	riboflavin transport	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0033864	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	positive regulation of NAD(P)H oxidase activity	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0035931	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	mineralocorticoid secretion	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0035932	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	aldosterone secretion	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:0060613	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	fat pad development	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:2000855	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	regulation of mineralocorticoid secretion	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
GO:2000858	0.006656202492172025	211.91666666666666	0.0066718995290423865	1	4	regulation of aldosterone secretion	BP	17	10192	1.1814955109593488	gain_of_correlation_genes	Medullo	FOLH1	30
