GOID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Ontology	gene_set_size	universe_size	LogOddsRatioSE	change_dir	cancer_group	gene_parsed_by	percentile
GO:0000184	3.7024584569117785e-15	5.273576097105509	16.17313756405203	50	101	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP	1625	10148	0.20089997425356712	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006614	2.965652105622569e-13	5.128674751808156	14.411706740244384	44	90	SRP-dependent cotranslational protein targeting to membrane	BP	1625	10148	0.21264261212806856	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006613	4.147254906841205e-13	4.925471454404547	15.0522270398108	45	94	cotranslational protein targeting to membrane	BP	1625	10148	0.20828179206181005	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045047	4.0907296307064824e-12	4.466772151898734	15.85287741426882	45	99	protein targeting to ER	BP	1625	10148	0.20369518852508323	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006413	5.22342376451344e-12	3.5075396341682024	23.539121009065827	58	147	translational initiation	BP	1625	10148	0.17097971856876534	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0072599	1.4591706940193276e-11	4.230179880079946	16.333267638943635	45	102	establishment of protein localization to endoplasmic reticulum	BP	1625	10148	0.20128863057987528	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0000956	4.3602212700176304e-11	3.396881177245772	22.738470634607804	55	142	nuclear-transcribed mRNA catabolic process	BP	1625	10148	0.17444641963297625	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0070972	4.877561453260782e-10	3.5693476884103865	18.41495861253449	46	115	protein localization to endoplasmic reticulum	BP	1625	10148	0.19231090318081745	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006612	4.601990882610059e-9	2.8952387014640357	24.660031533307055	54	154	protein targeting to membrane	BP	1625	10148	0.1710958161421789	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0019083	2.0274915834273426e-8	3.0362395327563156	20.33651951123374	46	127	viral transcription	BP	1625	10148	0.18664559199828465	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0019080	4.408248597976751e-8	2.851997463538364	22.097950335041386	48	138	viral gene expression	BP	1625	10148	0.1808235095765312	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045595	1.779020807772991e-7	1.4879818328811052	198.88155301537248	263	1242	regulation of cell differentiation	BP	1625	10148	0.07543541537274702	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050793	2.460202211318541e-7	1.4122435393088422	281.50867165944027	354	1758	regulation of developmental process	BP	1625	10148	0.06681587160023957	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006402	2.544272375041921e-7	2.2194765368706317	36.66978715017738	67	229	mRNA catabolic process	BP	1625	10148	0.14785014062408192	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0060284	6.699558899864506e-7	1.6194149430270002	109.68910130074892	157	685	regulation of cell development	BP	1625	10148	0.09523467451234428	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0023052	1.3032616172263103e-6	1.2965764754060007	630.432104848246	716	3937	signaling	BP	1625	10148	0.05473416407854725	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0090150	1.4720263162890117e-6	2.071276347287908	39.07173827355144	68	244	establishment of protein localization to membrane	BP	1625	10148	0.1454295871370424	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0022008	1.6539516654633584e-6	1.449416945357997	190.5547891210091	248	1190	neurogenesis	BP	1625	10148	0.07714891004699147	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048858	1.7579159111897726e-6	1.6790736145574856	84.54867954276705	125	528	cell projection morphogenesis	BP	1625	10148	0.10616595006964352	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0006401	1.8057964677754524e-6	2.0437657117698023	40.03251872290107	69	250	RNA catabolic process	BP	1625	10148	0.14415326688337488	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0051239	1.8861090705859676e-6	1.3501710492972847	334.1914662987781	405	2087	regulation of multicellular organismal process	BP	1625	10148	0.06347846653865234	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0120039	1.9823516926881346e-6	1.67763491005996	83.90815924320063	124	524	plasma membrane bounded cell projection morphogenesis	BP	1625	10148	0.10655442681441052	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007154	2.197517521322183e-6	1.288840297577546	632.3536657469452	716	3949	cell communication	BP	1625	10148	0.05472754526458241	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050767	2.7862296437056735e-6	1.6098283444460206	98.64012613322822	141	616	regulation of neurogenesis	BP	1625	10148	0.09997785084735222	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0061564	2.8377025800940893e-6	1.7567060136480253	66.45398108001577	102	415	axon development	BP	1625	10148	0.11737636578682384	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048667	2.941996786950438e-6	1.712026797508964	73.81996452502956	111	461	cell morphogenesis involved in neuron differentiation	BP	1625	10148	0.1124678084626984	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0000904	3.0426505872638665e-6	1.6297675081581406	92.07479306267244	133	575	cell morphogenesis involved in differentiation	BP	1625	10148	0.10283593136285488	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032990	3.1829475421455913e-6	1.6505919200370869	86.31011036657469	126	539	cell part morphogenesis	BP	1625	10148	0.10558518557276432	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048699	3.2492593036151503e-6	1.4463879767618086	179.66594402837998	234	1122	generation of neurons	BP	1625	10148	0.0790538641059144	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045597	3.4171578016831166e-6	1.5693782101236795	110.00936145053213	154	687	positive regulation of cell differentiation	BP	1625	10148	0.09578436824576568	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0050789	3.579311550964479e-6	1.3073838391445138	1099.773354355538	1177	6868	regulation of biological process	BP	1625	10148	0.06008813457495513	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0048812	3.8621329091111634e-6	1.659886664326601	82.4669885691762	121	515	neuron projection morphogenesis	BP	1625	10148	0.10765892370864812	gain_of_correlation_genes	Medullo	SLC1A5	15
