Kids_First_Biospecimen_ID	pathway	gsea_score	description	cancer_group	gene_parsed_by	group
BS_B7GEH89C	path:hsa00010	-0.34726322397894704	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00020	-0.13227510547390536	Citrate cycle (TCA cycle) - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00030	0.02349132506474433	Pentose phosphate pathway - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00040	-0.29947096261190514	Pentose and glucuronate interconversions - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00051	0.08118741410309707	Fructose and mannose metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00052	0.2845018077357282	Galactose metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00053	-0.5075300955069125	Ascorbate and aldarate metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00061	-0.12565265691239538	Fatty acid biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00062	0.1546237782891724	Fatty acid elongation - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00071	-0.11545917540017633	Fatty acid degradation - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00100	-0.5552553886425461	Steroid biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00120	-0.31201079726112296	Primary bile acid biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00130	0.1515231928669842	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00140	-0.43373251256568607	Steroid hormone biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00190	-0.16257553786355172	Oxidative phosphorylation - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00220	-0.08976265523036092	Arginine biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00230	-0.00659406615458033	Purine metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00232	-0.49439221634830777	Caffeine metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00240	0.20917683862330402	Pyrimidine metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00250	-0.07496183603351139	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00260	-0.28182941974714826	Glycine, serine and threonine metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00270	-0.19666172675006854	Cysteine and methionine metabolism - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00280	-0.036198864507789835	Valine, leucine and isoleucine degradation - Homo sapiens (human)	LGG	FOLH1	2
BS_B7GEH89C	path:hsa00290	-0.42777219019419077	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	LGG	FOLH1	2
