pathway_id	pathway_description	pvalue
hsa03320	PPAR signaling pathway	0.002997002997002997
hsa04976	Bile secretion	0.005994005994005994
hsa04910	Insulin signaling pathway	0.007992007992007992
hsa04380	Osteoclast differentiation	0.008991008991008992
hsa04710	Circadian rhythm	0.008991008991008992
hsa03030	DNA replication	0.014985014985014986
hsa04917	Prolactin signaling pathway	0.014985014985014986
hsa04015	Rap1 signaling pathway	0.015984015984015984
hsa04970	Salivary secretion	0.015984015984015984
hsa00982	Drug metabolism - cytochrome P450	0.01898101898101898
hsa04961	Endocrine and other factor-regulated calcium reabsorption	0.027972027972027972
hsa04071	Sphingolipid signaling pathway	0.03196803196803197
hsa00830	Retinol metabolism	0.03396603396603397
hsa04520	Adherens junction	0.03396603396603397
hsa04971	Gastric acid secretion	0.03696303696303696
hsa04152	AMPK signaling pathway	0.03896103896103896
hsa04919	Thyroid hormone signaling pathway	0.04395604395604396
hsa04650	Natural killer cell mediated cytotoxicity	0.04495504495504495
hsa04920	Adipocytokine signaling pathway	0.04795204795204795
hsa04913	Ovarian steroidogenesis	0.054945054945054944
hsa04725	Cholinergic synapse	0.06293706293706294
hsa04921	Oxytocin signaling pathway	0.06293706293706294
hsa04150	mTOR signaling pathway	0.06593406593406594
hsa04722	Neurotrophin signaling pathway	0.06693306693306693
hsa00280	Valine, leucine and isoleucine degradation	0.06893106893106893
hsa04660	T cell receptor signaling pathway	0.07192807192807193
hsa04120	Ubiquitin mediated proteolysis	0.07592407592407592
hsa04012	ErbB signaling pathway	0.07992007992007992
hsa04662	B cell receptor signaling pathway	0.08191808191808192
hsa04114	Oocyte meiosis	0.08691308691308691
hsa04810	Regulation of actin cytoskeleton	0.0919080919080919
hsa00020	Citrate cycle (TCA cycle)	0.0939060939060939
hsa04115	p53 signaling pathway	0.09490509490509491
hsa04022	cGMP-PKG signaling pathway	0.0969030969030969
hsa04728	Dopaminergic synapse	0.1048951048951049
hsa04261	Adrenergic signaling in cardiomyocytes	0.12087912087912088
hsa04390	Hippo signaling pathway	0.12387612387612387
hsa04915	Estrogen signaling pathway	0.12487512487512488
hsa00600	Sphingolipid metabolism	0.1258741258741259
hsa04151	PI3K-Akt signaling pathway	0.1258741258741259
hsa04024	cAMP signaling pathway	0.12887112887112886
hsa04142	Lysosome	0.12987012987012986
hsa04550	Signaling pathways regulating pluripotency of stem cells	0.13386613386613386
hsa04630	Jak-STAT signaling pathway	0.14185814185814186
hsa00980	Metabolism of xenobiotics by cytochrome P450	0.14285714285714285
hsa04721	Synaptic vesicle cycle	0.14485514485514486
hsa00562	Inositol phosphate metabolism	0.15484515484515485
hsa03410	Base excision repair	0.15784215784215785
hsa04062	Chemokine signaling pathway	0.15784215784215785
hsa03018	RNA degradation	0.16283716283716285
hsa04014	Ras signaling pathway	0.17382617382617382
hsa04730	Long-term depression	0.17582417582417584
hsa04512	ECM-receptor interaction	0.18081918081918083
hsa00620	Pyruvate metabolism	0.18281718281718282
hsa04010	MAPK signaling pathway	0.18581418581418582
hsa04962	Vasopressin-regulated water reabsorption	0.1928071928071928
hsa04918	Thyroid hormone synthesis	0.1938061938061938
hsa04623	Cytosolic DNA-sensing pathway	0.19480519480519481
hsa04060	Cytokine-cytokine receptor interaction	0.1958041958041958
hsa04066	HIF-1 signaling pathway	0.1998001998001998
hsa04146	Peroxisome	0.20679320679320679
hsa04360	Axon guidance	0.21978021978021978
hsa04370	VEGF signaling pathway	0.21978021978021978
hsa01212	Fatty acid metabolism	0.23876123876123875
hsa04713	Circadian entrainment	0.26073926073926074
hsa04720	Long-term potentiation	0.26373626373626374
hsa04916	Melanogenesis	0.26373626373626374
hsa04960	Aldosterone-regulated sodium reabsorption	0.26373626373626374
hsa00270	Cysteine and methionine metabolism	0.2677322677322677
hsa04972	Pancreatic secretion	0.28471528471528473
hsa00330	Arginine and proline metabolism	0.2977022977022977
hsa00071	Fatty acid degradation	0.3046953046953047
hsa04068	FoxO signaling pathway	0.3046953046953047
hsa04911	Insulin secretion	0.3046953046953047
hsa03040	Spliceosome	0.3086913086913087
hsa04070	Phosphatidylinositol signaling system	0.3086913086913087
