pathway_id	pathway_description	pvalue
path:hsa03430	Mismatch repair - Homo sapiens (human)	9.99000999000999e-4
path:hsa03440	Homologous recombination - Homo sapiens (human)	9.99000999000999e-4
path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	9.99000999000999e-4
path:hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	9.99000999000999e-4
path:hsa04110	Cell cycle - Homo sapiens (human)	9.99000999000999e-4
path:hsa04145	Phagosome - Homo sapiens (human)	9.99000999000999e-4
path:hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	9.99000999000999e-4
path:hsa04380	Osteoclast differentiation - Homo sapiens (human)	9.99000999000999e-4
path:hsa04612	Antigen processing and presentation - Homo sapiens (human)	9.99000999000999e-4
path:hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	9.99000999000999e-4
path:hsa04668	TNF signaling pathway - Homo sapiens (human)	9.99000999000999e-4
path:hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	9.99000999000999e-4
path:hsa05032	Morphine addiction - Homo sapiens (human)	9.99000999000999e-4
path:hsa05110	Vibrio cholerae infection - Homo sapiens (human)	9.99000999000999e-4
path:hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	9.99000999000999e-4
path:hsa05131	Shigellosis - Homo sapiens (human)	9.99000999000999e-4
path:hsa05145	Toxoplasmosis - Homo sapiens (human)	9.99000999000999e-4
path:hsa05152	Tuberculosis - Homo sapiens (human)	9.99000999000999e-4
path:hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	9.99000999000999e-4
path:hsa05168	Herpes simplex virus 1 infection - Homo sapiens (human)	9.99000999000999e-4
path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	0.001998001998001998
path:hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	0.001998001998001998
path:hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	0.001998001998001998
path:hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	0.001998001998001998
path:hsa04659	Th17 cell differentiation - Homo sapiens (human)	0.001998001998001998
path:hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)	0.001998001998001998
path:hsa04726	Serotonergic synapse - Homo sapiens (human)	0.001998001998001998
path:hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	0.001998001998001998
path:hsa04915	Estrogen signaling pathway - Homo sapiens (human)	0.001998001998001998
path:hsa04930	Type II diabetes mellitus - Homo sapiens (human)	0.001998001998001998
path:hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	0.001998001998001998
path:hsa05140	Leishmaniasis - Homo sapiens (human)	0.001998001998001998
path:hsa05165	Human papillomavirus infection - Homo sapiens (human)	0.001998001998001998
path:hsa05205	Proteoglycans in cancer - Homo sapiens (human)	0.001998001998001998
path:hsa05231	Choline metabolism in cancer - Homo sapiens (human)	0.001998001998001998
path:hsa04062	Chemokine signaling pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04210	Apoptosis - Homo sapiens (human)	0.002997002997002997
path:hsa04371	Apelin signaling pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04390	Hippo signaling pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	0.002997002997002997
path:hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	0.002997002997002997
path:hsa05132	Salmonella infection - Homo sapiens (human)	0.002997002997002997
path:hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)	0.002997002997002997
path:hsa05206	MicroRNAs in cancer - Homo sapiens (human)	0.002997002997002997
path:hsa05219	Bladder cancer - Homo sapiens (human)	0.002997002997002997
path:hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	0.002997002997002997
path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)	0.003996003996003996
path:hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa04657	IL-17 signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa04727	GABAergic synapse - Homo sapiens (human)	0.003996003996003996
path:hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	0.003996003996003996
path:hsa05340	Primary immunodeficiency - Homo sapiens (human)	0.003996003996003996
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.004995004995004995
path:hsa04024	cAMP signaling pathway - Homo sapiens (human)	0.004995004995004995
path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	0.004995004995004995
path:hsa04510	Focal adhesion - Homo sapiens (human)	0.004995004995004995
path:hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	0.004995004995004995
path:hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	0.004995004995004995
path:hsa04912	GnRH signaling pathway - Homo sapiens (human)	0.004995004995004995
path:hsa05034	Alcoholism - Homo sapiens (human)	0.004995004995004995
path:hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)	0.004995004995004995
path:hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	0.004995004995004995
path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	0.005994005994005994
path:hsa03018	RNA degradation - Homo sapiens (human)	0.005994005994005994
path:hsa03460	Fanconi anemia pathway - Homo sapiens (human)	0.005994005994005994
path:hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	0.005994005994005994
path:hsa04114	Oocyte meiosis - Homo sapiens (human)	0.005994005994005994
path:hsa04218	Cellular senescence - Homo sapiens (human)	0.005994005994005994
path:hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	0.005994005994005994
path:hsa04514	Cell adhesion molecules - Homo sapiens (human)	0.005994005994005994
path:hsa04713	Circadian entrainment - Homo sapiens (human)	0.005994005994005994
path:hsa05135	Yersinia infection - Homo sapiens (human)	0.005994005994005994
