pathway_id	pathway_description	pvalue
path:hsa00010	0.28771228771228774	Glycolysis / Gluconeogenesis - Homo sapiens (human)
path:hsa00020	0.04695304695304695	Citrate cycle (TCA cycle) - Homo sapiens (human)
path:hsa00030	0.030969030969030968	Pentose phosphate pathway - Homo sapiens (human)
path:hsa00040	0.3196803196803197	Pentose and glucuronate interconversions - Homo sapiens (human)
path:hsa00051	0.0959040959040959	Fructose and mannose metabolism - Homo sapiens (human)
path:hsa00052	0.15284715284715283	Galactose metabolism - Homo sapiens (human)
path:hsa00053	0.4875124875124875	Ascorbate and aldarate metabolism - Homo sapiens (human)
path:hsa00061	0.3786213786213786	Fatty acid biosynthesis - Homo sapiens (human)
path:hsa00062	0.23676323676323677	Fatty acid elongation - Homo sapiens (human)
path:hsa00071	0.5524475524475524	Fatty acid degradation - Homo sapiens (human)
path:hsa00100	0.7762237762237763	Steroid biosynthesis - Homo sapiens (human)
path:hsa00120	0.6723276723276723	Primary bile acid biosynthesis - Homo sapiens (human)
path:hsa00130	0.8911088911088911	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)
path:hsa00140	0.08691308691308691	Steroid hormone biosynthesis - Homo sapiens (human)
path:hsa00190	0.09090909090909091	Oxidative phosphorylation - Homo sapiens (human)
path:hsa00220	0.08191808191808192	Arginine biosynthesis - Homo sapiens (human)
path:hsa00230	0.03796203796203796	Purine metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00240	0.060939060939060936	Pyrimidine metabolism - Homo sapiens (human)
path:hsa00250	0.6083916083916084	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)
path:hsa00260	0.4775224775224775	Glycine, serine and threonine metabolism - Homo sapiens (human)
path:hsa00270	0.05194805194805195	Cysteine and methionine metabolism - Homo sapiens (human)
path:hsa00280	0.1838161838161838	Valine, leucine and isoleucine degradation - Homo sapiens (human)
NA	NA	NA
path:hsa00310	0.4155844155844156	Lysine degradation - Homo sapiens (human)
path:hsa00330	0.6453546453546454	Arginine and proline metabolism - Homo sapiens (human)
path:hsa00340	0.5904095904095904	Histidine metabolism - Homo sapiens (human)
path:hsa00350	0.1958041958041958	Tyrosine metabolism - Homo sapiens (human)
path:hsa00360	0.4515484515484515	Phenylalanine metabolism - Homo sapiens (human)
path:hsa00380	0.24875124875124874	Tryptophan metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00410	0.3306693306693307	beta-Alanine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00450	0.17382617382617382	Selenocompound metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00480	0.24075924075924077	Glutathione metabolism - Homo sapiens (human)
path:hsa00500	0.36563436563436563	Starch and sucrose metabolism - Homo sapiens (human)
path:hsa00510	0.2827172827172827	N-Glycan biosynthesis - Homo sapiens (human)
path:hsa00511	0.7692307692307693	Other glycan degradation - Homo sapiens (human)
path:hsa00512	0.5224775224775224	Mucin type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00513	0.21178821178821178	Various types of N-glycan biosynthesis - Homo sapiens (human)
path:hsa00514	0.16683316683316685	Other types of O-glycan biosynthesis - Homo sapiens (human)
path:hsa00515	0.3086913086913087	Mannose type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00520	0.08291708291708291	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00531	0.22877122877122877	Glycosaminoglycan degradation - Homo sapiens (human)
path:hsa00532	0.09290709290709291	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)
path:hsa00533	0.5714285714285714	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)
path:hsa00534	0.08191808191808192	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)
path:hsa00561	0.023976023976023976	Glycerolipid metabolism - Homo sapiens (human)
path:hsa00562	0.11988011988011989	Inositol phosphate metabolism - Homo sapiens (human)
path:hsa00563	0.3786213786213786	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)
path:hsa00564	0.004995004995004995	Glycerophospholipid metabolism - Homo sapiens (human)
path:hsa00565	0.07692307692307693	Ether lipid metabolism - Homo sapiens (human)
path:hsa00590	0.33266733266733267	Arachidonic acid metabolism - Homo sapiens (human)
path:hsa00591	0.36363636363636365	Linoleic acid metabolism - Homo sapiens (human)
path:hsa00592	0.002997002997002997	alpha-Linolenic acid metabolism - Homo sapiens (human)
path:hsa00600	0.06393606393606394	Sphingolipid metabolism - Homo sapiens (human)
path:hsa00601	0.056943056943056944	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)
path:hsa00603	0.6043956043956044	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)
path:hsa00604	0.6413586413586414	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)
path:hsa00620	0.3916083916083916	Pyruvate metabolism - Homo sapiens (human)
path:hsa00630	0.8631368631368631	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
path:hsa00640	0.3116883116883117	Propanoate metabolism - Homo sapiens (human)
path:hsa00650	0.055944055944055944	Butanoate metabolism - Homo sapiens (human)
path:hsa00670	0.5764235764235764	One carbon pool by folate - Homo sapiens (human)
path:hsa00730	0.16783216783216784	Thiamine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00760	0.15184815184815184	Nicotinate and nicotinamide metabolism - Homo sapiens (human)
path:hsa00770	0.7532467532467533	Pantothenate and CoA biosynthesis - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00790	0.3126873126873127	Folate biosynthesis - Homo sapiens (human)
path:hsa00830	0.002997002997002997	Retinol metabolism - Homo sapiens (human)
path:hsa00860	0.21578421578421578	Porphyrin and chlorophyll metabolism - Homo sapiens (human)
path:hsa00900	0.06393606393606394	Terpenoid backbone biosynthesis - Homo sapiens (human)
path:hsa00910	0.46053946053946054	Nitrogen metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00970	0.7002997002997003	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)
path:hsa00980	0.46353646353646355	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
path:hsa00982	0.7552447552447552	Drug metabolism - cytochrome P450 - Homo sapiens (human)
path:hsa00983	0.10789210789210789	Drug metabolism - other enzymes - Homo sapiens (human)
path:hsa01040	0.6443556443556444	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)
path:hsa01200	0.27472527472527475	Carbon metabolism - Homo sapiens (human)
path:hsa01210	0.4015984015984016	2-Oxocarboxylic acid metabolism - Homo sapiens (human)
path:hsa01212	0.9310689310689311	Fatty acid metabolism - Homo sapiens (human)
path:hsa01230	0.20679320679320679	Biosynthesis of amino acids - Homo sapiens (human)
path:hsa01240	0.026973026973026972	Biosynthesis of cofactors - Homo sapiens (human)
path:hsa01250	0.025974025974025976	Biosynthesis of nucleotide sugars - Homo sapiens (human)
path:hsa01521	0.13186813186813187	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)
path:hsa01522	0.12387612387612387	Endocrine resistance - Homo sapiens (human)
path:hsa01523	0.00999000999000999	Antifolate resistance - Homo sapiens (human)
path:hsa01524	0.3166833166833167	Platinum drug resistance - Homo sapiens (human)
path:hsa02010	0.2917082917082917	ABC transporters - Homo sapiens (human)
path:hsa03008	0.6283716283716284	Ribosome biogenesis in eukaryotes - Homo sapiens (human)
path:hsa03010	0.13886113886113885	Ribosome - Homo sapiens (human)
path:hsa03013	0.21678321678321677	Nucleocytoplasmic transport - Homo sapiens (human)
path:hsa03015	0.4935064935064935	mRNA surveillance pathway - Homo sapiens (human)
path:hsa03018	0.26173826173826176	RNA degradation - Homo sapiens (human)
path:hsa03020	0.24075924075924077	RNA polymerase - Homo sapiens (human)
path:hsa03022	0.7422577422577422	Basal transcription factors - Homo sapiens (human)
path:hsa03030	9.99000999000999e-4	DNA replication - Homo sapiens (human)
path:hsa03040	0.4965034965034965	Spliceosome - Homo sapiens (human)
path:hsa03050	0.08391608391608392	Proteasome - Homo sapiens (human)
path:hsa03060	0.14485514485514486	Protein export - Homo sapiens (human)
path:hsa03320	0.052947052947052944	PPAR signaling pathway - Homo sapiens (human)
path:hsa03410	0.061938061938061936	Base excision repair - Homo sapiens (human)
path:hsa03420	0.06393606393606394	Nucleotide excision repair - Homo sapiens (human)
path:hsa03430	0.001998001998001998	Mismatch repair - Homo sapiens (human)
path:hsa03440	0.004995004995004995	Homologous recombination - Homo sapiens (human)
