pathway_id	pathway_description	pvalue
path:hsa00010	0.6643356643356644	Glycolysis / Gluconeogenesis - Homo sapiens (human)
path:hsa00020	0.3046953046953047	Citrate cycle (TCA cycle) - Homo sapiens (human)
path:hsa00030	0.2867132867132867	Pentose phosphate pathway - Homo sapiens (human)
path:hsa00040	0.18981018981018982	Pentose and glucuronate interconversions - Homo sapiens (human)
path:hsa00051	0.15284715284715283	Fructose and mannose metabolism - Homo sapiens (human)
path:hsa00052	0.2777222777222777	Galactose metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00061	0.8691308691308691	Fatty acid biosynthesis - Homo sapiens (human)
path:hsa00062	0.8141858141858141	Fatty acid elongation - Homo sapiens (human)
path:hsa00071	0.32167832167832167	Fatty acid degradation - Homo sapiens (human)
path:hsa00100	0.5484515484515484	Steroid biosynthesis - Homo sapiens (human)
path:hsa00120	0.057942057942057944	Primary bile acid biosynthesis - Homo sapiens (human)
path:hsa00130	0.2807192807192807	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)
path:hsa00140	0.001998001998001998	Steroid hormone biosynthesis - Homo sapiens (human)
path:hsa00190	0.12987012987012986	Oxidative phosphorylation - Homo sapiens (human)
path:hsa00220	9.99000999000999e-4	Arginine biosynthesis - Homo sapiens (human)
path:hsa00230	0.17482517482517482	Purine metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00240	0.6593406593406593	Pyrimidine metabolism - Homo sapiens (human)
path:hsa00250	0.4695304695304695	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)
path:hsa00260	0.14385614385614387	Glycine, serine and threonine metabolism - Homo sapiens (human)
path:hsa00270	0.6303696303696303	Cysteine and methionine metabolism - Homo sapiens (human)
path:hsa00280	0.003996003996003996	Valine, leucine and isoleucine degradation - Homo sapiens (human)
NA	NA	NA
path:hsa00310	0.1938061938061938	Lysine degradation - Homo sapiens (human)
path:hsa00330	0.6043956043956044	Arginine and proline metabolism - Homo sapiens (human)
path:hsa00340	0.03796203796203796	Histidine metabolism - Homo sapiens (human)
path:hsa00350	9.99000999000999e-4	Tyrosine metabolism - Homo sapiens (human)
path:hsa00360	0.12187812187812187	Phenylalanine metabolism - Homo sapiens (human)
path:hsa00380	0.38461538461538464	Tryptophan metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00410	0.1008991008991009	beta-Alanine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00450	0.984015984015984	Selenocompound metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00480	0.1958041958041958	Glutathione metabolism - Homo sapiens (human)
path:hsa00500	0.5044955044955045	Starch and sucrose metabolism - Homo sapiens (human)
path:hsa00510	0.6663336663336663	N-Glycan biosynthesis - Homo sapiens (human)
path:hsa00511	0.37462537462537465	Other glycan degradation - Homo sapiens (human)
path:hsa00512	0.47352647352647353	Mucin type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00513	0.6893106893106893	Various types of N-glycan biosynthesis - Homo sapiens (human)
path:hsa00514	0.955044955044955	Other types of O-glycan biosynthesis - Homo sapiens (human)
path:hsa00515	0.5504495504495505	Mannose type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00520	0.21678321678321677	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00531	0.4385614385614386	Glycosaminoglycan degradation - Homo sapiens (human)
path:hsa00532	0.8401598401598401	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)
path:hsa00533	0.6773226773226774	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)
path:hsa00534	0.5434565434565435	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)
path:hsa00561	0.34865134865134867	Glycerolipid metabolism - Homo sapiens (human)
path:hsa00562	0.8571428571428571	Inositol phosphate metabolism - Homo sapiens (human)
path:hsa00563	0.06993006993006994	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)
path:hsa00564	0.7772227772227772	Glycerophospholipid metabolism - Homo sapiens (human)
path:hsa00565	0.42857142857142855	Ether lipid metabolism - Homo sapiens (human)
path:hsa00590	0.35564435564435565	Arachidonic acid metabolism - Homo sapiens (human)
path:hsa00591	0.8251748251748252	Linoleic acid metabolism - Homo sapiens (human)
path:hsa00592	0.07192807192807193	alpha-Linolenic acid metabolism - Homo sapiens (human)
path:hsa00600	0.36163836163836166	Sphingolipid metabolism - Homo sapiens (human)
path:hsa00601	0.34265734265734266	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)
path:hsa00603	0.6713286713286714	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)
path:hsa00604	0.8631368631368631	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)
path:hsa00620	0.2857142857142857	Pyruvate metabolism - Homo sapiens (human)
path:hsa00630	0.12887112887112886	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
path:hsa00640	0.14185814185814186	Propanoate metabolism - Homo sapiens (human)
path:hsa00650	0.07692307692307693	Butanoate metabolism - Homo sapiens (human)
path:hsa00670	0.7072927072927073	One carbon pool by folate - Homo sapiens (human)
path:hsa00730	0.8631368631368631	Thiamine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00760	0.8381618381618382	Nicotinate and nicotinamide metabolism - Homo sapiens (human)
path:hsa00770	0.4595404595404595	Pantothenate and CoA biosynthesis - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00790	0.7362637362637363	Folate biosynthesis - Homo sapiens (human)
path:hsa00830	0.15684315684315683	Retinol metabolism - Homo sapiens (human)
path:hsa00860	0.016983016983016984	Porphyrin and chlorophyll metabolism - Homo sapiens (human)
path:hsa00900	0.1878121878121878	Terpenoid backbone biosynthesis - Homo sapiens (human)
path:hsa00910	0.1028971028971029	Nitrogen metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00970	0.8511488511488512	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)
path:hsa00980	0.1028971028971029	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
path:hsa00982	0.14185814185814186	Drug metabolism - cytochrome P450 - Homo sapiens (human)
path:hsa00983	0.4025974025974026	Drug metabolism - other enzymes - Homo sapiens (human)
path:hsa01040	0.9090909090909091	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)
path:hsa01200	0.12987012987012986	Carbon metabolism - Homo sapiens (human)
path:hsa01210	9.99000999000999e-4	2-Oxocarboxylic acid metabolism - Homo sapiens (human)
path:hsa01212	0.7022977022977023	Fatty acid metabolism - Homo sapiens (human)
path:hsa01230	0.2177822177822178	Biosynthesis of amino acids - Homo sapiens (human)
path:hsa01240	0.13086913086913088	Biosynthesis of cofactors - Homo sapiens (human)
path:hsa01250	0.26073926073926074	Biosynthesis of nucleotide sugars - Homo sapiens (human)
path:hsa01521	0.3436563436563437	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)
path:hsa01522	0.5684315684315684	Endocrine resistance - Homo sapiens (human)
path:hsa01523	0.6713286713286714	Antifolate resistance - Homo sapiens (human)
path:hsa01524	0.2837162837162837	Platinum drug resistance - Homo sapiens (human)
path:hsa02010	0.35064935064935066	ABC transporters - Homo sapiens (human)
path:hsa03008	0.6993006993006993	Ribosome biogenesis in eukaryotes - Homo sapiens (human)
path:hsa03010	0.7192807192807192	Ribosome - Homo sapiens (human)
path:hsa03013	0.4745254745254745	Nucleocytoplasmic transport - Homo sapiens (human)
path:hsa03015	0.3936063936063936	mRNA surveillance pathway - Homo sapiens (human)
path:hsa03018	0.5334665334665335	RNA degradation - Homo sapiens (human)
path:hsa03020	0.7042957042957043	RNA polymerase - Homo sapiens (human)
path:hsa03022	0.3786213786213786	Basal transcription factors - Homo sapiens (human)
path:hsa03030	0.6803196803196803	DNA replication - Homo sapiens (human)
path:hsa03040	0.5344655344655345	Spliceosome - Homo sapiens (human)
path:hsa03050	0.3006993006993007	Proteasome - Homo sapiens (human)
path:hsa03060	0.2727272727272727	Protein export - Homo sapiens (human)
path:hsa03320	0.98001998001998	PPAR signaling pathway - Homo sapiens (human)
path:hsa03410	0.7762237762237763	Base excision repair - Homo sapiens (human)
path:hsa03420	0.44455544455544455	Nucleotide excision repair - Homo sapiens (human)
path:hsa03430	0.9000999000999002	Mismatch repair - Homo sapiens (human)
path:hsa03440	0.985014985014985	Homologous recombination - Homo sapiens (human)
path:hsa03450	0.3166833166833167	Non-homologous end-joining - Homo sapiens (human)
path:hsa03460	0.8491508491508492	Fanconi anemia pathway - Homo sapiens (human)
path:hsa04010	0.7532467532467533	MAPK signaling pathway - Homo sapiens (human)
path:hsa04012	0.5154845154845155	ErbB signaling pathway - Homo sapiens (human)
path:hsa04014	0.4205794205794206	Ras signaling pathway - Homo sapiens (human)
path:hsa04015	0.7652347652347652	Rap1 signaling pathway - Homo sapiens (human)
path:hsa04020	0.8141858141858141	Calcium signaling pathway - Homo sapiens (human)
path:hsa04022	0.44255744255744256	cGMP-PKG signaling pathway - Homo sapiens (human)
path:hsa04024	0.5884115884115884	cAMP signaling pathway - Homo sapiens (human)
path:hsa04060	0.31868131868131866	Cytokine-cytokine receptor interaction - Homo sapiens (human)
path:hsa04061	0.01098901098901099	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)
path:hsa04062	0.8721278721278721	Chemokine signaling pathway - Homo sapiens (human)
path:hsa04064	0.3966033966033966	NF-kappa B signaling pathway - Homo sapiens (human)
path:hsa04066	0.7092907092907093	HIF-1 signaling pathway - Homo sapiens (human)
path:hsa04068	0.44955044955044954	FoxO signaling pathway - Homo sapiens (human)
path:hsa04070	0.5024975024975025	Phosphatidylinositol signaling system - Homo sapiens (human)
path:hsa04071	0.3176823176823177	Sphingolipid signaling pathway - Homo sapiens (human)
path:hsa04072	0.18681318681318682	Phospholipase D signaling pathway - Homo sapiens (human)
path:hsa04080	0.995004995004995	Neuroactive ligand-receptor interaction - Homo sapiens (human)
path:hsa04110	0.5314685314685315	Cell cycle - Homo sapiens (human)
path:hsa04114	0.21178821178821178	Oocyte meiosis - Homo sapiens (human)
path:hsa04115	0.45054945054945056	p53 signaling pathway - Homo sapiens (human)
path:hsa04120	0.37962037962037964	Ubiquitin mediated proteolysis - Homo sapiens (human)
NA	NA	NA
path:hsa04130	0.6233766233766234	SNARE interactions in vesicular transport - Homo sapiens (human)
path:hsa04136	0.05194805194805195	Autophagy - other - Homo sapiens (human)
path:hsa04137	0.02197802197802198	Mitophagy - animal - Homo sapiens (human)
path:hsa04140	0.06893106893106893	Autophagy - animal - Homo sapiens (human)
path:hsa04141	0.37662337662337664	Protein processing in endoplasmic reticulum - Homo sapiens (human)
path:hsa04142	0.4155844155844156	Lysosome - Homo sapiens (human)
path:hsa04144	0.7382617382617382	Endocytosis - Homo sapiens (human)
path:hsa04145	0.25874125874125875	Phagosome - Homo sapiens (human)
path:hsa04146	0.34565434565434566	Peroxisome - Homo sapiens (human)
path:hsa04150	0.3196803196803197	mTOR signaling pathway - Homo sapiens (human)
path:hsa04151	0.7492507492507493	PI3K-Akt signaling pathway - Homo sapiens (human)
path:hsa04152	0.27472527472527475	AMPK signaling pathway - Homo sapiens (human)
path:hsa04210	0.4985014985014985	Apoptosis - Homo sapiens (human)
path:hsa04211	0.5004995004995005	Longevity regulating pathway - Homo sapiens (human)
path:hsa04213	0.5744255744255744	Longevity regulating pathway - multiple species - Homo sapiens (human)
path:hsa04215	0.5374625374625375	Apoptosis - multiple species - Homo sapiens (human)
path:hsa04216	0.24775224775224775	Ferroptosis - Homo sapiens (human)
path:hsa04217	0.7552447552447552	Necroptosis - Homo sapiens (human)
path:hsa04218	0.6433566433566433	Cellular senescence - Homo sapiens (human)
path:hsa04260	0.2837162837162837	Cardiac muscle contraction - Homo sapiens (human)
path:hsa04261	0.6083916083916084	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)
path:hsa04270	0.6843156843156843	Vascular smooth muscle contraction - Homo sapiens (human)
path:hsa04310	0.33766233766233766	Wnt signaling pathway - Homo sapiens (human)
path:hsa04330	0.5194805194805194	Notch signaling pathway - Homo sapiens (human)
path:hsa04340	0.17882117882117882	Hedgehog signaling pathway - Homo sapiens (human)
path:hsa04350	0.5344655344655345	TGF-beta signaling pathway - Homo sapiens (human)
path:hsa04360	0.7362637362637363	Axon guidance - Homo sapiens (human)
path:hsa04370	0.996003996003996	VEGF signaling pathway - Homo sapiens (human)
path:hsa04371	0.8101898101898102	Apelin signaling pathway - Homo sapiens (human)
path:hsa04380	0.5574425574425574	Osteoclast differentiation - Homo sapiens (human)
path:hsa04390	0.6923076923076923	Hippo signaling pathway - Homo sapiens (human)
path:hsa04392	0.7202797202797203	Hippo signaling pathway - multiple species - Homo sapiens (human)
path:hsa04510	0.44955044955044954	Focal adhesion - Homo sapiens (human)
path:hsa04512	0.35764235764235763	ECM-receptor interaction - Homo sapiens (human)
path:hsa04514	0.5724275724275725	Cell adhesion molecules - Homo sapiens (human)
path:hsa04520	0.030969030969030968	Adherens junction - Homo sapiens (human)
path:hsa04530	0.6853146853146853	Tight junction - Homo sapiens (human)
path:hsa04540	0.029970029970029972	Gap junction - Homo sapiens (human)
path:hsa04550	0.6903096903096904	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
path:hsa04610	0.5444555444555444	Complement and coagulation cascades - Homo sapiens (human)
path:hsa04611	0.945054945054945	Platelet activation - Homo sapiens (human)
path:hsa04612	0.4985014985014985	Antigen processing and presentation - Homo sapiens (human)
path:hsa04613	0.6163836163836164	Neutrophil extracellular trap formation - Homo sapiens (human)
path:hsa04614	0.3756243756243756	Renin-angiotensin system - Homo sapiens (human)
path:hsa04620	0.7602397602397603	Toll-like receptor signaling pathway - Homo sapiens (human)
path:hsa04621	0.5884115884115884	NOD-like receptor signaling pathway - Homo sapiens (human)
path:hsa04622	0.4985014985014985	RIG-I-like receptor signaling pathway - Homo sapiens (human)
path:hsa04623	0.9300699300699301	Cytosolic DNA-sensing pathway - Homo sapiens (human)
path:hsa04625	0.5704295704295704	C-type lectin receptor signaling pathway - Homo sapiens (human)
path:hsa04630	0.8581418581418582	JAK-STAT signaling pathway - Homo sapiens (human)
path:hsa04640	0.3026973026973027	Hematopoietic cell lineage - Homo sapiens (human)
path:hsa04650	0.8371628371628371	Natural killer cell mediated cytotoxicity - Homo sapiens (human)
path:hsa04657	0.29270729270729273	IL-17 signaling pathway - Homo sapiens (human)
path:hsa04658	0.5334665334665335	Th1 and Th2 cell differentiation - Homo sapiens (human)
path:hsa04659	0.23476523476523475	Th17 cell differentiation - Homo sapiens (human)
path:hsa04660	0.8391608391608392	T cell receptor signaling pathway - Homo sapiens (human)
path:hsa04662	0.7272727272727273	B cell receptor signaling pathway - Homo sapiens (human)
path:hsa04664	0.975024975024975	Fc epsilon RI signaling pathway - Homo sapiens (human)
path:hsa04666	0.9340659340659341	Fc gamma R-mediated phagocytosis - Homo sapiens (human)
path:hsa04668	0.20679320679320679	TNF signaling pathway - Homo sapiens (human)
path:hsa04670	0.4515484515484515	Leukocyte transendothelial migration - Homo sapiens (human)
path:hsa04672	0.27372627372627373	Intestinal immune network for IgA production - Homo sapiens (human)
path:hsa04710	0.25774225774225773	Circadian rhythm - Homo sapiens (human)
path:hsa04713	0.24475524475524477	Circadian entrainment - Homo sapiens (human)
path:hsa04714	0.06293706293706294	Thermogenesis - Homo sapiens (human)
path:hsa04720	0.21878121878121878	Long-term potentiation - Homo sapiens (human)
path:hsa04721	0.3546453546453546	Synaptic vesicle cycle - Homo sapiens (human)
path:hsa04722	0.971028971028971	Neurotrophin signaling pathway - Homo sapiens (human)
path:hsa04723	0.030969030969030968	Retrograde endocannabinoid signaling - Homo sapiens (human)
path:hsa04724	0.03196803196803197	Glutamatergic synapse - Homo sapiens (human)
path:hsa04725	0.6793206793206793	Cholinergic synapse - Homo sapiens (human)
path:hsa04726	0.24975024975024976	Serotonergic synapse - Homo sapiens (human)
path:hsa04727	0.24975024975024976	GABAergic synapse - Homo sapiens (human)
path:hsa04728	0.11288711288711288	Dopaminergic synapse - Homo sapiens (human)
path:hsa04730	0.007992007992007992	Long-term depression - Homo sapiens (human)
path:hsa04740	0.9690309690309691	Olfactory transduction - Homo sapiens (human)
path:hsa04742	0.38961038961038963	Taste transduction - Homo sapiens (human)
path:hsa04744	0.025974025974025976	Phototransduction - Homo sapiens (human)
path:hsa04750	0.948051948051948	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)
path:hsa04810	0.6783216783216783	Regulation of actin cytoskeleton - Homo sapiens (human)
path:hsa04910	0.7412587412587412	Insulin signaling pathway - Homo sapiens (human)
path:hsa04911	0.059940059940059943	Insulin secretion - Homo sapiens (human)
path:hsa04912	0.9280719280719281	GnRH signaling pathway - Homo sapiens (human)
path:hsa04913	0.6733266733266733	Ovarian steroidogenesis - Homo sapiens (human)
path:hsa04914	0.1018981018981019	Progesterone-mediated oocyte maturation - Homo sapiens (human)
path:hsa04915	0.3956043956043956	Estrogen signaling pathway - Homo sapiens (human)
path:hsa04916	0.4875124875124875	Melanogenesis - Homo sapiens (human)
