pathway_id	pathway_description	pvalue
path:hsa00010	9.99000999000999e-4	Glycolysis / Gluconeogenesis - Homo sapiens (human)
path:hsa00020	9.99000999000999e-4	Citrate cycle (TCA cycle) - Homo sapiens (human)
path:hsa00030	9.99000999000999e-4	Pentose phosphate pathway - Homo sapiens (human)
path:hsa00040	0.04195804195804196	Pentose and glucuronate interconversions - Homo sapiens (human)
path:hsa00051	0.10989010989010989	Fructose and mannose metabolism - Homo sapiens (human)
path:hsa00052	9.99000999000999e-4	Galactose metabolism - Homo sapiens (human)
path:hsa00053	0.6863136863136863	Ascorbate and aldarate metabolism - Homo sapiens (human)
path:hsa00061	9.99000999000999e-4	Fatty acid biosynthesis - Homo sapiens (human)
path:hsa00062	9.99000999000999e-4	Fatty acid elongation - Homo sapiens (human)
path:hsa00071	9.99000999000999e-4	Fatty acid degradation - Homo sapiens (human)
path:hsa00100	9.99000999000999e-4	Steroid biosynthesis - Homo sapiens (human)
path:hsa00120	0.17082917082917082	Primary bile acid biosynthesis - Homo sapiens (human)
path:hsa00130	9.99000999000999e-4	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)
path:hsa00140	0.06793206793206794	Steroid hormone biosynthesis - Homo sapiens (human)
path:hsa00190	9.99000999000999e-4	Oxidative phosphorylation - Homo sapiens (human)
path:hsa00220	0.15084915084915085	Arginine biosynthesis - Homo sapiens (human)
path:hsa00230	9.99000999000999e-4	Purine metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00240	9.99000999000999e-4	Pyrimidine metabolism - Homo sapiens (human)
path:hsa00250	0.001998001998001998	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)
path:hsa00260	0.005994005994005994	Glycine, serine and threonine metabolism - Homo sapiens (human)
path:hsa00270	0.008991008991008992	Cysteine and methionine metabolism - Homo sapiens (human)
path:hsa00280	9.99000999000999e-4	Valine, leucine and isoleucine degradation - Homo sapiens (human)
NA	NA	NA
path:hsa00310	0.008991008991008992	Lysine degradation - Homo sapiens (human)
path:hsa00330	0.001998001998001998	Arginine and proline metabolism - Homo sapiens (human)
path:hsa00340	0.001998001998001998	Histidine metabolism - Homo sapiens (human)
path:hsa00350	0.00999000999000999	Tyrosine metabolism - Homo sapiens (human)
path:hsa00360	0.023976023976023976	Phenylalanine metabolism - Homo sapiens (human)
path:hsa00380	0.001998001998001998	Tryptophan metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00410	9.99000999000999e-4	beta-Alanine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00450	9.99000999000999e-4	Selenocompound metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00480	9.99000999000999e-4	Glutathione metabolism - Homo sapiens (human)
path:hsa00500	0.004995004995004995	Starch and sucrose metabolism - Homo sapiens (human)
path:hsa00510	9.99000999000999e-4	N-Glycan biosynthesis - Homo sapiens (human)
path:hsa00511	0.14085914085914086	Other glycan degradation - Homo sapiens (human)
path:hsa00512	0.22877122877122877	Mucin type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00513	9.99000999000999e-4	Various types of N-glycan biosynthesis - Homo sapiens (human)
path:hsa00514	9.99000999000999e-4	Other types of O-glycan biosynthesis - Homo sapiens (human)
