pathway_id	pathway_description	pvalue
path:hsa00010	0.007992007992007992	Glycolysis / Gluconeogenesis - Homo sapiens (human)
path:hsa00020	0.022977022977022976	Citrate cycle (TCA cycle) - Homo sapiens (human)
path:hsa00030	0.2937062937062937	Pentose phosphate pathway - Homo sapiens (human)
path:hsa00040	0.1928071928071928	Pentose and glucuronate interconversions - Homo sapiens (human)
path:hsa00051	0.05194805194805195	Fructose and mannose metabolism - Homo sapiens (human)
path:hsa00052	0.3996003996003996	Galactose metabolism - Homo sapiens (human)
path:hsa00053	0.1938061938061938	Ascorbate and aldarate metabolism - Homo sapiens (human)
path:hsa00061	0.2047952047952048	Fatty acid biosynthesis - Homo sapiens (human)
path:hsa00062	0.014985014985014986	Fatty acid elongation - Homo sapiens (human)
path:hsa00071	0.022977022977022976	Fatty acid degradation - Homo sapiens (human)
path:hsa00100	0.12987012987012986	Steroid biosynthesis - Homo sapiens (human)
path:hsa00120	0.13086913086913088	Primary bile acid biosynthesis - Homo sapiens (human)
path:hsa00130	0.24875124875124874	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)
path:hsa00140	0.02097902097902098	Steroid hormone biosynthesis - Homo sapiens (human)
path:hsa00190	0.007992007992007992	Oxidative phosphorylation - Homo sapiens (human)
path:hsa00220	0.03996003996003996	Arginine biosynthesis - Homo sapiens (human)
path:hsa00230	0.33766233766233766	Purine metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00240	0.06893106893106893	Pyrimidine metabolism - Homo sapiens (human)
path:hsa00250	0.15884115884115885	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)
path:hsa00260	0.026973026973026972	Glycine, serine and threonine metabolism - Homo sapiens (human)
path:hsa00270	0.34765234765234765	Cysteine and methionine metabolism - Homo sapiens (human)
path:hsa00280	0.00999000999000999	Valine, leucine and isoleucine degradation - Homo sapiens (human)
NA	NA	NA
path:hsa00310	0.3916083916083916	Lysine degradation - Homo sapiens (human)
path:hsa00330	0.17882117882117882	Arginine and proline metabolism - Homo sapiens (human)
path:hsa00340	0.1968031968031968	Histidine metabolism - Homo sapiens (human)
path:hsa00350	0.05094905094905095	Tyrosine metabolism - Homo sapiens (human)
path:hsa00360	0.07292707292707293	Phenylalanine metabolism - Homo sapiens (human)
path:hsa00380	0.14985014985014986	Tryptophan metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00410	0.004995004995004995	beta-Alanine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00450	0.8271728271728271	Selenocompound metabolism - Homo sapiens (human)
NA	NA	NA
