pathway_id	pathway_description	pvalue
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	9.99000999000999e-4
path:hsa01524	Platinum drug resistance - Homo sapiens (human)	9.99000999000999e-4
path:hsa03010	Ribosome - Homo sapiens (human)	9.99000999000999e-4
path:hsa04657	IL-17 signaling pathway - Homo sapiens (human)	9.99000999000999e-4
path:hsa04714	Thermogenesis - Homo sapiens (human)	9.99000999000999e-4
path:hsa05207	Chemical carcinogenesis - receptor activation - Homo sapiens (human)	9.99000999000999e-4
path:hsa05210	Colorectal cancer - Homo sapiens (human)	9.99000999000999e-4
path:hsa05211	Renal cell carcinoma - Homo sapiens (human)	9.99000999000999e-4
path:hsa05215	Prostate cancer - Homo sapiens (human)	9.99000999000999e-4
path:hsa05230	Central carbon metabolism in cancer - Homo sapiens (human)	9.99000999000999e-4
path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	0.001998001998001998
path:hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	0.001998001998001998
path:hsa03018	RNA degradation - Homo sapiens (human)	0.001998001998001998
path:hsa03022	Basal transcription factors - Homo sapiens (human)	0.001998001998001998
path:hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	0.001998001998001998
path:hsa04725	Cholinergic synapse - Homo sapiens (human)	0.001998001998001998
path:hsa04915	Estrogen signaling pathway - Homo sapiens (human)	0.001998001998001998
path:hsa05213	Endometrial cancer - Homo sapiens (human)	0.001998001998001998
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	0.002997002997002997
path:hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	0.002997002997002997
path:hsa03015	mRNA surveillance pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04068	FoxO signaling pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04146	Peroxisome - Homo sapiens (human)	0.002997002997002997
path:hsa04152	AMPK signaling pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04370	VEGF signaling pathway - Homo sapiens (human)	0.002997002997002997
path:hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)	0.002997002997002997
path:hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)	0.002997002997002997
path:hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	0.003996003996003996
path:hsa05017	Spinocerebellar ataxia - Homo sapiens (human)	0.003996003996003996
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	0.004995004995004995
path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	0.004995004995004995
path:hsa04360	Axon guidance - Homo sapiens (human)	0.004995004995004995
path:hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	0.004995004995004995
path:hsa05142	Chagas disease - Homo sapiens (human)	0.004995004995004995
path:hsa05206	MicroRNAs in cancer - Homo sapiens (human)	0.004995004995004995
path:hsa05225	Hepatocellular carcinoma - Homo sapiens (human)	0.004995004995004995
path:hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	0.004995004995004995
path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	0.005994005994005994
path:hsa04390	Hippo signaling pathway - Homo sapiens (human)	0.005994005994005994
path:hsa05217	Basal cell carcinoma - Homo sapiens (human)	0.005994005994005994
path:hsa05226	Gastric cancer - Homo sapiens (human)	0.005994005994005994
path:hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	0.005994005994005994
path:hsa04150	mTOR signaling pathway - Homo sapiens (human)	0.006993006993006993
path:hsa04014	Ras signaling pathway - Homo sapiens (human)	0.007992007992007992
path:hsa04922	Glucagon signaling pathway - Homo sapiens (human)	0.007992007992007992
path:hsa05010	Alzheimer disease - Homo sapiens (human)	0.007992007992007992
path:hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	0.007992007992007992
path:hsa04728	Dopaminergic synapse - Homo sapiens (human)	0.008991008991008992
path:hsa05161	Hepatitis B - Homo sapiens (human)	0.008991008991008992
path:hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	0.008991008991008992
path:hsa05160	Hepatitis C - Homo sapiens (human)	0.00999000999000999
path:hsa02010	ABC transporters - Homo sapiens (human)	0.01098901098901099
path:hsa04540	Gap junction - Homo sapiens (human)	0.01098901098901099
path:hsa05034	Alcoholism - Homo sapiens (human)	0.01098901098901099
path:hsa04917	Prolactin signaling pathway - Homo sapiens (human)	0.011988011988011988
path:hsa04936	Alcoholic liver disease - Homo sapiens (human)	0.011988011988011988
path:hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	0.012987012987012988
path:hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)	0.012987012987012988
path:hsa05134	Legionellosis - Homo sapiens (human)	0.012987012987012988
path:hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)	0.012987012987012988
path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	0.013986013986013986
path:hsa00650	Butanoate metabolism - Homo sapiens (human)	0.014985014985014986
path:hsa04520	Adherens junction - Homo sapiens (human)	0.014985014985014986
path:hsa05218	Melanoma - Homo sapiens (human)	0.014985014985014986
path:hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	0.014985014985014986
path:hsa05321	Inflammatory bowel disease - Homo sapiens (human)	0.014985014985014986
path:hsa04140	Autophagy - animal - Homo sapiens (human)	0.016983016983016984
path:hsa05224	Breast cancer - Homo sapiens (human)	0.016983016983016984
path:hsa03040	Spliceosome - Homo sapiens (human)	0.01898101898101898
path:hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	0.01898101898101898
path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	0.01998001998001998
path:hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)	0.01998001998001998
path:hsa05016	Huntington disease - Homo sapiens (human)	0.02097902097902098
path:hsa05131	Shigellosis - Homo sapiens (human)	0.02097902097902098
path:hsa04910	Insulin signaling pathway - Homo sapiens (human)	0.02197802197802198
path:hsa05164	Influenza A - Homo sapiens (human)	0.02197802197802198
path:hsa05221	Acute myeloid leukemia - Homo sapiens (human)	0.02197802197802198
path:hsa05223	Non-small cell lung cancer - Homo sapiens (human)	0.02197802197802198
path:hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	0.023976023976023976
path:hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)	0.023976023976023976
path:hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	0.023976023976023976
path:hsa01200	Carbon metabolism - Homo sapiens (human)	0.024975024975024976
path:hsa05416	Viral myocarditis - Homo sapiens (human)	0.025974025974025976
path:hsa05205	Proteoglycans in cancer - Homo sapiens (human)	0.026973026973026972
path:hsa04926	Relaxin signaling pathway - Homo sapiens (human)	0.027972027972027972
path:hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	0.027972027972027972
path:hsa05132	Salmonella infection - Homo sapiens (human)	0.027972027972027972
path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0.028971028971028972
path:hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	0.028971028971028972
path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	0.030969030969030968
path:hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	0.030969030969030968
path:hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	0.030969030969030968
path:hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)	0.030969030969030968
path:hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)	0.03196803196803197
path:hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	0.03296703296703297
path:hsa05231	Choline metabolism in cancer - Homo sapiens (human)	0.03296703296703297
path:hsa05145	Toxoplasmosis - Homo sapiens (human)	0.03396603396603397
path:hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	0.03396603396603397
path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	0.03596403596403597
path:hsa04310	Wnt signaling pathway - Homo sapiens (human)	0.03596403596403597
path:hsa04934	Cushing syndrome - Homo sapiens (human)	0.03596403596403597
path:hsa04530	Tight junction - Homo sapiens (human)	0.03696303696303696
path:hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)	0.03896103896103896
path:hsa04966	Collecting duct acid secretion - Homo sapiens (human)	0.03896103896103896
path:hsa05020	Prion disease - Homo sapiens (human)	0.03896103896103896
path:hsa04340	Hedgehog signaling pathway - Homo sapiens (human)	0.03996003996003996
path:hsa04912	GnRH signaling pathway - Homo sapiens (human)	0.03996003996003996
path:hsa04260	Cardiac muscle contraction - Homo sapiens (human)	0.04095904095904096
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0.04195804195804196
path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	0.04195804195804196
path:hsa04713	Circadian entrainment - Homo sapiens (human)	0.04195804195804196
path:hsa05030	Cocaine addiction - Homo sapiens (human)	0.04195804195804196
path:hsa05032	Morphine addiction - Homo sapiens (human)	0.04195804195804196
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.04695304695304695
