pathway_id	pathway_description	pvalue
hsa00071	Fatty acid degradation	0.006993006993006993
hsa04910	Insulin signaling pathway	0.006993006993006993
hsa04726	Serotonergic synapse	0.014985014985014986
hsa04064	NF-kappa B signaling pathway	0.02197802197802198
hsa04152	AMPK signaling pathway	0.025974025974025976
hsa00480	Glutathione metabolism	0.03296703296703297
hsa00051	Fructose and mannose metabolism	0.03896103896103896
hsa00970	Aminoacyl-tRNA biosynthesis	0.04695304695304695
hsa04622	RIG-I-like receptor signaling pathway	0.04695304695304695
hsa04721	Synaptic vesicle cycle	0.04795204795204795
hsa03410	Base excision repair	0.04895104895104895
hsa04916	Melanogenesis	0.052947052947052944
hsa04750	Inflammatory mediator regulation of TRP channels	0.054945054945054944
hsa04961	Endocrine and other factor-regulated calcium reabsorption	0.055944055944055944
hsa04978	Mineral absorption	0.057942057942057944
hsa00982	Drug metabolism - cytochrome P450	0.07092907092907093
hsa04550	Signaling pathways regulating pluripotency of stem cells	0.07092907092907093
hsa01200	Carbon metabolism	0.07392607392607392
hsa04380	Osteoclast differentiation	0.09090909090909091
hsa04060	Cytokine-cytokine receptor interaction	0.0919080919080919
hsa00010	Glycolysis / Gluconeogenesis	0.0959040959040959
hsa00270	Cysteine and methionine metabolism	0.0979020979020979
hsa04066	HIF-1 signaling pathway	0.0979020979020979
hsa04668	TNF signaling pathway	0.0999000999000999
hsa04911	Insulin secretion	0.10789210789210789
hsa04713	Circadian entrainment	0.11188811188811189
hsa04640	Hematopoietic cell lineage	0.11588411588411589
hsa00190	Oxidative phosphorylation	0.1258741258741259
hsa04660	T cell receptor signaling pathway	0.13086913086913088
hsa04010	MAPK signaling pathway	0.14285714285714285
hsa00310	Lysine degradation	0.15484515484515485
hsa04144	Endocytosis	0.15984015984015984
hsa04360	Axon guidance	0.16483516483516483
hsa04621	NOD-like receptor signaling pathway	0.16783216783216784
hsa04730	Long-term depression	0.17282717282717283
hsa00561	Glycerolipid metabolism	0.17682317682317683
hsa04620	Toll-like receptor signaling pathway	0.18581418581418582
hsa04146	Peroxisome	0.1918081918081918
hsa04723	Retrograde endocannabinoid signaling	0.1928071928071928
hsa04540	Gap junction	0.1968031968031968
hsa04728	Dopaminergic synapse	0.1968031968031968
hsa04151	PI3K-Akt signaling pathway	0.19880119880119881
hsa00030	Pentose phosphate pathway	0.1998001998001998
hsa04150	mTOR signaling pathway	0.2007992007992008
hsa04630	Jak-STAT signaling pathway	0.2007992007992008
hsa03050	Proteasome	0.2057942057942058
hsa04610	Complement and coagulation cascades	0.2127872127872128
hsa01230	Biosynthesis of amino acids	0.21478521478521478
hsa04012	ErbB signaling pathway	0.22377622377622378
hsa04080	Neuroactive ligand-receptor interaction	0.22377622377622378
hsa04210	Apoptosis	0.22777222777222778
hsa04918	Thyroid hormone synthesis	0.23076923076923078
hsa00230	Purine metabolism	0.23176823176823177
hsa00980	Metabolism of xenobiotics by cytochrome P450	0.24375624375624375
hsa04912	GnRH signaling pathway	0.24775224775224775
hsa04662	B cell receptor signaling pathway	0.25574425574425574
hsa04145	Phagosome	0.2707292707292707
hsa04611	Platelet activation	0.2707292707292707
hsa00562	Inositol phosphate metabolism	0.2787212787212787
hsa04722	Neurotrophin signaling pathway	0.2827172827172827
hsa04070	Phosphatidylinositol signaling system	0.3016983016983017
hsa01212	Fatty acid metabolism	0.3026973026973027
hsa03010	Ribosome	0.3076923076923077
hsa00020	Citrate cycle (TCA cycle)	0.3156843156843157
hsa00565	Ether lipid metabolism	0.3156843156843157
hsa04623	Cytosolic DNA-sensing pathway	0.32167832167832167
hsa04512	ECM-receptor interaction	0.32867132867132864
hsa04725	Cholinergic synapse	0.32867132867132864
hsa00240	Pyrimidine metabolism	0.32967032967032966
hsa04921	Oxytocin signaling pathway	0.33266733266733267
hsa03018	RNA degradation	0.3356643356643357
hsa04727	GABAergic synapse	0.3436563436563437
hsa00564	Glycerophospholipid metabolism	0.34665334665334663
hsa04920	Adipocytokine signaling pathway	0.35064935064935066
hsa04068	FoxO signaling pathway	0.35664335664335667
hsa03008	Ribosome biogenesis in eukaryotes	0.36063936063936064
hsa00350	Tyrosine metabolism	0.36663336663336665
hsa00052	Galactose metabolism	0.3706293706293706
hsa00340	Histidine metabolism	0.3806193806193806
hsa04142	Lysosome	0.3866133866133866
hsa00330	Arginine and proline metabolism	0.38961038961038963
hsa00600	Sphingolipid metabolism	0.3946053946053946
hsa03320	PPAR signaling pathway	0.41058941058941056
hsa04922	Glucagon signaling pathway	0.41358641358641357
hsa00280	Valine, leucine and isoleucine degradation	0.41858141858141856
hsa00250	Alanine, aspartate and glutamate metabolism	0.42157842157842157
hsa04340	Hedgehog signaling pathway	0.4245754245754246
hsa04724	Glutamatergic synapse	0.4305694305694306
hsa04964	Proximal tubule bicarbonate reclamation	0.43156843156843155
hsa04915	Estrogen signaling pathway	0.4325674325674326
hsa00620	Pyruvate metabolism	0.44755244755244755
hsa00500	Starch and sucrose metabolism	0.4485514485514486
hsa04390	Hippo signaling pathway	0.4835164835164835
hsa04974	Protein digestion and absorption	0.4875124875124875
hsa04664	Fc epsilon RI signaling pathway	0.4885114885114885
hsa00590	Arachidonic acid metabolism	0.48951048951048953
hsa04612	Antigen processing and presentation	0.48951048951048953
hsa04270	Vascular smooth muscle contraction	0.5004995004995005
hsa04514	Cell adhesion molecules (CAMs)	0.5004995004995005
hsa04014	Ras signaling pathway	0.5054945054945055
hsa04510	Focal adhesion	0.5054945054945055
hsa04720	Long-term potentiation	0.5064935064935064
hsa00520	Amino sugar and nucleotide sugar metabolism	0.5134865134865135
hsa04917	Prolactin signaling pathway	0.5224775224775224
hsa04962	Vasopressin-regulated water reabsorption	0.5674325674325674
hsa04650	Natural killer cell mediated cytotoxicity	0.5724275724275725
hsa03013	RNA transport	0.5734265734265734
hsa04120	Ubiquitin mediated proteolysis	0.5784215784215784
hsa04960	Aldosterone-regulated sodium reabsorption	0.5814185814185814
hsa04260	Cardiac muscle contraction	0.5844155844155844
hsa04071	Sphingolipid signaling pathway	0.6093906093906094
hsa00510	N-Glycan biosynthesis	0.6133866133866134
hsa04810	Regulation of actin cytoskeleton	0.6233766233766234
hsa04972	Pancreatic secretion	0.6333666333666333
hsa04520	Adherens junction	0.6463536463536463
hsa04115	p53 signaling pathway	0.6473526473526473
hsa04971	Gastric acid secretion	0.6583416583416584
hsa04062	Chemokine signaling pathway	0.6613386613386614
