pathway_id	pathway_description	pvalue
path:hsa00010	0.27472527472527475	Glycolysis / Gluconeogenesis - Homo sapiens (human)
path:hsa00020	0.7072927072927073	Citrate cycle (TCA cycle) - Homo sapiens (human)
path:hsa00030	0.4945054945054945	Pentose phosphate pathway - Homo sapiens (human)
path:hsa00040	0.37662337662337664	Pentose and glucuronate interconversions - Homo sapiens (human)
path:hsa00051	0.1088911088911089	Fructose and mannose metabolism - Homo sapiens (human)
path:hsa00052	0.08491508491508491	Galactose metabolism - Homo sapiens (human)
path:hsa00053	0.1258741258741259	Ascorbate and aldarate metabolism - Homo sapiens (human)
path:hsa00061	0.00999000999000999	Fatty acid biosynthesis - Homo sapiens (human)
path:hsa00062	0.7502497502497503	Fatty acid elongation - Homo sapiens (human)
path:hsa00071	0.4565434565434565	Fatty acid degradation - Homo sapiens (human)
path:hsa00100	0.4065934065934066	Steroid biosynthesis - Homo sapiens (human)
path:hsa00120	0.04295704295704296	Primary bile acid biosynthesis - Homo sapiens (human)
NA	NA	NA
path:hsa00140	0.3246753246753247	Steroid hormone biosynthesis - Homo sapiens (human)
path:hsa00190	0.7502497502497503	Oxidative phosphorylation - Homo sapiens (human)
path:hsa00220	0.8351648351648352	Arginine biosynthesis - Homo sapiens (human)
path:hsa00230	0.48451548451548454	Purine metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00240	0.2837162837162837	Pyrimidine metabolism - Homo sapiens (human)
path:hsa00250	0.25874125874125875	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)
path:hsa00260	0.7132867132867133	Glycine, serine and threonine metabolism - Homo sapiens (human)
path:hsa00270	0.006993006993006993	Cysteine and methionine metabolism - Homo sapiens (human)
path:hsa00280	0.4725274725274725	Valine, leucine and isoleucine degradation - Homo sapiens (human)
NA	NA	NA
path:hsa00310	0.22577422577422576	Lysine degradation - Homo sapiens (human)
path:hsa00330	0.07892107892107893	Arginine and proline metabolism - Homo sapiens (human)
path:hsa00340	0.8181818181818182	Histidine metabolism - Homo sapiens (human)
path:hsa00350	0.38161838161838163	Tyrosine metabolism - Homo sapiens (human)
path:hsa00360	0.12087912087912088	Phenylalanine metabolism - Homo sapiens (human)
path:hsa00380	0.11488511488511488	Tryptophan metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00410	0.36663336663336665	beta-Alanine metabolism - Homo sapiens (human)
NA	NA	NA
NA	NA	NA
path:hsa00450	0.5044955044955045	Selenocompound metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00480	0.46253746253746253	Glutathione metabolism - Homo sapiens (human)
path:hsa00500	0.3786213786213786	Starch and sucrose metabolism - Homo sapiens (human)
path:hsa00510	0.9150849150849151	N-Glycan biosynthesis - Homo sapiens (human)
path:hsa00511	0.25874125874125875	Other glycan degradation - Homo sapiens (human)
path:hsa00512	0.985014985014985	Mucin type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00513	0.16483516483516483	Various types of N-glycan biosynthesis - Homo sapiens (human)
path:hsa00514	0.8661338661338661	Other types of O-glycan biosynthesis - Homo sapiens (human)
path:hsa00515	0.15784215784215785	Mannose type O-glycan biosynthesis - Homo sapiens (human)
path:hsa00520	0.4915084915084915	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
NA	NA	NA
path:hsa00531	0.027972027972027972	Glycosaminoglycan degradation - Homo sapiens (human)
path:hsa00532	0.24275724275724275	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)
path:hsa00533	0.5444555444555444	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)
path:hsa00534	0.5104895104895105	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)
path:hsa00561	0.04395604395604396	Glycerolipid metabolism - Homo sapiens (human)
path:hsa00562	0.15284715284715283	Inositol phosphate metabolism - Homo sapiens (human)
path:hsa00563	0.8571428571428571	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)
path:hsa00564	0.055944055944055944	Glycerophospholipid metabolism - Homo sapiens (human)
