pathway_id	pathway_description	pvalue	cancer_group	gene_parsed_by
path:hsa00010	0.16883116883116883	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00020	0.6703296703296703	Citrate cycle (TCA cycle) - Homo sapiens (human)	LGG	FOLH1
path:hsa00030	0.002997002997002997	Pentose phosphate pathway - Homo sapiens (human)	LGG	FOLH1
path:hsa00040	0.32667332667332666	Pentose and glucuronate interconversions - Homo sapiens (human)	LGG	FOLH1
path:hsa00051	0.5044955044955045	Fructose and mannose metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00052	0.32867132867132864	Galactose metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00053	0.017982017982017984	Ascorbate and aldarate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00061	0.04895104895104895	Fatty acid biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00062	0.008991008991008992	Fatty acid elongation - Homo sapiens (human)	LGG	FOLH1
path:hsa00071	0.004995004995004995	Fatty acid degradation - Homo sapiens (human)	LGG	FOLH1
path:hsa00100	0.17382617382617382	Steroid biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00120	0.4645354645354645	Primary bile acid biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00130	0.27472527472527475	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00140	0.7322677322677322	Steroid hormone biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00190	0.2957042957042957	Oxidative phosphorylation - Homo sapiens (human)	LGG	FOLH1
path:hsa00220	0.11888111888111888	Arginine biosynthesis - Homo sapiens (human)	LGG	FOLH1
path:hsa00230	0.016983016983016984	Purine metabolism - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00240	0.14185814185814186	Pyrimidine metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00250	0.6903096903096904	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00260	0.5064935064935064	Glycine, serine and threonine metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00270	0.4745254745254745	Cysteine and methionine metabolism - Homo sapiens (human)	LGG	FOLH1
path:hsa00280	0.056943056943056944	Valine, leucine and isoleucine degradation - Homo sapiens (human)	LGG	FOLH1
NA	NA	NA	LGG	FOLH1
path:hsa00310	0.03296703296703297	Lysine degradation - Homo sapiens (human)	LGG	FOLH1
path:hsa00330	0.027972027972027972	Arginine and proline metabolism - Homo sapiens (human)	LGG	FOLH1
