pathway_id	description	pval
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.3695301134592669
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0.6229549947845578
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	0.5016494020024416
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0.9027219159808946
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.4338303179286055
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.9591364589116396
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	0.005054430230714825
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.45579198151572586
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0.5427057582079104
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	9.657236220045174e-4
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	2.8916462441241242e-6
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	0.001542677215429928
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0.8118896453440635
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0.005017322707754892
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0.3252811025962472
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	3.0468415878466033e-4
path:hsa00230	Purine metabolism - Homo sapiens (human)	0.3710726379210607
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.23630126660323775
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	1.5000830400743596e-5
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.27063908461259145
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.02206098109698922
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0.14274337650748273
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	0.07435611552805858
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.37502030614424864
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.7590328903699355
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0.0010503365160506567
path:hsa00340	Histidine metabolism - Homo sapiens (human)	3.1317187958679895e-6
path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	7.133299359616868e-4
path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.0027545268733382825
