pathway_id	description	pval
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.8660084222750645
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0.8959442374777886
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	0.08723991728423608
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0.036643786315414005
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.024385210755995108
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.0051653949418312695
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	0.47262366289962554
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.31325332160412994
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0.1408781427284299
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	0.2949874093903922
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0.32865483972591314
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	0.015763723088653047
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0.6409814228780917
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0.16466052671516324
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0.38172443050808547
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.017781453964663897
path:hsa00230	Purine metabolism - Homo sapiens (human)	0.011786855927614494
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.2242733944701428
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	0.40923259102062093
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.0023164544514799744
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	4.5933166449285413e-4
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0.21920710866779594
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	0.06720929824907639
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.0776190882339409
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.0037887060688892435
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0.9701602289663801
path:hsa00340	Histidine metabolism - Homo sapiens (human)	0.21978896679621093
path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	0.785498945057792
path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.8169219390836525
path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	0.09565079179098776
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	0.8713628236278602
path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0.03046718233413611
path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	0.4195866095374666
path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	0.07600664911282726
path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	0.4332721268853198
path:hsa00470	D-Amino acid metabolism - Homo sapiens (human)	0.9388720276078557
path:hsa00480	Glutathione metabolism - Homo sapiens (human)	0.4561696678925057
path:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	0.008261012346900905
path:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	0.3600520890213098
path:hsa00511	Other glycan degradation - Homo sapiens (human)	0.9302698895083084
path:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0.9770425478779531
path:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	0.10673039151802925
path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	1.1302794826855287e-6
path:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	0.06566153648504303
path:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	0.5004311400535413
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	7.316939233318685e-4
path:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	0.860265073124994
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	0.016715191817154983
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	3.3811955622258357e-4
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	0.33633845409666074
path:hsa00561	Glycerolipid metabolism - Homo sapiens (human)	5.779164515864777e-6
path:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	0.9415554552032919
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	0.23108858245256905
path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	1.354991658546142e-5
path:hsa00565	Ether lipid metabolism - Homo sapiens (human)	0.05496738040772377
path:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.22487475252450692
path:hsa00591	Linoleic acid metabolism - Homo sapiens (human)	0.8130986143690999
path:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	0.0892203721508505
path:hsa00600	Sphingolipid metabolism - Homo sapiens (human)	0.003178376011817822
path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	0.018160361298889795
path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	0.02025777718522788
path:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	0.8103114943230388
path:hsa00620	Pyruvate metabolism - Homo sapiens (human)	0.7573488993666225
path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	0.019596473391024098
path:hsa00640	Propanoate metabolism - Homo sapiens (human)	0.18716957259800127
path:hsa00650	Butanoate metabolism - Homo sapiens (human)	0.7467906490562528
path:hsa00670	One carbon pool by folate - Homo sapiens (human)	0.08107710902889642
path:hsa00730	Thiamine metabolism - Homo sapiens (human)	0.8786042898985231
path:hsa00740	Riboflavin metabolism - Homo sapiens (human)	0.001202897015198131
path:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	0.08322011246792463
path:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	0.5626180529667846
path:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	0.11717107721098317
path:hsa00780	Biotin metabolism - Homo sapiens (human)	0.33156720453987343
path:hsa00785	Lipoic acid metabolism - Homo sapiens (human)	0.007434409989451794
path:hsa00790	Folate biosynthesis - Homo sapiens (human)	0.04014488720791196
path:hsa00830	Retinol metabolism - Homo sapiens (human)	0.26225870969016396
path:hsa00860	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	0.06220908967107934
path:hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	0.37754054207866816
path:hsa00910	Nitrogen metabolism - Homo sapiens (human)	0.8344300057814039
path:hsa00920	Sulfur metabolism - Homo sapiens (human)	7.201219536325487e-4
path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	0.15325936279139302
path:hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	0.10739540012260922
path:hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	0.12205962319477111
path:hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	0.038699700322779924
path:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	0.09015033320670245
path:hsa01100	Metabolic pathways - Homo sapiens (human)	0.029111282938326804
path:hsa01200	Carbon metabolism - Homo sapiens (human)	0.1821177607258271
path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	0.00633420132926967
path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	0.3841959457912928
path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	0.21036819084390976
path:hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	0.025542127189297305
path:hsa01250	Biosynthesis of nucleotide sugars - Homo sapiens (human)	0.3024476017505463
path:hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	0.5413903201159033
path:hsa01522	Endocrine resistance - Homo sapiens (human)	0.3059575019224819
path:hsa01523	Antifolate resistance - Homo sapiens (human)	0.016850971256091554
path:hsa01524	Platinum drug resistance - Homo sapiens (human)	0.06464196174523687
path:hsa02010	ABC transporters - Homo sapiens (human)	0.046313806768892976
path:hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	0.06895622129907544
path:hsa03010	Ribosome - Homo sapiens (human)	0.9812573054449378
path:hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)	0.27249470914182605
path:hsa03015	mRNA surveillance pathway - Homo sapiens (human)	0.6678659275687477
path:hsa03018	RNA degradation - Homo sapiens (human)	0.29968566130069346
path:hsa03020	RNA polymerase - Homo sapiens (human)	0.7465783801223249
path:hsa03022	Basal transcription factors - Homo sapiens (human)	0.011631660567305479
path:hsa03030	DNA replication - Homo sapiens (human)	0.1855472470376325
path:hsa03040	Spliceosome - Homo sapiens (human)	0.4825642365835118
path:hsa03050	Proteasome - Homo sapiens (human)	0.5249003784297638
path:hsa03060	Protein export - Homo sapiens (human)	0.5392597069789008
path:hsa03320	PPAR signaling pathway - Homo sapiens (human)	0.009511918577903252
path:hsa03410	Base excision repair - Homo sapiens (human)	0.35574100465641
path:hsa03420	Nucleotide excision repair - Homo sapiens (human)	0.02634172187909935
path:hsa03430	Mismatch repair - Homo sapiens (human)	0.010092437709982817
path:hsa03440	Homologous recombination - Homo sapiens (human)	0.024937620900022484
path:hsa03450	Non-homologous end-joining - Homo sapiens (human)	0.013742940975150636
path:hsa03460	Fanconi anemia pathway - Homo sapiens (human)	0.08870958445619069
path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	0.027676267942491044
path:hsa04012	ErbB signaling pathway - Homo sapiens (human)	0.028765443877740306
path:hsa04014	Ras signaling pathway - Homo sapiens (human)	0.0013134718050691705
path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0.06945725045022094
path:hsa04020	Calcium signaling pathway - Homo sapiens (human)	0.009515556599014619
path:hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	5.198046083850489e-8
