pathway_id	description	pval
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.022951482853542152
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	9.398884275256146e-9
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	6.399392937882101e-11
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	2.3248502865684553e-10
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	2.543279176852058e-4
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.5335801644382232
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	5.5027351383981604e-9
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	4.617766974005735e-5
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	6.104074756781887e-6
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	1.0113721409897626e-5
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	7.981335349920455e-4
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	0.026817697259010023
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	9.996068668420837e-6
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	1.0809832134016428e-7
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	3.82615009254446e-6
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.001987534117553684
path:hsa00230	Purine metabolism - Homo sapiens (human)	4.7282216239523254e-9
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.007662345306225136
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	4.447879212785044e-12
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.00875784800063173
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.028940732076760057
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	2.4879090203583925e-5
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	4.286867356918094e-9
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.1221463735100684
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.10398261819747376
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	4.8572607762082314e-5
path:hsa00340	Histidine metabolism - Homo sapiens (human)	0.10401791019990075
path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	0.15752111647678313
path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.4305162983659915
path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	0.0033085111822515507
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	0.06401453828248545
path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0.400712715221212
path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	0.019615557269076045
path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	2.9018604913232664e-6
path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	6.313513505597411e-10
path:hsa00470	D-Amino acid metabolism - Homo sapiens (human)	0.46522351664454786
path:hsa00480	Glutathione metabolism - Homo sapiens (human)	2.7022186760386165e-4
path:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	0.08159373651466678
path:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	6.417180942578582e-7
path:hsa00511	Other glycan degradation - Homo sapiens (human)	2.036715724369113e-4
path:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0.412998796589344
path:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	1.6304848842523081e-6
path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	9.232587838502927e-6
path:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	1.9196893040327828e-4
path:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	8.368352287898221e-9
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	0.36275253191338175
path:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	0.26211415802842214
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	0.004053363257899297
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	0.0010232048721883701
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	0.1564369134605824
path:hsa00561	Glycerolipid metabolism - Homo sapiens (human)	0.0017518916933818762
path:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	3.187943008336543e-5
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	6.849769914354163e-8
path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	9.470507993339811e-4
path:hsa00565	Ether lipid metabolism - Homo sapiens (human)	0.09332346948734838
path:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.015412836066389045
path:hsa00591	Linoleic acid metabolism - Homo sapiens (human)	3.88120098437583e-11
path:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	1.9216424305197843e-4
path:hsa00600	Sphingolipid metabolism - Homo sapiens (human)	4.593187667283413e-10
path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	0.24620328298797609
path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	0.048960345823229084
path:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	0.09538138060846543
path:hsa00620	Pyruvate metabolism - Homo sapiens (human)	0.005026550421371486
path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	5.030820356690002e-8
path:hsa00640	Propanoate metabolism - Homo sapiens (human)	1.3928882069048418e-4
path:hsa00650	Butanoate metabolism - Homo sapiens (human)	0.19983389432177415
path:hsa00670	One carbon pool by folate - Homo sapiens (human)	9.178422458064762e-4
path:hsa00730	Thiamine metabolism - Homo sapiens (human)	0.030801526030235227
path:hsa00740	Riboflavin metabolism - Homo sapiens (human)	9.675276104404036e-6
path:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	7.077207134454588e-7
path:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	1.153087454893876e-11
path:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	0.0017992032582960199
path:hsa00780	Biotin metabolism - Homo sapiens (human)	3.1664331648956365e-5
path:hsa00785	Lipoic acid metabolism - Homo sapiens (human)	2.7955706952999097e-4
path:hsa00790	Folate biosynthesis - Homo sapiens (human)	0.013613066427888522
path:hsa00830	Retinol metabolism - Homo sapiens (human)	3.689198337820513e-10
path:hsa00860	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	8.406991149585328e-5
path:hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	2.458504999855284e-7
path:hsa00910	Nitrogen metabolism - Homo sapiens (human)	0.3931079108432254
path:hsa00920	Sulfur metabolism - Homo sapiens (human)	6.57307648691513e-8
path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	9.55024991267575e-9
path:hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	1.3447816008649593e-5
path:hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	2.7876058606288367e-7
path:hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	0.042398814183946414
path:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	1.69900144562021e-4
path:hsa01100	Metabolic pathways - Homo sapiens (human)	6.558763440937863e-9
path:hsa01200	Carbon metabolism - Homo sapiens (human)	2.8420648013757506e-8
path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	9.024405357025654e-13
path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	6.273766548680473e-8
path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	9.507457214874387e-9
path:hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	1.9497797895645434e-6
