pathway_id	description	pval
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.04690176056024622
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0.3953015897142912
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	3.542957322850345e-4
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0.30519547910289774
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.025238530622062657
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.0017637188271911104
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	9.285212482920292e-4
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.6754951784613326
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0.37660072910937636
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	3.96732809597985e-7
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0.9158798271815851
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	1.1589395291980319e-4
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0.30219209078287473
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0.9045968618412232
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0.3785753151661423
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.1462239524028407
path:hsa00230	Purine metabolism - Homo sapiens (human)	0.8442719291035926
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.7212503921269369
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	7.12070923270122e-4
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.2577769734972278
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.11565325051703478
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0.5441365551797523
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	4.208464990272358e-5
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.00996178666200891
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.018954823539889018
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0.22840703884680033
path:hsa00340	Histidine metabolism - Homo sapiens (human)	0.36612411287689883
path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	0.829412855512682
path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.7283114234871194
path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	2.559421042087211e-5
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	0.24804896191039041
path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0.010393048021965189
path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	0.04120063384325976
path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	0.058045518726376095
path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	0.04532276542709503
path:hsa00470	D-Amino acid metabolism - Homo sapiens (human)	0.044368970309981444
path:hsa00480	Glutathione metabolism - Homo sapiens (human)	0.022669771745624664
path:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	0.019343456467323182
path:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	0.03728673281220856
path:hsa00511	Other glycan degradation - Homo sapiens (human)	2.7446212945052333e-4
path:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0.481308918188179
path:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	0.04462022134710569
path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	0.003162570330419643
path:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	0.05143590387724093
path:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	0.005566528485203121
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	0.22176510232092306
path:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	0.9694903055476033
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	1.784882538625668e-4
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	0.5834202234190142
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	0.3680634022211554
path:hsa00561	Glycerolipid metabolism - Homo sapiens (human)	0.6626407607416287
path:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	0.049628980447086066
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	0.0034064862485357963
path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	0.5593392311074699
path:hsa00565	Ether lipid metabolism - Homo sapiens (human)	0.9336329553741943
path:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.0448269496844433
path:hsa00591	Linoleic acid metabolism - Homo sapiens (human)	0.23785732995993336
path:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	7.44659592468095e-4
path:hsa00600	Sphingolipid metabolism - Homo sapiens (human)	0.0018996376376215992
path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	0.6130998952696527
path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	0.10395493869252605
path:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	0.180986410556487
path:hsa00620	Pyruvate metabolism - Homo sapiens (human)	0.0455012242744458
path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	0.45755700554552836
path:hsa00640	Propanoate metabolism - Homo sapiens (human)	0.0045525447274841055
path:hsa00650	Butanoate metabolism - Homo sapiens (human)	0.00998415510773704
path:hsa00670	One carbon pool by folate - Homo sapiens (human)	6.355564101674439e-5
path:hsa00730	Thiamine metabolism - Homo sapiens (human)	0.11242575220161234
path:hsa00740	Riboflavin metabolism - Homo sapiens (human)	0.016609928300650136
path:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	0.608723842831663
path:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	1.3709105075629758e-6
path:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	3.789949428899055e-5
path:hsa00780	Biotin metabolism - Homo sapiens (human)	0.004626654364517304
path:hsa00785	Lipoic acid metabolism - Homo sapiens (human)	0.8142596840517139
path:hsa00790	Folate biosynthesis - Homo sapiens (human)	0.6776980817786687
path:hsa00830	Retinol metabolism - Homo sapiens (human)	0.656245205847775
path:hsa00860	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	0.5268219292622665
path:hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	0.658033999006344
path:hsa00910	Nitrogen metabolism - Homo sapiens (human)	0.012392091916384046
path:hsa00920	Sulfur metabolism - Homo sapiens (human)	0.006930005929490777
path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	0.4175234312025916
path:hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	0.11797137750959905
path:hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	0.007758471163471675
path:hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	8.483414849113703e-4
path:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	0.6260641847352626
path:hsa01100	Metabolic pathways - Homo sapiens (human)	0.05581985598403454
path:hsa01200	Carbon metabolism - Homo sapiens (human)	0.06049209994788785
path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	0.21365675169024442
path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	0.0022132553438952945
path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	0.1896572284616172
path:hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	0.0010702921654198916
path:hsa01250	Biosynthesis of nucleotide sugars - Homo sapiens (human)	0.01928478302081482
path:hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	0.1015409928052726
path:hsa01522	Endocrine resistance - Homo sapiens (human)	0.46607864621914363
path:hsa01523	Antifolate resistance - Homo sapiens (human)	0.05475175154640895
path:hsa01524	Platinum drug resistance - Homo sapiens (human)	0.03214500359825709
path:hsa02010	ABC transporters - Homo sapiens (human)	0.14660439191811195
path:hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	0.09650625693008545
path:hsa03010	Ribosome - Homo sapiens (human)	0.0965157402284504
path:hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)	0.4602233499288002
path:hsa03015	mRNA surveillance pathway - Homo sapiens (human)	0.75070691759006
path:hsa03018	RNA degradation - Homo sapiens (human)	0.467646187957968
path:hsa03020	RNA polymerase - Homo sapiens (human)	0.0529686547224652
path:hsa03022	Basal transcription factors - Homo sapiens (human)	0.36084446649138846
path:hsa03030	DNA replication - Homo sapiens (human)	0.6767738733433848
path:hsa03040	Spliceosome - Homo sapiens (human)	0.11458136200925094
path:hsa03050	Proteasome - Homo sapiens (human)	0.1512557091819903
path:hsa03060	Protein export - Homo sapiens (human)	0.07042858449677515
path:hsa03320	PPAR signaling pathway - Homo sapiens (human)	0.14704052047087707
path:hsa03410	Base excision repair - Homo sapiens (human)	0.4849260827407177
path:hsa03420	Nucleotide excision repair - Homo sapiens (human)	0.14126924219006318
path:hsa03430	Mismatch repair - Homo sapiens (human)	0.9015490847615968
path:hsa03440	Homologous recombination - Homo sapiens (human)	0.15160988725180075
path:hsa03450	Non-homologous end-joining - Homo sapiens (human)	0.5552248904576305
path:hsa03460	Fanconi anemia pathway - Homo sapiens (human)	0.7109006773276267
path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	1.9613763497161913e-5
path:hsa04012	ErbB signaling pathway - Homo sapiens (human)	0.4426767690356519
path:hsa04014	Ras signaling pathway - Homo sapiens (human)	8.827564087365649e-5
path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0.0013356714347424615
path:hsa04020	Calcium signaling pathway - Homo sapiens (human)	1.9340541082044926e-4
path:hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	2.7061703906385227e-5
path:hsa04024	cAMP signaling pathway - Homo sapiens (human)	2.7723758064764976e-4
path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	0.2897069238327668
path:hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	0.23897916646077805
path:hsa04062	Chemokine signaling pathway - Homo sapiens (human)	0.9638388574758652
path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	0.06577811265798418
path:hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	0.4773711561099614
path:hsa04068	FoxO signaling pathway - Homo sapiens (human)	0.6669356491392548
path:hsa04070	Phosphatidylinositol signaling system - Homo sapiens (human)	0.020743199365073687
path:hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	0.20514406469793822
path:hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	0.0014633092828828546
path:hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	0.006568184300004333
path:hsa04110	Cell cycle - Homo sapiens (human)	0.9357257014382938
path:hsa04114	Oocyte meiosis - Homo sapiens (human)	2.1833312084684685e-7
path:hsa04115	p53 signaling pathway - Homo sapiens (human)	0.0532974836984397
path:hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)	0.9040744463677477
path:hsa04122	Sulfur relay system - Homo sapiens (human)	0.31300572742466637
path:hsa04130	SNARE interactions in vesicular transport - Homo sapiens (human)	0.6136187110955011
path:hsa04136	Autophagy - other - Homo sapiens (human)	0.9515057716061283
path:hsa04137	Mitophagy - animal - Homo sapiens (human)	0.9126258476780068
path:hsa04140	Autophagy - animal - Homo sapiens (human)	0.8416226888801125
path:hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	0.011397452629000571
path:hsa04142	Lysosome - Homo sapiens (human)	0.03983502153977945
path:hsa04144	Endocytosis - Homo sapiens (human)	0.1464056279801057
path:hsa04145	Phagosome - Homo sapiens (human)	0.2783792522221567
path:hsa04146	Peroxisome - Homo sapiens (human)	8.230802673136594e-5
path:hsa04150	mTOR signaling pathway - Homo sapiens (human)	0.008586685107036354
path:hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	0.8922272783959043
path:hsa04152	AMPK signaling pathway - Homo sapiens (human)	0.07185412855912056
path:hsa04210	Apoptosis - Homo sapiens (human)	0.05619992339582093
path:hsa04211	Longevity regulating pathway - Homo sapiens (human)	0.40874609919996874
path:hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	0.03343144618032116
path:hsa04215	Apoptosis - multiple species - Homo sapiens (human)	0.301756474306336
path:hsa04216	Ferroptosis - Homo sapiens (human)	0.509218992080974
path:hsa04217	Necroptosis - Homo sapiens (human)	0.011542828645041109
path:hsa04218	Cellular senescence - Homo sapiens (human)	0.15756999068006736
path:hsa04260	Cardiac muscle contraction - Homo sapiens (human)	0.0016939678650498748
path:hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	0.001429637578174058
path:hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	6.870785340775762e-5
