pathway_id	description	pval
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.10156895416122017
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0.9794742161636782
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	0.08688340466957044
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0.01217990396691052
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.849709233822035
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.8659073545435904
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	0.056553703834844156
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.048018060471502935
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0.14391146495258456
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	0.3704346084346345
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0.6851173303096455
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	0.2665002680876483
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0.22590134932269215
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	7.812949988040529e-4
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0.3950453318203755
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.21382140560521334
path:hsa00230	Purine metabolism - Homo sapiens (human)	0.030614047211605707
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.07229311731643902
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	0.6629239835125691
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.07892303747950068
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.646725344237628
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0.7124924521590055
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	0.2342453868349693
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.6660734622315078
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.005262020866954577
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0.9258701039133674
