pathway_id	description	pval
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.8735468322660653
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0.9624171430512318
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	0.47707933668824054
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0.5705223134730213
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.07167109849741665
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.4506835509265483
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	0.0669040825235969
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.6334024680221888
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0.8247467835340135
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	0.059698055002915376
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0.9351120183476567
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	0.013323140360642458
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0.9999141601817172
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0.03920289905536361
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0.882591094421864
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.943917287109287
path:hsa00230	Purine metabolism - Homo sapiens (human)	0.13800213433776587
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.5341035155483267
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	0.05752047190847364
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.44566618686247406
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.4468658125336188
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0.521258632790327
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	0.35178355200420763
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.42637505944042575
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.5900108251150811
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0.5239031663471647
path:hsa00340	Histidine metabolism - Homo sapiens (human)	0.6649127442388578
path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	0.7551826714266919
path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.6341146623017071
path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	0.06598564601079615
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	0.2628989427059014
path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0.4788034245874999
path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	0.056248399509225534
path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	0.4395199872690605
path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	0.697045693859623
path:hsa00470	D-Amino acid metabolism - Homo sapiens (human)	0.6028925110516268
