pathway_id	description	pval	cancer_group	gene_parsed_by
path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.04690176056024622	LGG	FOLH1
path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0.3953015897142912	LGG	FOLH1
path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	3.542957322850345e-4	LGG	FOLH1
path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0.30519547910289774	LGG	FOLH1
path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.025238530622062657	LGG	FOLH1
path:hsa00052	Galactose metabolism - Homo sapiens (human)	0.0017637188271911104	LGG	FOLH1
path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	9.285212482920292e-4	LGG	FOLH1
path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.6754951784613326	LGG	FOLH1
path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0.37660072910937636	LGG	FOLH1
path:hsa00071	Fatty acid degradation - Homo sapiens (human)	3.96732809597985e-7	LGG	FOLH1
path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0.9158798271815851	LGG	FOLH1
path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	1.1589395291980319e-4	LGG	FOLH1
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0.30219209078287473	LGG	FOLH1
path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0.9045968618412232	LGG	FOLH1
path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0.3785753151661423	LGG	FOLH1
path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.1462239524028407	LGG	FOLH1
path:hsa00230	Purine metabolism - Homo sapiens (human)	0.8442719291035926	LGG	FOLH1
path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0.7212503921269369	LGG	FOLH1
path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	7.12070923270122e-4	LGG	FOLH1
path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0.2577769734972278	LGG	FOLH1
path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0.11565325051703478	LGG	FOLH1
path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0.5441365551797523	LGG	FOLH1
path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	4.208464990272358e-5	LGG	FOLH1
path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0.00996178666200891	LGG	FOLH1
path:hsa00310	Lysine degradation - Homo sapiens (human)	0.018954823539889018	LGG	FOLH1
path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0.22840703884680033	LGG	FOLH1
path:hsa00340	Histidine metabolism - Homo sapiens (human)	0.36612411287689883	LGG	FOLH1
