Kids_First_Biospecimen_ID	pathway	gsea_score	description	cancer_group	gene_parsed_by	group
BS_C80S5N37	path:hsa00010	-0.2530938539166434	Glycolysis / Gluconeogenesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00020	-0.34536035035696994	Citrate cycle (TCA cycle) - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00030	-0.18793683951290738	Pentose phosphate pathway - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00040	-0.2182286695543088	Pentose and glucuronate interconversions - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00051	-0.057009895415066236	Fructose and mannose metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00052	0.133503738187263	Galactose metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00053	-0.0629159685139502	Ascorbate and aldarate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00061	0.3442369942606979	Fatty acid biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00062	0.16088575058339938	Fatty acid elongation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00071	-0.08114761974329443	Fatty acid degradation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00100	-0.18447816305114256	Steroid biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00120	0.41372615858099737	Primary bile acid biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00130	-0.40289327535077213	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00140	0.1289928783344376	Steroid hormone biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00190	-0.5920789304857498	Oxidative phosphorylation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00220	0.2090986261544237	Arginine biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00230	-0.03560277677976864	Purine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00232	0.380930727974514	Caffeine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00240	-0.27228995988718296	Pyrimidine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00250	0.017452378012089237	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00260	0.1907452390925598	Glycine, serine and threonine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00270	0.1210062958523591	Cysteine and methionine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00280	0.1672271405474949	Valine, leucine and isoleucine degradation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00290	-0.35509701731069804	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00310	0.2448541330051442	Lysine degradation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00330	-0.09687859420210582	Arginine and proline metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00340	0.239087814986412	Histidine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00350	-0.051084095385674905	Tyrosine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00360	9.186490917977019e-4	Phenylalanine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00380	0.10644786561034764	Tryptophan metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00400	-0.14967847462855266	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00410	0.36155005957239295	beta-Alanine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00430	-0.23335211740891376	Taurine and hypotaurine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00440	-0.3937760906351524	Phosphonate and phosphinate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00450	0.09430830391883083	Selenocompound metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00470	0.3747055240488703	D-Amino acid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00480	-0.19208707216779453	Glutathione metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00500	0.01674484965617251	Starch and sucrose metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00510	-0.1824762522293921	N-Glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00511	-0.211773532472123	Other glycan degradation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00512	-0.22325228037945719	Mucin type O-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00513	-0.22798557231297178	Various types of N-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00514	-0.02813649426218623	Other types of O-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00515	0.3660768999337003	Mannose type O-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00520	-0.2860492866745097	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00524	0.45423343753150913	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00531	-0.11746645371859418	Glycosaminoglycan degradation - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00532	-0.13404230692168406	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00533	0.036125089645693026	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00534	-0.17422190007794044	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00561	0.14453178124197602	Glycerolipid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00562	0.17105997079179214	Inositol phosphate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00563	-0.0386316517158484	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00564	0.24812979175679625	Glycerophospholipid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00565	0.38952174544652474	Ether lipid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00590	0.302424660662616	Arachidonic acid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00591	0.5170590431253855	Linoleic acid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00592	0.5520700581373811	alpha-Linolenic acid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00600	0.057170085210305505	Sphingolipid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00601	-0.28370225874542254	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00603	-0.22387368779143996	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00604	-0.5533286406991721	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00620	-0.028594648869164907	Pyruvate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00630	0.0340520158084309	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00640	0.38267539449119314	Propanoate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00650	0.07823528758907547	Butanoate metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00670	0.15146234595207086	One carbon pool by folate - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00730	-0.4193591447055425	Thiamine metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00740	-0.4581754070611882	Riboflavin metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00750	-0.1563396967697923	Vitamin B6 metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00760	-0.12302979296822389	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00770	0.16270879533029162	Pantothenate and CoA biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00780	0.21520999770084678	Biotin metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00785	-0.5054129351503245	Lipoic acid metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00790	0.08016423712967155	Folate biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00830	-0.19313268585467197	Retinol metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00860	-0.21552503509030874	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00900	-0.009700167567276097	Terpenoid backbone biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00910	-0.1344713949460925	Nitrogen metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00920	0.23085506854791563	Sulfur metabolism - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00970	0.014052156245578235	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00980	-0.02687873433382157	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPN	FOLH1	2
BS_C80S5N37	path:hsa00982	0.18871272680762688	Drug metabolism - cytochrome P450 - Homo sapiens (human)	EPN	FOLH1	2
