Kids_First_Biospecimen_ID	pathway	gsea_score	description	cancer_group	gene_parsed_by	group
BS_B3M5SGPA	path:hsa00010	0.3197155281907989	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00020	0.5232684450131669	Citrate cycle (TCA cycle) - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00030	0.16279963008907708	Pentose phosphate pathway - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00040	0.09401801333105171	Pentose and glucuronate interconversions - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00051	0.36282073104402907	Fructose and mannose metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00052	0.29137827669215444	Galactose metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00053	0.08515338014592655	Ascorbate and aldarate metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00061	0.3167875320959871	Fatty acid biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00062	0.3315067047718958	Fatty acid elongation - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00071	0.3038325448994156	Fatty acid degradation - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00100	0.3631048557790476	Steroid biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00120	-0.25591787120399245	Primary bile acid biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00130	0.381347928372031	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00140	0.014633060390527905	Steroid hormone biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00190	0.45325195802593793	Oxidative phosphorylation - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00220	0.04436122560709563	Arginine biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00230	-0.009232310676479089	Purine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00232	-0.34166515707221645	Caffeine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00240	0.06876952498890654	Pyrimidine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00250	0.11735679190050646	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00260	0.3936495134847751	Glycine, serine and threonine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00270	0.3330178273064932	Cysteine and methionine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00280	0.23515180702443322	Valine, leucine and isoleucine degradation - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00290	0.6890385362517778	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00310	0.010979963226701112	Lysine degradation - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00330	0.025756058143121735	Arginine and proline metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00340	-0.1866131893084993	Histidine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00350	0.3345633089888674	Tyrosine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00360	0.08657543362583975	Phenylalanine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00380	-0.11773739271686633	Tryptophan metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00400	0.08958324772038345	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00410	0.01190889622117794	beta-Alanine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00430	0.004119699514547992	Taurine and hypotaurine metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00440	0.19944272071612565	Phosphonate and phosphinate metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00450	0.04538855146207493	Selenocompound metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00470	0.1733223343120535	D-Amino acid metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00480	0.3719026862297572	Glutathione metabolism - Homo sapiens (human)	LGG	SLC7A5	2
BS_B3M5SGPA	path:hsa00500	-0.04781270921813241	Starch and sucrose metabolism - Homo sapiens (human)	LGG	SLC7A5	2
