Kids_First_Biospecimen_ID	pathway	gsea_score	description	cancer_group	gene_parsed_by	group
BS_BA6AZWB3	path:hsa00010	0.006523735089463689	Glycolysis / Gluconeogenesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00020	0.010280444000009908	Citrate cycle (TCA cycle) - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00030	0.2840841803039191	Pentose phosphate pathway - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00040	-0.22324130086293983	Pentose and glucuronate interconversions - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00051	0.20264446585200444	Fructose and mannose metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00052	-0.08739442535845987	Galactose metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00053	-0.32274588472078025	Ascorbate and aldarate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00061	0.12537494026038065	Fatty acid biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00062	0.18199771202017376	Fatty acid elongation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00071	0.17311965056399795	Fatty acid degradation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00100	-0.20814011819580636	Steroid biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00120	0.4449612030734407	Primary bile acid biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00130	-0.45630798619745383	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00140	0.18306979472455273	Steroid hormone biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00190	-0.201621059073604	Oxidative phosphorylation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00220	0.19024261952064514	Arginine biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00230	0.03174934344467023	Purine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00232	0.3988230583453522	Caffeine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00240	-0.2468466996817767	Pyrimidine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00250	0.3989400702131606	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00260	0.19405754211017123	Glycine, serine and threonine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00270	0.08763123537927622	Cysteine and methionine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00280	0.3408777145217409	Valine, leucine and isoleucine degradation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00290	0.2232205892337951	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00310	-0.029190761984562746	Lysine degradation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00330	0.26734501947786465	Arginine and proline metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00340	0.41492354195498277	Histidine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00350	-0.03521030245749743	Tyrosine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00360	0.09125589530512132	Phenylalanine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00380	0.1234366537920408	Tryptophan metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00400	0.44462210831436544	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00410	0.2845886929510698	beta-Alanine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00430	0.36719414939827844	Taurine and hypotaurine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00440	0.753560423394206	Phosphonate and phosphinate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00450	0.23935841187187326	Selenocompound metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00470	0.4224078877550166	D-Amino acid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00480	-0.05539704133120152	Glutathione metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00500	0.30431653283282867	Starch and sucrose metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00510	-0.31909584500758964	N-Glycan biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00511	0.4260027811856006	Other glycan degradation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00512	0.32035740329705564	Mucin type O-glycan biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00513	-0.17240438418701756	Various types of N-glycan biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00514	0.07694905857804776	Other types of O-glycan biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00515	-0.21609550156200458	Mannose type O-glycan biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00520	0.1300420799267522	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00524	-0.102119625891199	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00531	0.03784868744047867	Glycosaminoglycan degradation - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00532	0.24076506747053492	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00533	-0.0699629946773006	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00534	0.12059244876887153	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00561	0.15377532897352597	Glycerolipid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00562	0.3100946654922953	Inositol phosphate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00563	-0.2862617737223585	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00564	0.33952728687678707	Glycerophospholipid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00565	0.36424905649809336	Ether lipid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00590	0.43444809381926724	Arachidonic acid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00591	0.39236258116263056	Linoleic acid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00592	0.3236400856377814	alpha-Linolenic acid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00600	0.23150152772408872	Sphingolipid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00601	0.24741616734010996	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00603	0.3699571046878835	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00604	0.313570956850381	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00620	-0.01286314534372654	Pyruvate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00630	0.3290627433033677	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00640	0.039498444989721104	Propanoate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00650	0.29954753185447863	Butanoate metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00670	-0.03726235973125913	One carbon pool by folate - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00730	-0.10031463765149981	Thiamine metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00740	-0.15389827380150262	Riboflavin metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00750	-0.016706937091235052	Vitamin B6 metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00760	0.31560786455815726	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00770	0.04132641620507857	Pantothenate and CoA biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00780	0.4018503019411889	Biotin metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00785	0.4303451525990696	Lipoic acid metabolism - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00790	-0.05105337084472228	Folate biosynthesis - Homo sapiens (human)	Medullo	FOLH1	1
BS_BA6AZWB3	path:hsa00830	0.1376300900828314	Retinol metabolism - Homo sapiens (human)	Medullo	FOLH1	1
