pathway	description	Type	logFC	P.Value	adj.P.Val	direction
hsa00730	Thiamine metabolism	Metabolism	-0.1545337383843538	1.752963758025409e-4	0.02366642347137695	down
hsa04726	Serotonergic synapse	Signaling	0.1432484835508457	2.3381411019968306e-4	0.02366642347137695	up
hsa00640	Propanoate metabolism	Metabolism	0.1394673534804968	3.4633790445917493e-4	0.02366642347137695	up
hsa00590	Arachidonic acid metabolism	Metabolism	0.14030444804915235	8.951638659639536e-4	0.037598040535878716	up
hsa00062	Fatty acid elongation	Metabolism	0.13051880384026432	9.17025378923871e-4	0.037598040535878716	up
hsa04977	Vitamin digestion and absorption	Signaling	0.11304124943565282	0.00111800470718899	0.038198494162290486	up
hsa00512	Mucin type O-Glycan biosynthesis	Metabolism	0.10459935359048082	0.0016970218276963131	0.04438213956206371	up
hsa00770	Pantothenate and CoA biosynthesis	Metabolism	0.18466712542942706	0.0018180436610451766	0.04438213956206371	up
hsa01212	Fatty acid metabolism	Metabolism	0.11764735719611867	0.00194848417589548	0.04438213956206371	up
hsa04723	Retrograde endocannabinoid signaling	Signaling	0.08721279203502307	0.002698825529989378	0.05532592336478225	up
hsa04370	VEGF signaling pathway	Signaling	0.08560984736778691	0.0031650232828153756	0.05898452481610473	up
hsa00603	Glycosphingolipid biosynthesis - globo series	Metabolism	-0.1073515341217951	0.007283738189891104	0.12443052741063969	down
hsa00900	Terpenoid backbone biosynthesis	Metabolism	-0.08106001404331256	0.008396403229839618	0.1324048201628555	down
hsa04740	Olfactory transduction	Signaling	0.08010221855908864	0.0115380716947936	0.16895033553090627	up
hsa03450	Non-homologous end-joining	Signaling	0.12394675929403949	0.015899123890307416	0.217288026500868	up
hsa04614	Renin-angiotensin system	Signaling	-0.14787473239789856	0.019008032004933142	0.21806891744720677	down
hsa00100	Steroid biosynthesis	Metabolism	0.0947259428471405	0.019714450867697172	0.21806891744720677	up
hsa00260	Glycine, serine and threonine metabolism	Metabolism	-0.09227851777259567	0.020646850608950763	0.21806891744720677	down
hsa03022	Basal transcription factors	Signaling	-0.08161941325711072	0.02162208472699447	0.21806891744720677	down
