pathway	description	Type	logFC	P.Value	adj.P.Val	direction
hsa04340	Hedgehog signaling pathway	Signaling	0.05304683197117267	4.3914133269218306e-7	9.002397320189753e-5	up
hsa04012	ErbB signaling pathway	Signaling	0.02781766462274875	1.4386920894422303e-6	1.474659391678286e-4	up
hsa04390	Hippo signaling pathway	Signaling	0.022007892981406745	4.701601489011126e-5	0.0026094698617062087	up
hsa04550	Signaling pathways regulating pluripotency of stem cells	Signaling	0.02668217120573521	5.091648510646261e-5	0.0026094698617062087	up
hsa04722	Neurotrophin signaling pathway	Signaling	0.025681761021180766	9.652130763599654e-5	0.0039573736130758584	up
hsa00510	N-Glycan biosynthesis	Metabolism	0.03933107652510895	1.498029900431308e-4	0.005118268826473635	up
hsa04917	Prolactin signaling pathway	Signaling	0.02262009824369809	2.721714861862285e-4	0.00754975646425253	up
hsa00860	Porphyrin and chlorophyll metabolism	Metabolism	0.048250144398433926	2.946246425074158e-4	0.00754975646425253	up
hsa04210	Apoptosis	Signaling	0.016564292765841027	3.753756732840558e-4	0.007984058767123514	up
hsa04740	Olfactory transduction	Signaling	0.05561468868658344	3.8946628132309827e-4	0.007984058767123514	up
hsa04916	Melanogenesis	Signaling	0.020581686639567918	4.6998942711378404e-4	0.008758893868938702	up
hsa04723	Retrograde endocannabinoid signaling	Signaling	0.020787030941885606	5.48298112411551e-4	0.009366759420363996	up
hsa00062	Fatty acid elongation	Metabolism	0.04343028903549532	7.308001637594194e-4	0.011524156428513923	up
hsa04750	Inflammatory mediator regulation of TRP channels	Signaling	0.022128883948885212	8.041323999287387e-4	0.011774795856099389	up
hsa00360	Phenylalanine metabolism	Metabolism	0.05631966886887145	9.95884861140409e-4	0.01361042643558559	up
hsa04976	Bile secretion	Signaling	0.028767432045594163	0.0012426645817058036	0.01592163995310561	up
hsa00052	Galactose metabolism	Metabolism	0.03624205963057546	0.0013279207471747453	0.016013161951224868	up
hsa03430	Mismatch repair	Signaling	0.030659658619244322	0.001740043578717621	0.019373956827236315	up
hsa04630	Jak-STAT signaling pathway	Signaling	0.0178534395688521	0.0018587499103879693	0.019373956827236315	up
