pathway	description	Type	logFC	P.Value	adj.P.Val	direction
hsa03040	Spliceosome	Signaling	0.018442673774218054	2.97578854790743e-5	0.0061003665232102315	up
hsa04723	Retrograde endocannabinoid signaling	Signaling	0.019635297499700676	7.505259508105665e-4	0.07692890995808306	up
hsa00511	Other glycan degradation	Metabolism	0.035979338368523586	0.0014301611391083888	0.09772767783907323	up
hsa00330	Arginine and proline metabolism	Metabolism	0.024368613064423866	0.00448666215983893	0.22994143569174516	up
hsa04130	SNARE interactions in vesicular transport	Signaling	0.028478430470148208	0.005804409318280665	0.23798078204950726	up
hsa04713	Circadian entrainment	Signaling	0.01537671121016854	0.007064688426434562	0.2413768545698475	up
hsa04260	Cardiac muscle contraction	Signaling	0.018641463147407864	0.008905866236574876	0.24719226387452523	up
hsa04261	Adrenergic signaling in cardiomyocytes	Signaling	0.01160209853189666	0.009702242779334925	0.24719226387452523	up
hsa04728	Dopaminergic synapse	Signaling	0.012149658880846187	0.010852343292052327	0.24719226387452523	up
hsa00140	Steroid hormone biosynthesis	Metabolism	-0.018933233024741362	0.012091315152989017	0.24787196063627487	down
hsa04530	Tight junction	Signaling	0.010188391316032778	0.016807954760152618	0.3063048442905221	up
hsa04070	Phosphatidylinositol signaling system	Signaling	0.016300453966761635	0.017930039665786664	0.3063048442905221	up
hsa04960	Aldosterone-regulated sodium reabsorption	Signaling	0.01724221070979318	0.024606266979348406	0.38802190236664796	up
hsa00590	Arachidonic acid metabolism	Metabolism	-0.015665863035485096	0.03138819797602223	0.3934687990729966	down
hsa04727	GABAergic synapse	Signaling	0.01504379131750021	0.032622698467099094	0.3934687990729966	up
hsa03410	Base excision repair	Signaling	0.013867823194278643	0.03335689305987952	0.3934687990729966	up
hsa04918	Thyroid hormone synthesis	Signaling	0.012092024899908713	0.033699165609825284	0.3934687990729966	up
hsa04970	Salivary secretion	Signaling	0.01524219756621679	0.03489572006903731	0.3934687990729966	up
hsa04152	AMPK signaling pathway	Signaling	0.011275542874432972	0.03821675401816905	0.3934687990729966	up
hsa04962	Vasopressin-regulated water reabsorption	Signaling	0.019067189356710566	0.040986017970700596	0.3934687990729966	up
hsa04725	Cholinergic synapse	Signaling	0.013645643521168037	0.04610299913225981	0.3934687990729966	up
hsa00280	Valine, leucine and isoleucine degradation	Metabolism	0.013146402048872395	0.046106819437474626	0.3934687990729966	up
hsa00120	Primary bile acid biosynthesis	Metabolism	0.02080365929382835	0.046409108572316074	0.3934687990729966	up
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism	0.03621364862433721	0.04684820785869647	0.3934687990729966	up
hsa00380	Tryptophan metabolism	Metabolism	0.0178643154467505	0.04798399988695081	0.3934687990729966	up
hsa04922	Glucagon signaling pathway	Signaling	0.012523823672730383	0.05020764220361666	0.39586794814390064	up
hsa00270	Cysteine and methionine metabolism	Metabolism	0.01673417022304023	0.055151393001973754	0.4187420579779489	up
hsa04911	Insulin secretion	Signaling	0.010437912812351987	0.06092301656299929	0.43604051469725263	up
hsa01212	Fatty acid metabolism	Metabolism	0.013657387865610073	0.06267218822256199	0.43604051469725263	up
hsa03022	Basal transcription factors	Signaling	0.014534718212457571	0.06381080702886624	0.43604051469725263	up
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism	-0.02830916193057598	0.06928088774285669	0.4415693880000915	down
hsa04913	Ovarian steroidogenesis	Signaling	-0.014256707486875419	0.07226014769277707	0.4415693880000915	down
hsa00920	Sulfur metabolism	Metabolism	0.024064659754607677	0.07275927325555381	0.4415693880000915	up
hsa04141	Protein processing in endoplasmic reticulum	Signaling	0.007048847726166886	0.07323589849757615	0.4415693880000915	up
hsa00310	Lysine degradation	Metabolism	0.010420587764485382	0.08088610204363901	0.4603715589194336	up
hsa04020	Calcium signaling pathway	Signaling	0.009055388193307866	0.08439317163987595	0.4603715589194336	up
hsa00562	Inositol phosphate metabolism	Metabolism	0.012554676400528821	0.08699361026364247	0.4603715589194336	up
hsa00591	Linoleic acid metabolism	Metabolism	-0.022483536847749855	0.08835887061469298	0.4603715589194336	down
hsa00190	Oxidative phosphorylation	Metabolism	0.006786917218123495	0.08968704330322726	0.4603715589194336	up
hsa04370	VEGF signaling pathway	Signaling	-0.010873358867620853	0.08982859686232851	0.4603715589194336	down
hsa04022	cGMP-PKG signaling pathway	Signaling	0.010240361549125221	0.09383801047782586	0.4691900523891293	up
hsa00061	Fatty acid biosynthesis	Metabolism	0.04054720737936852	0.09877745664306392	0.4821280621863835	up
hsa04977	Vitamin digestion and absorption	Signaling	0.01931884710484409	0.10337443258491659	0.48969470590348224	up
hsa04622	RIG-I-like receptor signaling pathway	Signaling	0.008708009955950011	0.10606476342230614	0.48969470590348224	up
hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Metabolism	0.013955869198497721	0.10749395983247172	0.48969470590348224	up
hsa00450	Selenocompound metabolism	Metabolism	0.01230913510177978	0.11147091889253637	0.4918180572050553	up
hsa04662	B cell receptor signaling pathway	Signaling	-0.01028049592155307	0.11465319753273508	0.4918180572050553	down
hsa04972	Pancreatic secretion	Signaling	0.010736458608930346	0.11515739876020807	0.4918180572050553	up
hsa04514	Cell adhesion molecules (CAMs)	Signaling	0.007034464594654496	0.1317407904126144	0.5511604496854277	up
hsa03440	Homologous recombination	Signaling	-0.011967239955974776	0.15579137545073105	0.6298438556304333	down
hsa04666	Fc gamma R-mediated phagocytosis	Signaling	0.010070774018329374	0.15705563831311833	0.6298438556304333	up
hsa04614	Renin-angiotensin system	Signaling	-0.0166406471938676	0.16087581985645538	0.6298438556304333	down
hsa04721	Synaptic vesicle cycle	Signaling	0.01026758743401869	0.16310282879639926	0.6298438556304333	up
hsa03450	Non-homologous end-joining	Signaling	-0.02370725497103848	0.1659100888002117	0.6298438556304333	down
hsa00970	Aminoacyl-tRNA biosynthesis	Signaling	-0.01014102948536318	0.18377254572744672	0.6667711098937048	down
hsa04612	Antigen processing and presentation	Signaling	0.008374499437037707	0.18534811246326136	0.6667711098937048	up
hsa04971	Gastric acid secretion	Signaling	0.007289811151907471	0.1965713543935964	0.6667711098937048	up
hsa00592	alpha-Linolenic acid metabolism	Metabolism	-0.023831178852623598	0.1966982773158125	0.6667711098937048	down
hsa00260	Glycine, serine and threonine metabolism	Metabolism	0.016730319890686206	0.19864116678711638	0.6667711098937048	up
hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	Metabolism	0.012393073645515859	0.19947939660426545	0.6667711098937048	up
hsa04660	T cell receptor signaling pathway	Signaling	-0.00665243101188296	0.2018204074002417	0.6667711098937048	down
hsa00670	One carbon pool by folate	Metabolism	-0.01408455271414668	0.20606553371301523	0.6667711098937048	down
hsa04722	Neurotrophin signaling pathway	Signaling	0.005887074031669979	0.20930077164261365	0.6667711098937048	up
hsa04080	Neuroactive ligand-receptor interaction	Signaling	-0.006105971160707305	0.2096021775720453	0.6667711098937048	down
hsa00730	Thiamine metabolism	Metabolism	-0.02249252637739058	0.21141522996629666	0.6667711098937048	down
hsa04350	TGF-beta signaling pathway	Signaling	0.011727625349441863	0.2201226809250238	0.6752016757068016	up
hsa00062	Fatty acid elongation	Metabolism	0.01774267087723874	0.22069741497469178	0.6752016757068016	up
hsa04668	TNF signaling pathway	Signaling	0.006990905887808816	0.22396933633201224	0.6752016757068016	up
hsa04144	Endocytosis	Signaling	0.006855418699942613	0.23246401500683356	0.6894684836817728	up
hsa00051	Fructose and mannose metabolism	Metabolism	0.009921685163894516	0.2419825040095168	0.6894684836817728	up
hsa00600	Sphingolipid metabolism	Metabolism	-0.00859646335609685	0.24470564392828856	0.6894684836817728	down
hsa04120	Ubiquitin mediated proteolysis	Signaling	0.006920297253160233	0.247409039257967	0.6894684836817728	up
hsa04330	Notch signaling pathway	Signaling	0.016005663138777194	0.2554531212735202	0.6894684836817728	up
hsa04520	Adherens junction	Signaling	0.012577056674514924	0.2584350368621286	0.6894684836817728	up
hsa00982	Drug metabolism - cytochrome P450	Metabolism	-0.006716750746294616	0.26015851996471573	0.6894684836817728	down
hsa00640	Propanoate metabolism	Metabolism	0.009996750967719948	0.2620418070826021	0.6894684836817728	up
hsa00510	N-Glycan biosynthesis	Metabolism	0.010870237154316082	0.26467293342536746	0.6894684836817728	up
hsa03320	PPAR signaling pathway	Signaling	0.009186311577004015	0.26566073548280916	0.6894684836817728	up
hsa04611	Platelet activation	Signaling	0.006776032575841407	0.2659599884226988	0.6894684836817728	up
hsa00071	Fatty acid degradation	Metabolism	0.006989322449732226	0.27094080191362707	0.6894684836817728	up
hsa03015	mRNA surveillance pathway	Signaling	0.008049982486338187	0.27563333067829643	0.6894684836817728	up
hsa04910	Insulin signaling pathway	Signaling	0.006351929858910417	0.277275072126682	0.6894684836817728	up
hsa04726	Serotonergic synapse	Signaling	0.006960161635260661	0.2791506543687178	0.6894684836817728	up
hsa04724	Glutamatergic synapse	Signaling	0.006870448405014614	0.28295628908925685	0.6905480864678293	up
hsa04976	Bile secretion	Signaling	0.006320409228757838	0.2962775570821614	0.6999469245070298	up
hsa03020	RNA polymerase	Signaling	-0.009301009957356344	0.297059905643362	0.6999469245070298	down
hsa04012	ErbB signaling pathway	Signaling	-0.005751107101748506	0.29930518858958954	0.6999469245070298	down
hsa04340	Hedgehog signaling pathway	Signaling	0.010018724551216107	0.30046502125179814	0.6999469245070298	up
hsa01040	Biosynthesis of unsaturated fatty acids	Metabolism	0.012957216619810287	0.3265694339460037	0.7422582596158954	up
hsa04916	Melanogenesis	Signaling	-0.005224515099456353	0.3303917952483558	0.7422582596158954	down
hsa04919	Thyroid hormone signaling pathway	Signaling	0.004203863995065795	0.3359689697612389	0.7422582596158954	up
hsa04110	Cell cycle	Signaling	0.006537529475813253	0.3366390387587903	0.7422582596158954	up
hsa00900	Terpenoid backbone biosynthesis	Metabolism	0.005909345253532293	0.34288368323063967	0.7422582596158954	up
hsa04621	NOD-like receptor signaling pathway	Signaling	0.0041897072929611276	0.3438730673885778	0.7422582596158954	up
hsa04151	PI3K-Akt signaling pathway	Signaling	0.00438561466625778	0.3439733398220003	0.7422582596158954	up
hsa00910	Nitrogen metabolism	Metabolism	0.016149199856963455	0.3484734033149185	0.7441359133287322	up
hsa04964	Proximal tubule bicarbonate reclamation	Signaling	0.012273125642955584	0.3589049479383183	0.7491449225827307	up
hsa04742	Taste transduction	Signaling	0.007105473845669258	0.3604639830778792	0.7491449225827307	up
hsa04921	Oxytocin signaling pathway	Signaling	0.004789342631549522	0.36178218212531876	0.7491449225827307	up
hsa00340	Histidine metabolism	Metabolism	-0.0072735711173388855	0.36882303697660535	0.7529447191128881	down
hsa04510	Focal adhesion	Signaling	-0.004643123030195206	0.37358396757650114	0.7529447191128881	down
hsa04961	Endocrine and other factor-regulated calcium reabsorption	Signaling	0.0061098273467032425	0.3746359090220224	0.7529447191128881	up
hsa00604	Glycosphingolipid biosynthesis - ganglio series	Metabolism	0.006291091132257401	0.38520027409892377	0.7555596497724656	up
hsa00770	Pantothenate and CoA biosynthesis	Metabolism	0.013894852672765402	0.3919202218408656	0.7555596497724656	up
hsa04146	Peroxisome	Signaling	0.004232688946068584	0.3936784574950739	0.7555596497724656	up
hsa01200	Carbon metabolism	Metabolism	0.0047181585199497274	0.3953062859542614	0.7555596497724656	up
