Kids_First_Biospecimen_ID	pathway	ssgsea_score	description	Type	cancer_group	gene_parsed_by	group
BS_P7EY9DXG	hsa00040	-0.38197597054259064	Pentose and glucuronate interconversions	Metabolism	ATRT	SLC7A5	upper
BS_N0877CX1	hsa00040	-0.3636579697187636	Pentose and glucuronate interconversions	Metabolism	ATRT	SLC7A5	lower
BS_31TF0P1N	hsa00040	-0.24570509914604202	Pentose and glucuronate interconversions	Metabolism	ATRT	SLC7A5	lower
BS_N0877CX1	hsa00061	-0.24231527615215673	Fatty acid biosynthesis	Metabolism	ATRT	SLC7A5	lower
BS_J483EMFP	hsa00040	-0.20215505859495453	Pentose and glucuronate interconversions	Metabolism	ATRT	SLC7A5	upper
BS_1QNTEZPS	hsa00040	-0.177498787345971	Pentose and glucuronate interconversions	Metabolism	ATRT	SLC7A5	lower
BS_MVW01FPB	hsa00040	-0.17034486548266783	Pentose and glucuronate interconversions	Metabolism	ATRT	SLC7A5	upper
BS_1QNTEZPS	hsa00592	-0.16949921172959356	alpha-Linolenic acid metabolism	Metabolism	ATRT	SLC7A5	lower
BS_P7EY9DXG	hsa00592	-0.16450057074411337	alpha-Linolenic acid metabolism	Metabolism	ATRT	SLC7A5	upper
BS_J483EMFP	hsa03420	-0.15791975119252152	Nucleotide excision repair	Signaling	ATRT	SLC7A5	upper
BS_J483EMFP	hsa00730	-0.15135961775534462	Thiamine metabolism	Metabolism	ATRT	SLC7A5	upper
BS_N0877CX1	hsa03420	-0.14022754859864572	Nucleotide excision repair	Signaling	ATRT	SLC7A5	lower
BS_MVW01FPB	hsa03420	-0.1399868007806461	Nucleotide excision repair	Signaling	ATRT	SLC7A5	upper
BS_P7EY9DXG	hsa03420	-0.13852078636461931	Nucleotide excision repair	Signaling	ATRT	SLC7A5	upper
BS_N0877CX1	hsa00592	-0.12264313203555233	alpha-Linolenic acid metabolism	Metabolism	ATRT	SLC7A5	lower
BS_31TF0P1N	hsa03420	-0.11333271281502448	Nucleotide excision repair	Signaling	ATRT	SLC7A5	lower
BS_1QNTEZPS	hsa03420	-0.10627709691251509	Nucleotide excision repair	Signaling	ATRT	SLC7A5	lower
BS_31TF0P1N	hsa00592	-0.10482417799284366	alpha-Linolenic acid metabolism	Metabolism	ATRT	SLC7A5	lower
BS_P7EY9DXG	hsa00061	-0.10333194016588947	Fatty acid biosynthesis	Metabolism	ATRT	SLC7A5	upper
BS_P7EY9DXG	hsa00730	-0.09064672254007451	Thiamine metabolism	Metabolism	ATRT	SLC7A5	upper
BS_MVW01FPB	hsa00900	-0.08485165811664347	Terpenoid backbone biosynthesis	Metabolism	ATRT	SLC7A5	upper
BS_31TF0P1N	hsa03430	-0.08445443574349706	Mismatch repair	Signaling	ATRT	SLC7A5	lower
BS_MVW01FPB	hsa00730	-0.08331747236565924	Thiamine metabolism	Metabolism	ATRT	SLC7A5	upper
BS_1QNTEZPS	hsa00061	-0.07807640198110856	Fatty acid biosynthesis	Metabolism	ATRT	SLC7A5	lower
BS_J483EMFP	hsa00900	-0.0744890700256026	Terpenoid backbone biosynthesis	Metabolism	ATRT	SLC7A5	upper
