Kids_First_Biospecimen_ID	pathway	ssgsea_score	description	Type	cancer_group	gene_parsed_by	group
BS_VJ2S5DVS	hsa00040	-0.41483263692193356	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_C05FKR8X	hsa00040	-0.3666778438048034	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_Q5WZYWCT	hsa00040	-0.35998498982720817	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00040	-0.34607856482493266	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_3X9WMZGJ	hsa00040	-0.3454955758852969	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_P78SMRBS	hsa00040	-0.3191806386712233	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_SAA624A4	hsa00040	-0.3144638542233576	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_0BXY0F9N	hsa00040	-0.3136392131124874	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_V4W81SFC	hsa00040	-0.29456161082387433	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_CXVJK2FY	hsa00040	-0.2940051605561429	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_TNRHHYNC	hsa00040	-0.29057292486298186	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	lower
BS_KBT7MQ6H	hsa00040	-0.2885553781644502	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_07ANYSYQ	hsa00040	-0.2836026567626648	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_1J2WQ08M	hsa00040	-0.21589301498797614	Pentose and glucuronate interconversions	Metabolism	EPN	SLC1A5	upper
BS_VJ2S5DVS	hsa00061	-0.21068607908852546	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_CXVJK2FY	hsa00061	-0.21060937002031924	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_Q5WZYWCT	hsa00061	-0.20678641817807564	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_SAA624A4	hsa00592	-0.20442625613633014	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	lower
BS_WYERXS4G	hsa03420	-0.2029176020509376	Nucleotide excision repair	Signaling	EPN	SLC1A5	upper
BS_CXVJK2FY	hsa03420	-0.1896945430816433	Nucleotide excision repair	Signaling	EPN	SLC1A5	upper
BS_SAA624A4	hsa03420	-0.18412985941819002	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00592	-0.18280886235595784	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	upper
BS_Q5WZYWCT	hsa03420	-0.1792954207201441	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_KBT7MQ6H	hsa03420	-0.1722135121489879	Nucleotide excision repair	Signaling	EPN	SLC1A5	upper
BS_KBT7MQ6H	hsa00061	-0.1702089090078072	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_VJ2S5DVS	hsa00730	-0.1690038175782157	Thiamine metabolism	Metabolism	EPN	SLC1A5	lower
BS_0BXY0F9N	hsa03420	-0.16767843827590087	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_C05FKR8X	hsa03420	-0.16467796527824008	Nucleotide excision repair	Signaling	EPN	SLC1A5	upper
BS_1J2WQ08M	hsa00061	-0.163759193484975	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_P78SMRBS	hsa03420	-0.15394903213781436	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_SAA624A4	hsa00830	-0.15093800495391688	Retinol metabolism	Metabolism	EPN	SLC1A5	lower
BS_0BXY0F9N	hsa00061	-0.14970158589559415	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00730	-0.14887578118434786	Thiamine metabolism	Metabolism	EPN	SLC1A5	upper
BS_3X9WMZGJ	hsa03420	-0.14274753586316563	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_C05FKR8X	hsa00061	-0.14270987743758823	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_07ANYSYQ	hsa03420	-0.1424936457453123	Nucleotide excision repair	Signaling	EPN	SLC1A5	upper
BS_SAA624A4	hsa04966	-0.14035360922205606	Collecting duct acid secretion	Signaling	EPN	SLC1A5	lower
BS_C05FKR8X	hsa00730	-0.13959914949804594	Thiamine metabolism	Metabolism	EPN	SLC1A5	upper
BS_TNRHHYNC	hsa00830	-0.13628757562723942	Retinol metabolism	Metabolism	EPN	SLC1A5	lower
BS_V4W81SFC	hsa03420	-0.13382329428125256	Nucleotide excision repair	Signaling	EPN	SLC1A5	upper
BS_C05FKR8X	hsa00592	-0.1311848816496972	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	upper
BS_C05FKR8X	hsa03022	-0.12578150796359766	Basal transcription factors	Signaling	EPN	SLC1A5	upper
BS_VJ2S5DVS	hsa03420	-0.12401055941914836	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_SAA624A4	hsa00061	-0.11939453304918403	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_Q5WZYWCT	hsa00900	-0.11869428926806763	Terpenoid backbone biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_CXVJK2FY	hsa03022	-0.1117726805750728	Basal transcription factors	Signaling	EPN	SLC1A5	upper
BS_V4W81SFC	hsa00730	-0.11041171719245754	Thiamine metabolism	Metabolism	EPN	SLC1A5	upper
BS_TNRHHYNC	hsa00592	-0.10966081762229372	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00900	-0.10807844890088018	Terpenoid backbone biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_TNRHHYNC	hsa00061	-0.10801780690777021	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_TNRHHYNC	hsa04966	-0.10706181344319211	Collecting duct acid secretion	Signaling	EPN	SLC1A5	lower
BS_CXVJK2FY	hsa00830	-0.1002403161966048	Retinol metabolism	Metabolism	EPN	SLC1A5	upper
BS_3X9WMZGJ	hsa00592	-0.09855520237074628	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	lower
BS_1J2WQ08M	hsa00830	-0.09846238577651326	Retinol metabolism	Metabolism	EPN	SLC1A5	upper
BS_VJ2S5DVS	hsa00592	-0.09679654626516287	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	lower
BS_07ANYSYQ	hsa00900	-0.09612550357646578	Terpenoid backbone biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_Q5WZYWCT	hsa04966	-0.09391971614204078	Collecting duct acid secretion	Signaling	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00830	-0.09246675004622304	Retinol metabolism	Metabolism	EPN	SLC1A5	upper
BS_0BXY0F9N	hsa00830	-0.09174595759390246	Retinol metabolism	Metabolism	EPN	SLC1A5	lower
BS_P78SMRBS	hsa00830	-0.08970679655355253	Retinol metabolism	Metabolism	EPN	SLC1A5	lower
BS_TNRHHYNC	hsa03420	-0.08943143711349089	Nucleotide excision repair	Signaling	EPN	SLC1A5	lower
BS_3X9WMZGJ	hsa00900	-0.08763042913084561	Terpenoid backbone biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_P78SMRBS	hsa00061	-0.08368589206990934	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_P78SMRBS	hsa04966	-0.08301348126474999	Collecting duct acid secretion	Signaling	EPN	SLC1A5	lower
BS_0BXY0F9N	hsa00730	-0.08176088932244618	Thiamine metabolism	Metabolism	EPN	SLC1A5	lower
BS_TNRHHYNC	hsa03060	-0.08015297256746305	Protein export	Signaling	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00061	-0.08005112851275563	Fatty acid biosynthesis	Metabolism	EPN	SLC1A5	upper
BS_WYERXS4G	hsa03430	-0.07882945076965452	Mismatch repair	Signaling	EPN	SLC1A5	upper
BS_V4W81SFC	hsa03430	-0.07815270720169769	Mismatch repair	Signaling	EPN	SLC1A5	upper
BS_07ANYSYQ	hsa00830	-0.07812568371278118	Retinol metabolism	Metabolism	EPN	SLC1A5	upper
BS_CXVJK2FY	hsa00592	-0.07784102842945179	alpha-Linolenic acid metabolism	Metabolism	EPN	SLC1A5	upper
BS_3X9WMZGJ	hsa04966	-0.07524454544482471	Collecting duct acid secretion	Signaling	EPN	SLC1A5	lower
BS_Q5WZYWCT	hsa00830	-0.07389981074850108	Retinol metabolism	Metabolism	EPN	SLC1A5	lower
BS_WYERXS4G	hsa00591	-0.07263320469243088	Linoleic acid metabolism	Metabolism	EPN	SLC1A5	upper
BS_TNRHHYNC	hsa00900	-0.06923065410870692	Terpenoid backbone biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_P78SMRBS	hsa00900	-0.06912691329011393	Terpenoid backbone biosynthesis	Metabolism	EPN	SLC1A5	lower
BS_3X9WMZGJ	hsa03430	-0.06438952172627836	Mismatch repair	Signaling	EPN	SLC1A5	lower
BS_0BXY0F9N	hsa03430	-0.06328680978524791	Mismatch repair	Signaling	EPN	SLC1A5	lower
BS_07ANYSYQ	hsa04614	-0.0626519582837614	Renin-angiotensin system	Signaling	EPN	SLC1A5	upper
BS_3X9WMZGJ	hsa03022	-0.06087285335159463	Basal transcription factors	Signaling	EPN	SLC1A5	lower
BS_VJ2S5DVS	hsa03022	-0.06024869908568823	Basal transcription factors	Signaling	EPN	SLC1A5	lower
BS_V4W81SFC	hsa00830	-0.05789157361139183	Retinol metabolism	Metabolism	EPN	SLC1A5	upper
