Kids_First_Biospecimen_ID	pathway	ssgsea_score	description	Type	cancer_group	gene_parsed_by	group
BS_KDSTG5YY	hsa00040	-0.39930508630114736	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_4FZS7TX4	hsa00040	-0.3992514158451701	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_PSW27ZTE	hsa00040	-0.3914396117042544	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_RCFQ31XF	hsa00040	-0.38412368239910133	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_WFD0GE5X	hsa00040	-0.38204593072784127	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_SDCNP7MW	hsa00040	-0.38086493554962575	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_C80S5N37	hsa00040	-0.38064844165050815	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_X67GTEM6	hsa00040	-0.3804799717044139	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_EVCAC3NH	hsa00040	-0.37804522213928693	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_PRAEF32W	hsa00040	-0.37494782145277683	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_T4P3J13C	hsa00040	-0.37484976581123736	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_TXY8QYWA	hsa00040	-0.3716911092208426	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_4SCWT0FX	hsa00040	-0.3687451819408187	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_8ZP3CBQA	hsa00040	-0.3633318123829564	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_EK5PCKY0	hsa00040	-0.360909650025957	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_7BTZQKYY	hsa00040	-0.35956019984600485	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_EMYET8F4	hsa00040	-0.35942016048997305	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_C05FKR8X	hsa00040	-0.35823100306280425	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_RHD7XPNP	hsa00040	-0.3572678166261738	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_XQYHPBFS	hsa00040	-0.3557269373815799	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_34201DKZ	hsa00040	-0.355038453840021	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_Q5WZYWCT	hsa00040	-0.3516923265808319	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_QXKRN6CR	hsa00040	-0.34837963799895455	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_7G42J2SK	hsa00040	-0.343436879178127	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_WYERXS4G	hsa00040	-0.338106251878607	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_4NWHYH53	hsa00040	-0.33783699856883626	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_3X9WMZGJ	hsa00040	-0.3375366927515728	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_74G5K7JF	hsa00040	-0.3374417086386631	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_N8J1DP02	hsa00040	-0.337241820105364	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_N5DVEJXT	hsa00040	-0.3293474958312478	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_FTKPQ5FZ	hsa00040	-0.31900608843269707	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_P78SMRBS	hsa00040	-0.3118279500145817	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_WRHDP7WF	hsa00040	-0.31077944123247436	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_SAA624A4	hsa00040	-0.307219822055562	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_0BXY0F9N	hsa00040	-0.30641417748961675	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_CZ3ER8DY	hsa00040	-0.30427396066735474	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_H4NXBD2D	hsa00040	-0.299202934654665	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_JHGW42S6	hsa00040	-0.2949385760485015	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_74G5K7JF	hsa00061	-0.2912800416430219	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_V4W81SFC	hsa00040	-0.287776049445204	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_CXVJK2FY	hsa00040	-0.2872324176416143	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_TNRHHYNC	hsa00040	-0.2838792473972633	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_W80TJC27	hsa00040	-0.2834152896791412	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_KBT7MQ6H	hsa00040	-0.2819081771792171	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_7G42J2SK	hsa00061	-0.2809865872598073	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_0XEG6SNV	hsa00040	-0.2801145306042959	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_07ANYSYQ	hsa00040	-0.2770695473420768	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_XF0ZX2B3	hsa00040	-0.24972365019255788	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_E4F1D721	hsa00040	-0.24622369486911128	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_MT15SGJN	hsa00040	-0.23978592489522196	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_G23JJAZY	hsa00040	-0.23848267180840818	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_SDCNP7MW	hsa00061	-0.23826024495183634	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_SDCNP7MW	hsa03420	-0.23817003772886267	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_J8VX4D17	hsa00040	-0.2356846723640075	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_H4NXBD2D	hsa00061	-0.23194144849077533	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_KDSTG5YY	hsa00061	-0.22957593216058306	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_0XEG6SNV	hsa03420	-0.22814627412705293	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_EK5PCKY0	hsa00061	-0.2242392985519218	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_W80TJC27	hsa00061	-0.21961235844687918	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_T1DVKKJB	hsa00040	-0.21189064875766037	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_1J2WQ08M	hsa00040	-0.21091967409562531	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_N5DVEJXT	hsa03420	-0.20837557042662336	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_WFD0GE5X	hsa03420	-0.2075484250063547	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_CXVJK2FY	hsa00061	-0.20575774389294021	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_Q5WZYWCT	hsa00061	-0.20202285808992243	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_7BTZQKYY	hsa03420	-0.20076055699695644	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_SAA624A4	hsa00592	-0.19971706506236409	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	lower
BS_WYERXS4G	hsa03420	-0.19824316453792262	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_T1DVKKJB	hsa03420	-0.19767909609888545	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_TBWYAFSM	hsa00730	-0.19604966407111027	Thiamine metabolism	Metabolism	EPN	FOLH1	lower
BS_0QYS36NR	hsa00040	-0.19602043181444886	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_N5DVEJXT	hsa00061	-0.1956210233558263	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_8ZP3CBQA	hsa03420	-0.19115665744812704	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_N8J1DP02	hsa03420	-0.19096384165482297	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_TBWYAFSM	hsa00040	-0.1907922395136397	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_TXY8QYWA	hsa03420	-0.1892539356859897	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_EMYET8F4	hsa03420	-0.18575149424945953	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_CXVJK2FY	hsa03420	-0.18532471375568624	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_EK5PCKY0	hsa03420	-0.1813003117698598	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_4FZS7TX4	hsa03420	-0.18129392985537449	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_H4NXBD2D	hsa00592	-0.1808891944562617	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	upper
BS_TBWYAFSM	hsa00061	-0.1804849009580126	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_SAA624A4	hsa03420	-0.17988821890287138	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_TBWYAFSM	hsa03420	-0.17886594459383212	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_WYERXS4G	hsa00592	-0.17859765250885068	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	lower
BS_RHD7XPNP	hsa03420	-0.1780953923200154	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_BJDNWMJH	hsa03420	-0.1774484785990673	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_QXKRN6CR	hsa00592	-0.17734598167789956	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	lower
BS_C80S5N37	hsa03420	-0.17709231041072312	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_Q5WZYWCT	hsa03420	-0.1751651469930001	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_T4P3J13C	hsa03420	-0.1751066414771021	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_34201DKZ	hsa03420	-0.17490934054292848	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_G23JJAZY	hsa00592	-0.17169787103646178	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	upper
BS_MA2T7ET1	hsa03420	-0.17161798865267014	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_CZ3ER8DY	hsa00061	-0.17110051654215166	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_BJDNWMJH	hsa00040	-0.16979812960055057	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	lower
BS_4NWHYH53	hsa00061	-0.16890125942489395	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_7G42J2SK	hsa03420	-0.1687031133146076	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_KBT7MQ6H	hsa03420	-0.16824637823206326	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_QXKRN6CR	hsa03420	-0.16787338898379278	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_74G5K7JF	hsa03420	-0.16745188799577765	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_KBT7MQ6H	hsa00061	-0.16628795340181832	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_0BXY0F9N	hsa03420	-0.16381577493827734	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_MT15SGJN	hsa03420	-0.16255171527771314	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_C05FKR8X	hsa03420	-0.1608844212451781	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_1J2WQ08M	hsa00061	-0.1599868144040558	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_KDSTG5YY	hsa03420	-0.15904405721769382	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_G23JJAZY	hsa03420	-0.15775950446715906	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_CZ3ER8DY	hsa03420	-0.1577524333609873	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_J8VX4D17	hsa03420	-0.1571696537649131	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_PSW27ZTE	hsa03420	-0.1558618543000372	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_RCFQ31XF	hsa03420	-0.1555626258628635	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_XQYHPBFS	hsa03420	-0.15502991620325876	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_CZ3ER8DY	hsa00592	-0.15115869415400507	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	upper
BS_MT15SGJN	hsa00592	-0.1509595545151788	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	lower
BS_X67GTEM6	hsa03420	-0.15092502089070625	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_P78SMRBS	hsa03420	-0.15040264126958053	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_H4NXBD2D	hsa03420	-0.14901621263012768	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_N8J1DP02	hsa00730	-0.14864964455836643	Thiamine metabolism	Metabolism	EPN	FOLH1	lower
BS_SAA624A4	hsa00830	-0.14746097651791595	Retinol metabolism	Metabolism	EPN	FOLH1	lower
BS_0BXY0F9N	hsa00061	-0.1462530397773893	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	lower
BS_WYERXS4G	hsa00730	-0.14544625841592468	Thiamine metabolism	Metabolism	EPN	FOLH1	lower
BS_JHGW42S6	hsa03420	-0.14528625649026825	Nucleotide excision repair	Signaling	EPN	FOLH1	upper
BS_4NWHYH53	hsa00592	-0.14469341730078017	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	lower
BS_3X9WMZGJ	hsa03420	-0.13945918418847095	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_C05FKR8X	hsa00061	-0.13942239326751324	Fatty acid biosynthesis	Metabolism	EPN	FOLH1	upper
BS_07ANYSYQ	hsa03420	-0.13921114271794577	Nucleotide excision repair	Signaling	EPN	FOLH1	lower
BS_KXMYBQ6N	hsa00040	-0.1375048864378265	Pentose and glucuronate interconversions	Metabolism	EPN	FOLH1	upper
BS_SAA624A4	hsa04966	-0.13712040436745734	Collecting duct acid secretion	Signaling	EPN	FOLH1	lower
BS_EK5PCKY0	hsa00592	-0.1370569005473245	alpha-Linolenic acid metabolism	Metabolism	EPN	FOLH1	lower
