Kids_First_Biospecimen_ID	pathway	ssgsea_score	description	Type	cancer_group	gene_parsed_by	group
BS_J71N7D09	hsa00040	-0.444285788795232	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_2SFTWNVE	hsa00040	-0.3918898941604521	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_J8G4SH4Z	hsa00040	-0.386220863511563	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_DFWFBYSN	hsa00040	-0.38257859109362913	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_5PJCHF6V	hsa00040	-0.38249589584877436	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_3V3KE3VT	hsa00040	-0.37362887759195507	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_QPPPGYP4	hsa00040	-0.37148546861212606	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_HTEPAKCM	hsa00040	-0.3704166732843136	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_HZE3KYZ1	hsa00040	-0.369793598094343	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_V9HVBBDW	hsa00040	-0.3574870455636494	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_BSV07M7Z	hsa00040	-0.3570894893807414	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_Z45HD492	hsa00040	-0.3566272761647192	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_7XQRH69M	hsa00040	-0.35402058823953797	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_3NWQXPQV	hsa00040	-0.34305667034737675	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_H4B5Y6S0	hsa00040	-0.3406211305311113	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_HD4EJYE3	hsa00040	-0.3398382487325784	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_A87NPZAP	hsa00040	-0.33041550437251305	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_VPBMDMQX	hsa00040	-0.32022396548417814	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_1TWCV047	hsa00040	-0.3188448104559137	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_BPWEFR89	hsa00040	-0.3184601000578451	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_RD4D5F9F	hsa00040	-0.30300652466525885	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_M15PW2N0	hsa00040	-0.29846286031834895	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_81SP2HX4	hsa00040	-0.29821896303747997	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_4PH1MBGR	hsa00040	-0.2970105655872121	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
BS_V72H4RQS	hsa00040	-0.29370316677849284	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_ZV68CES9	hsa00040	-0.28751542245319595	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_JZRM1S3T	hsa00040	-0.27173641415355887	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	upper
BS_CHDGRYHJ	hsa00040	-0.2602670704338188	Pentose and glucuronate interconversions	Metabolism	Medullo	SLC1A5	lower
