Kids_First_Biospecimen_ID	pathway	ssgsea_score	description	Type	cancer_group	gene_parsed_by	group
BS_NZ71XCG3	hsa00040	-0.4223543447828475	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_2SFTWNVE	hsa00040	-0.39969653967139807	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_KN92S7YQ	hsa00040	-0.3992786202161824	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_J8G4SH4Z	hsa00040	-0.39391457905588817	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_5PJCHF6V	hsa00040	-0.3901154081474521	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_4CP4T22V	hsa00040	-0.3900909306657448	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_A14Z8BBK	hsa00040	-0.387599233396485	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_BA6AZWB3	hsa00040	-0.3828008711409288	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_3V3KE3VT	hsa00040	-0.3810717543884126	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_QPPPGYP4	hsa00040	-0.37888564761428	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_HTEPAKCM	hsa00040	-0.3777955613413008	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_Z7PKVY9J	hsa00040	-0.3740185580459754	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_7FWZ518S	hsa00040	-0.3718735309956615	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_V9HVBBDW	hsa00040	-0.36460836887679454	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_ERWT0ZWE	hsa00040	-0.36297477929062566	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_AM70R8RG	hsa00040	-0.3594350447448071	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_W311713R	hsa00040	-0.35559527572430033	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_3NWQXPQV	hsa00040	-0.34989053326518627	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_TE0GVDNG	hsa00040	-0.34898158148115255	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_HHPA8NJ2	hsa00040	-0.348834292251146	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_YEB88D32	hsa00040	-0.3484375661741999	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_H4B5Y6S0	hsa00040	-0.3474064762601475	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_WH5HDE0A	hsa00040	-0.345241556647047	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_7C40TRCY	hsa00040	-0.340357092522928	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_9NZ2D6AD	hsa00040	-0.3402385387534245	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_A87NPZAP	hsa00040	-0.33699754885080346	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_AMZ70B6F	hsa00040	-0.33476379621126096	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_EFE4YEK3	hsa00040	-0.33421757853519923	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_JFB984RG	hsa00040	-0.3293491842063469	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_TZVFR600	hsa00040	-0.3279867538821865	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_VJVDJABP	hsa00040	-0.32691755585573873	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_BPWEFR89	hsa00040	-0.32480398681679806	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_S1M423AB	hsa00040	-0.323138319700087	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_TA9WP4TH	hsa00040	-0.320437817308151	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_J1AB8PMA	hsa00040	-0.3196512604170041	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_3MYEMXPQ	hsa00040	-0.31928807008316196	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_VMEX27TN	hsa00040	-0.31642941157338716	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_4W68NV3M	hsa00040	-0.31297946770172125	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_R6WNEEE4	hsa00040	-0.30476786749739926	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_81SP2HX4	hsa00040	-0.3041596360779598	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_NKEAAFMW	hsa00040	-0.3016066006946947	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_K74PZET7	hsa00040	-0.30074371786432896	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_V72H4RQS	hsa00040	-0.2995538828664744	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_AHEFXG7W	hsa00040	-0.2980312275497517	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_VA5T4KAA	hsa00040	-0.297895778272137	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_G00FHF3Q	hsa00040	-0.2976180380850158	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_HKZENFDA	hsa00040	-0.2965190365663402	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_8GW1TMV2	hsa00040	-0.2953111577065318	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_ZV68CES9	hsa00040	-0.2932428755349613	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_TYAYZ9ZW	hsa00040	-0.28915145838611583	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_E3BAT4C1	hsa00040	-0.28522681172444264	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_1BWP5MCT	hsa00040	-0.28030496009106015	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_HB03GSHF	hsa00040	-0.2774216824503912	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_JZRM1S3T	hsa00040	-0.2771495413847599	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_HZRM07TW	hsa00040	-0.26971880540296617	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_CHDGRYHJ	hsa00040	-0.2654517225193287	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_KVNGNETA	hsa00040	-0.2614503247977619	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_HE57E1RP	hsa00040	-0.25734966916954816	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_TW8DQH8J	hsa00040	-0.25142580649852414	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_D144EJRQ	hsa00040	-0.25002103872983666	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_YETBN0RQ	hsa00040	-0.24121997669752487	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_JTMXAMB7	hsa00040	-0.2118656823248829	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_8T7DZV2F	hsa00040	-0.21082463382886088	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_4D9DD103	hsa00040	-0.18720501412869583	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	lower
BS_NKEAAFMW	hsa03420	-0.18099129391786975	Nucleotide excision repair	Signaling	Medullo	FOLH1	lower
BS_VMEX27TN	hsa03420	-0.17850229810975105	Nucleotide excision repair	Signaling	Medullo	FOLH1	upper
BS_QPPPGYP4	hsa03420	-0.1780668346366159	Nucleotide excision repair	Signaling	Medullo	FOLH1	lower
BS_3NWQXPQV	hsa03420	-0.17622110989814796	Nucleotide excision repair	Signaling	Medullo	FOLH1	lower
BS_VJVDJABP	hsa03420	-0.1734646486845856	Nucleotide excision repair	Signaling	Medullo	FOLH1	lower
BS_K81DR8XG	hsa00040	-0.1729398309782882	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_N4B1SZZH	hsa00040	-0.16697163706014462	Pentose and glucuronate interconversions	Metabolism	Medullo	FOLH1	upper
BS_YETBN0RQ	hsa03420	-0.16645670579562838	Nucleotide excision repair	Signaling	Medullo	FOLH1	lower
BS_Z7PKVY9J	hsa03420	-0.16141305099040698	Nucleotide excision repair	Signaling	Medullo	FOLH1	upper
BS_A14Z8BBK	hsa03420	-0.15955612856405696	Nucleotide excision repair	Signaling	Medullo	FOLH1	upper
