pathway	logFC	P.Value	adj.P.Val	direction
Asparagine synthesis from glutamine	0.13462919186549346	0.020679763604622522	0.20679763604622522	up
GSH synthesis from glutamate	-0.06901623734808401	0.06590198624081837	0.2130619402752857	down
Proline synthesis from glutamine	0.09261923805409086	0.0711811682379378	0.2130619402752857	up
Serine synthesis from glutamine	-0.08585203606539178	0.08522477611011428	0.2130619402752857	down
Glutamate synthesis	0.03745321620745544	0.2730506037663927	0.5461012075327853	up
Oxidative phosphorylation	-0.011077372943667157	0.7082787078500683	0.9278708119040778	down
Pyrimidine de novo synthesis from glutamine	-0.011539645017042324	0.8256652916726324	0.9278708119040778	down
Combined pathways	0.010853539008436584	0.8297336438721681	0.9278708119040778	up
UDP-GlcNAc synthesis from glutamine	0.008194332032608524	0.83508373071367	0.9278708119040778	up
Purine de novo synthesis from glutamine	-2.967195843610875e-17	0.9999999999999991	0.9999999999999991	down
