pathway	logFC	P.Value	adj.P.Val	direction
GSH synthesis from glutamate	-0.06589670925341422	0.024111998484759957	0.08608930986796894	down
Serine synthesis from glutamine	0.10072666346511826	0.02439857717910763	0.08608930986796894	up
UDP-GlcNAc synthesis from glutamine	-0.0538054645680609	0.02582679296039068	0.08608930986796894	down
Purine de novo synthesis from glutamine	0.0374548563427409	0.09199387725357935	0.22998469313394837	up
Asparagine synthesis from glutamine	-0.06420832515898443	0.16061966708419634	0.3212393341683927	down
Proline synthesis from glutamine	0.023372689115773223	0.3660715148293773	0.6101191913822955	up
Pyrimidine de novo synthesis from glutamine	0.016052081289746094	0.59319855728106885	0.7424822281796726	up
Combined pathways	-0.015275540213887646	0.593985782543738	0.7424822281796726	down
Oxidative phosphorylation	0.0038929222793341457	0.7292314273418515	0.7500404144538786	up
Glutamate synthesis	0.007398385879464756	0.7500404144538786	0.7500404144538786	up
