rowname	coef	exp(coef)	se(coef)	z	Pr(>|z|)
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E	-3.314217244262456	0.036362500396291665	444559.732913228	-7.4550549653793005e-6	0.9999940517267432
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, FGFR	24.398742449499267	39467463063.53296	168498.2033197873	1.4480120243889888e-4	0.9998844653565921
harmonized_diagnosisLow-grade glioma/astrocytoma, H3	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, IDH	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, KIAA1549-BRAF	-3.9456093045832255	0.019339429176212734	444559.73291322833	-8.875318686034373e-6	0.9999929185202482
harmonized_diagnosisLow-grade glioma/astrocytoma, MYB/MYBL1	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-germline	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic, FGFR	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK, IDH	-0.13719708567643776	0.871798390224013	444559.73291322833	-3.086133887506556e-7	0.9999997537621419
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK, CDKN2A/B	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, wildtype	-2.1018359342371813	0.12223181255670465	258353.29839000784	-8.135510354755636e-6	0.9999935088018936
CNS_regionMidline	0	1	0	NA	NA
CNS_regionMixed	-18.248361047296193	1.188057590546135e-8	33850.03034858563	-5.390943777413385e-4	0.999569864940019
CNS_regionOptic pathway	0	1	0	NA	NA
CNS_regionPosterior fossa	3.4474762591907098	31.420993716046564	33373.48235933837	1.0329986610540381e-4	0.999917578631848
CNS_regionSpine	0	1	0	NA	NA
CNS_regionSuprasellar	0	1	168498.2033197873	0	1
CNS_regionVentricles	0	1	0	NA	NA
SLC7A5	0.04917383647358011	1.0504029332115696	1846.980255414281	2.6623910206636362e-5	0.9999787571931004
