rowname	coef	exp(coef)	se(coef)	z	Pr(>|z|)
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E	2.3885087593422834e-4	1.0002388794030759	1.3170916925836893	1.813471888701109e-4	0.9998553058786486
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	-18.001479583884496	1.520746237439813e-8	27084.107148290284	-6.646510252423389e-4	0.9994696852476826
harmonized_diagnosisLow-grade glioma/astrocytoma, FGFR	-5.581639956776676	0.003766383744710826	2.5538721223615894	-2.1855596871527307	0.028847834674193596
harmonized_diagnosisLow-grade glioma/astrocytoma, H3	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, IDH	0.1965650622520488	1.2172145130194	1.6050584571262028	0.12246598332872637	0.9025299845426491
harmonized_diagnosisLow-grade glioma/astrocytoma, KIAA1549-BRAF	-2.1234192897125097	0.11962190647727008	1.4025045612556641	-1.514019525049822	0.13002088747748627
harmonized_diagnosisLow-grade glioma/astrocytoma, MYB/MYBL1	-20.998518354618277	7.59380342055884e-10	24381.34584545211	-8.612534553146976e-4	0.9993128192500198
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-germline	-18.5081802882422	9.162192891812253e-9	24381.345810550876	-7.591123325207463e-4	0.9993943160481378
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic	-18.011719533496812	1.5052533312621245e-8	14703.59872888926	-0.0012249871521662135	0.999022601908551
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic, FGFR	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK	-19.21011431098439	4.541019407577094e-9	9038.87125131663	-0.0021252780105907787	0.9983042747644797
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK, IDH	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK	0.08009373402994864	1.0833886132964687	1.6652632933187184	0.048096739026973395	0.9616391450792865
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK, CDKN2A/B	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, wildtype	-2.40534325074458	0.09023451722818678	1.3931637258059741	-1.7265330744618972	0.08425155437772318
CNS_regionMidline	-17.645387042175393	2.1712297275758787e-8	11104.93167007422	-0.001588968538160979	0.9987321870693
CNS_regionMixed	-0.08357232338149818	0.9198245594430045	0.959297476365284	-0.08711825626618795	0.9305775141544025
CNS_regionOptic pathway	-16.083306486197575	1.0354013866863473e-7	41096.33546375803	-3.913562195924037e-4	0.9996877429225839
CNS_regionPosterior fossa	1.5183945515928572	4.564890612707749	0.8324063644421262	1.8241025254660037	0.06813657381473759
CNS_regionSpine	3.19831987366306	24.491347053143546	1.4982639264177124	2.134683894652734	0.032786839411802736
CNS_regionSuprasellar	4.143508347675082	63.0235425385865	1.283568725966391	3.2281156932640753	0.0012460856650159512
CNS_regionVentricles	2.2201445796958064	9.208662155214412	1.4553179279325388	1.525539222106471	0.12712465839415285
SLC7A5	0.06732463007234585	1.0696426599928195	0.03848131808981787	1.749540645026915	0.08019760942327314
