rowname	coef	exp(coef)	se(coef)	z	Pr(>|z|)
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E	-0.05065602395819368	0.9506055998528329	1.3840417868658934	-0.036600068320843254	0.9708038890560119
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	-18.675265622141445	7.752382494794423e-9	28764.484488521837	-6.49247360215811e-4	0.9994819755915348
harmonized_diagnosisLow-grade glioma/astrocytoma, FGFR	-2.915496287836113	0.054177136905869595	1.8020486855288989	-1.617878757243686	0.10568872911414455
harmonized_diagnosisLow-grade glioma/astrocytoma, H3	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, IDH	-0.38651995736513484	0.6794171658628729	1.7837082689789572	-0.21669460420587125	0.8284463533205679
harmonized_diagnosisLow-grade glioma/astrocytoma, KIAA1549-BRAF	-1.6115395040161933	0.19958012304305928	1.4080311232115148	-1.1445340074163313	0.2524022427844226
harmonized_diagnosisLow-grade glioma/astrocytoma, MYB/MYBL1	-18.544881927992307	8.832021368337676e-9	24740.76484607797	-7.495678506047534e-4	0.9994019314407326
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-germline	-18.581560808543312	8.513941772928747e-9	24740.76484523388	-7.510503787890336e-4	0.9994007485547165
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic	-18.32473549221252	1.1006988010000399e-8	13582.876671083539	-0.0013491056376315246	0.9989235697673743
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic, FGFR	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK	-18.907621824502176	6.145032380709542e-9	9276.983307743321	-0.0020381217899487158	0.9983738152166098
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK, IDH	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK	-0.1585609146843065	0.8533709793838377	1.731017636854187	-0.09159982619961193	0.9270159895435276
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK, CDKN2A/B	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, wildtype	-2.2284981197340192	0.10769004629673014	1.4558909590960218	-1.5306765289055146	0.12584935736884356
CNS_regionMidline	-17.43307156297442	2.684807903223017e-8	12268.500285305603	-0.0014209619071252416	0.9988662368143523
CNS_regionMixed	0.06079272287426751	1.0626786223868327	1.000857724260561	0.06074062416731759	0.9515657779851354
CNS_regionOptic pathway	-17.230445698830476	3.287853910592672e-8	45275.89764321615	-3.805655237276599e-4	0.9996963526515733
CNS_regionPosterior fossa	1.3327526283240476	3.791465532256505	0.8704179873022933	1.5311639324626998	0.12572888231327736
CNS_regionSpine	2.3097335453174876	10.071740634991372	1.3809637271859276	1.6725519286622899	0.09441553701162723
CNS_regionSuprasellar	3.4185446981314436	30.524959650087627	1.1147783271458254	3.0665690342975784	0.0021653080121595138
CNS_regionVentricles	1.3093552306144924	3.703784855076925	1.38911146638232	0.9425847113799026	0.3458933629117906
FOLH1	0.04763490980649967	1.0487876833208185	0.12902689229831318	0.36918590348100955	0.7119891622767368
