rowname	coef	exp(coef)	se(coef)	z	Pr(>|z|)
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E	3.5842924771800555	36.027858167358545	444559.73291322956	8.062566651486738e-6	0.9999935670025484
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, FGFR	26.584713960786456	351232403936.9782	168498.26134214178	1.5777441113653534e-4	0.9998741142337867
harmonized_diagnosisLow-grade glioma/astrocytoma, H3	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, IDH	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, KIAA1549-BRAF	3.3926143676779024	29.743611447707423	444559.73291322915	7.631402748615754e-6	0.9999939110215696
harmonized_diagnosisLow-grade glioma/astrocytoma, MYB/MYBL1	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-germline	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic, FGFR	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK, IDH	0.9417231038060211	2.564396334641733	444559.73291322944	2.118327491414589e-6	0.9999983098191999
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK, CDKN2A/B	0	1	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, wildtype	4.236446084376204	69.16161999245956	258353.29847209543	1.639787883270931e-5	0.9999869163856501
CNS_regionMidline	0	1	0	NA	NA
CNS_regionMixed	-24.151998527583086	3.242801106508411e-11	33850.03034858567	-7.135000553579182e-4	0.9994307093700007
CNS_regionOptic pathway	0	1	0	NA	NA
CNS_regionPosterior fossa	-3.1926022093367408	0.041064872388790606	33373.48405564555	-9.566283831839461e-5	0.9999236720983795
CNS_regionSpine	0	1	0	NA	NA
CNS_regionSuprasellar	0	1	168498.26134214178	0	1
CNS_regionVentricles	0	1	0	NA	NA
FOLH1	-0.8333830847919785	0.43457658715013187	198305.23323680874	-4.2025269388467595e-06	0.9999966468686391
