rowname	coef	exp(coef)	se(coef)	z	Pr(>|z|)
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E	0.8510010556335307	2.3419901412733983	0.6052189273033058	1.406104497467329	0.15969309708193793
harmonized_diagnosisLow-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	0.7966101536448897	2.218009459161843	1.1364002412055965	0.7009943545944459	0.48330653834853593
harmonized_diagnosisLow-grade glioma/astrocytoma, FGFR	0.07741769980106906	1.080493303985333	0.9556228631733439	0.08101281665027095	0.9354317597961446
harmonized_diagnosisLow-grade glioma/astrocytoma, H3	0.9400344470453923	2.560069603644245	1.1300465926750383	0.8318545917829365	0.4054910251500754
harmonized_diagnosisLow-grade glioma/astrocytoma, IDH	0.5192605426782133	1.6807843217884861	0.7824313954001763	0.6636499324169327	0.5069143910750709
harmonized_diagnosisLow-grade glioma/astrocytoma, KIAA1549-BRAF	1.0644787179681132	2.8993272228810496	0.6134990357221966	1.7350943619903723	0.08272409278226887
harmonized_diagnosisLow-grade glioma/astrocytoma, MYB/MYBL1	1.095060782852535	2.9893643799655703	0.9433819769424335	1.1607819627863816	0.24573057998468298
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-germline	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, NF1-somatic, FGFR	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK	1.4868931711955502	4.423331614955115	0.6192399944691748	2.401158168845579	0.016343270593056708
harmonized_diagnosisLow-grade glioma/astrocytoma, other MAPK, IDH	-1.0690927179322267	0.3433198641139335	1.1377058103223734	-0.9396917096075084	0.34737571886224483
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK	1.5104280595831037	4.528668919597845	0.9139003281067779	1.6527273414072228	0.09838636728208872
harmonized_diagnosisLow-grade glioma/astrocytoma, RTK, CDKN2A/B	NA	NA	0	NA	NA
harmonized_diagnosisLow-grade glioma/astrocytoma, wildtype	0.4912027317920564	1.6342806396660232	0.5547608178187262	0.8854315517873541	0.3759239214455852
CNS_regionMidline	-0.5868573491105975	0.5560720820773537	0.6041167633110802	-0.971430333921068	0.33133402919758387
CNS_regionMixed	-0.49658989119968194	0.6086025258897407	0.4961974233314553	-1.0007909510403976	0.3169278852480338
CNS_regionOptic pathway	1.281503875790899	3.6020526941771904	1.0946076899796873	1.170742620869656	0.24170224791039954
CNS_regionPosterior fossa	-0.4489980821664971	0.6382673227830504	0.3251228039515884	-1.3810107341266473	0.1672756602417632
CNS_regionSpine	-1.1259602479936075	0.3243408701072098	0.6472532047872339	-1.7395977952148338	0.08192966667353282
CNS_regionSuprasellar	-0.7782524637303095	0.45920779280330215	0.5730516957271827	-1.3580842174155583	0.17443696258413946
CNS_regionVentricles	0.028917407823171693	1.029339575567989	0.5120883066692813	0.056469572623628055	0.954967734362307
SLC7A5	-0.008435908464457461	0.9915995739657398	0.016030822654443545	-0.5262305401475533	0.5987280370893765
