Pair Compared	DIFF	LWR	UPR	P.adj
GTExBrain - Hippocampus-GTExBrain - Cerebellum	20.34388214333419	16.05927781529428	24.628486471374103	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Cerebellum	60.080090926018535	55.45174042444164	64.70844142759543	3.137046178380842e-11
GTExBrain - Substantia nigra-GTExBrain - Cerebellum	27.462473849867443	22.59349007492221	32.33145762481268	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Cortex	55.356210144284915	50.278110902092955	60.434309386476876	3.137046178380842e-11
GTExBrain - Substantia nigra-GTExBrain - Cortex	22.738593068133827	17.44024742550316	28.036938710764495	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Frontal Cortex (BA9)	55.487539071951275	50.199168619401256	60.775909524501294	3.137046178380842e-11
GTExBrain - Substantia nigra-GTExBrain - Frontal Cortex (BA9)	22.869921995800183	17.369718665137132	28.370125326463235	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Hippocampus	39.73620878268434	34.378698790892685	45.093718774476	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Hippocampus	-22.159563703119566	-28.27008930235175	-16.049038103887383	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Hypothalamus	48.338391023725634	43.010577449609926	53.66620459784134	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Nucleus accumbens (basal ganglia)	54.13471294677166	49.02106221575099	59.24836367779233	3.137046178380842e-11
GTExBrain - Substantia nigra-GTExBrain - Nucleus accumbens (basal ganglia)	21.517095870620565	16.18466692743707	26.84952481380406	3.137046178380842e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Putamen (basal ganglia)	47.66507473538941	42.35445915754269	52.97569031323613	3.137046178380842e-11
GTExBrain - Substantia nigra-GTExBrain - Spinal cord (cervical c-1)	-32.61761707615109	-38.45303326224862	-26.782200890053563	3.137046178380842e-11
lgg_cohort_Hemispheric-GTExBrain - Spinal cord (cervical c-1)	-60.10878354297755	-67.24734734590984	-52.97021974004525	3.137046178380842e-11
lgg_cohort_Midline-GTExBrain - Spinal cord (cervical c-1)	-62.58714465408873	-76.16090253805255	-49.01338677012491	3.137046178380842e-11
lgg_cohort_Mixed-GTExBrain - Spinal cord (cervical c-1)	-61.916144654088804	-74.41359685561918	-49.41869245255843	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Spinal cord (cervical c-1)	-61.89577248580391	-68.25205419891738	-55.53949077269045	3.137046178380842e-11
lgg_cohort_Suprasellar-GTExBrain - Spinal cord (cervical c-1)	-61.99447798742202	-77.03900491374544	-46.9499510610986	3.137046178380842e-11
lgg_cohort_Ventricles-GTExBrain - Spinal cord (cervical c-1)	-62.49934978229388	-76.9958661780388	-48.00283338654897	3.137046178380842e-11
lgg_cohort_Hemispheric-GTExBrain - Substantia nigra	-27.491166466826456	-34.788047156804055	-20.194285776848858	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Substantia nigra	-29.278155409652822	-35.81173726432438	-22.744573554981265	3.137046178380842e-11
GTExBrain - Hippocampus-GTExBrain - Cortex	15.620001361600572	10.853105327915571	20.386897395285573	3.1392444199696e-11
GTExBrain - Hippocampus-GTExBrain - Frontal Cortex (BA9)	15.751330289266928	10.7610329107718	20.741627667762057	3.150146810071419e-11
GTExBrain - Hypothalamus-GTExBrain - Cerebellum	11.741699902292902	7.494286758243632	15.989113046342172	3.1521008025947594e-11
lgg_cohort_Spine-GTExBrain - Spinal cord (cervical c-1)	-62.263811320755444	-85.08866623481073	-39.43895640670016	3.1525448918046095e-11
GTExBrain - Substantia nigra-GTExBrain - Putamen (basal ganglia)	15.047457659238315	9.525862559006766	20.569052759469862	3.152622607416333e-11
GTExBrain - Putamen (basal ganglia)-GTExBrain - Cerebellum	12.41501619062913	8.189195708003401	16.64083667325486	3.152833549791012e-11
lgg_cohort_Hemispheric-GTExBrain - Hippocampus	-20.3725747602932	-27.293217725433536	-13.451931795152868	3.1529889810144596e-11
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Hippocampus	-14.39850416408731	-19.20325490489369	-9.593753423280932	3.153322047921847e-11
GTExBrain - Substantia nigra-GTExBrain - Hypothalamus	15.720773947574543	10.182635982900457	21.258911912248628	3.1539548750458835e-11
lgg_cohort_Posterior fossa-GTExBrain - Putamen (basal ganglia)	-14.230697750414507	-20.300149752234162	-8.161245748594851	3.168354467675272e-11
lgg_cohort_Mixed-GTExBrain - Substantia nigra	-29.298527577937712	-41.88708135368054	-16.70997380219488	3.175248952658194e-11
lgg_cohort_Posterior fossa-GTExBrain - Hypothalamus	-13.557381462078279	-19.641886969287228	-7.472875954869331	3.3942182398050136e-11
lgg_cohort_Midline-GTExBrain - Substantia nigra	-29.96952757793764	-43.6272095821323	-16.31184557374298	3.741396081835546e-11
lgg_cohort_Ventricles-GTExBrain - Substantia nigra	-29.88173270614279	-44.45686091303462	-15.306604499250964	2.591281633712583e-10
lgg_cohort_Suprasellar-GTExBrain - Substantia nigra	-29.37686091127093	-44.49715075876073	-14.25657106378113	2.9933369116719177e-9
lgg_cohort_Hemispheric-GTExBrain - Putamen (basal ganglia)	-12.443708807588141	-19.328113179388737	-5.559304435787544	6.27729543900557e-8
lgg_cohort_Mixed-GTExBrain - Hippocampus	-22.179935871404457	-34.55420423005692	-9.805667512751993	8.710918253385103e-8
GTExBrain - Hypothalamus-GTExBrain - Hippocampus	-8.602182241041287	-13.634259681119374	-3.5701048009632013	5.035385109986024e-7
lgg_cohort_Hemispheric-GTExBrain - Hypothalamus	-11.770392519251914	-18.66807207250245	-4.872712966001376	5.361968524741911e-7
lgg_cohort_Midline-GTExBrain - Hippocampus	-22.85093587140439	-36.31136338968482	-9.390508353123954	6.425917709051987e-7
lgg_cohort_Optic pathway-GTExBrain - Spinal cord (cervical c-1)	-60.692811320755375	-96.45046748061688	-24.935155160893864	6.465728699112105e-7
GTExBrain - Putamen (basal ganglia)-GTExBrain - Cortex	7.691135408895512	2.9770053407405612	12.405265477050463	2.437658312537394e-6
GTExBrain - Putamen (basal ganglia)-GTExBrain - Frontal Cortex (BA9)	7.822464336561869	2.8825460751595458	12.762382597964192	6.212567545738068e-6
lgg_cohort_Ventricles-GTExBrain - Hippocampus	-22.763140999609536	-37.153595943582374	-8.372686055636702	6.418583928802235e-6
GTExBrain - Putamen (basal ganglia)-GTExBrain - Hippocampus	-7.92886595270506	-12.942731098286806	-2.915000807123314	6.472296200099592e-6
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Cerebellum	5.94537797924688	1.9699101156389847	9.920845842854774	3.217593883020342e-5
lgg_cohort_Suprasellar-GTExBrain - Hippocampus	-22.25826920473768	-37.20062498685188	-7.315913422623481	3.581154084919547e-5
GTExBrain - Hypothalamus-GTExBrain - Cortex	7.017819120559285	2.284323375938194	11.751314865180376	4.0648678702459584e-5
GTExBrain - Hypothalamus-GTExBrain - Frontal Cortex (BA9)	7.1491480482256415	2.1907458767393955	12.107550219711888	8.379875091035771e-5
GTExBrain - Putamen (basal ganglia)-GTExBrain - Nucleus accumbens (basal ganglia)	6.46963821138225	1.7172331166117871	11.222043306152713	3.288513480876887e-4
lgg_cohort_Posterior fossa-GTExBrain - Nucleus accumbens (basal ganglia)	-7.7610595390322565	-13.658943361692094	-1.8631757163724192	6.856806460333598e-4
lgg_cohort_Spine-GTExBrain - Substantia nigra	-29.646194244604352	-52.521057664588014	-6.771330824620694	9.377177577440943e-4
GTExBrain - Substantia nigra-GTExBrain - Hippocampus	7.118591706533255	1.5518792164382038	12.685304196628307	0.001224661589143361
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Hypothalamus	-5.796321923046023	-10.567937357012134	-1.02470648907991	0.003184318537458708
GTExBrain - Cortex-GTExBrain - Cerebellum	4.723880781733618	0.7942481208782208	8.653513442589015	0.0038186741847764383
lgg_cohort_Mixed-GTExBrain - Putamen (basal ganglia)	-14.251069918699397	-26.605107392961337	-1.8970324444374569	0.007511523935217479
