Pair Compared	DIFF	LWR	UPR	P.adj
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, IDH	-6.774519230769158	-11.691002142356414	-1.8580363191819025	3.582576090566114e-4
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, KIAA1549-BRAF	2.2686518838304544	0.5967132727231044	3.9405904949378043	4.925010183935985e-4
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, BRAF V600E	6.617499999999927	1.500262342996204	11.734737657003649	0.0012565453894701761
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, FGFR	6.66035714285707	0.6124286388198223	12.708285646894318	0.015923778311933923
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	7.24249999999993	0.41951645732829945	14.065483542671561	0.0254058180209652
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma (WHO grade I/II)	5.706249999999892	-0.2026270775568868	11.615127077556672	0.07111978971579758
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, BRAF V600E	2.111632653061223	-0.0814691999403725	4.304734506062818	0.07317523708178242
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, IDH	-5.523749999999929	-11.432627077556708	0.3851270775568505	0.09609296275866896
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, IDH	-4.986071428571359	-10.456628594058717	0.4844857369159996	0.1193923194751042
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, IDH	-4.505867346938704	-9.523504133609297	0.5117694397318893	0.13466470189606505
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, IDH	-6.610833333333264	-13.980497854926444	0.7588311882599159	0.13582685163380837
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, IDH	-5.822499999999926	-14.17891410147622	2.533914101476369	0.5386666923738792
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, IDH	-7.137499999999928	-17.92558421634343	3.6505842163435744	0.6294011641194318
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, KIAA1549-BRAF	1.7884478021977992	-0.9584951344549932	4.535390738850592	0.6560742256836019
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, IDH	-6.917499999999905	-17.705584216343407	3.8705842163435973	0.6805695511269229
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, IDH	-6.737499999999918	-17.52558421634342	4.050584216343585	0.7207976746999442
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, H3	6.7174999999998954	-4.070584216343607	17.505584216343397	0.7251524892063388
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, IDH	-6.127499999999925	-16.915584216343426	4.660584216343578	0.8398130132260833
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, FGFR	2.1544897959183658	-1.7443579427511375	6.053337534587869	0.8663628960779186
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	2.736632653061226	-2.281004133609367	7.75426943973182	0.8778140239841388
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, BRAF V600E	1.631428571428568	-1.4604984192285733	4.723355562085709	0.9034268939574999
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	2.256428571428571	-3.2141285940587876	7.726985736915929	0.9883767468337705
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, FGFR	1.6742857142857104	-2.7924055071043905	6.140976935675811	0.9956152486156068
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, MYB/MYBL1	2.10496598639456	-3.6339824939641305	7.84391446675325	0.9965211196419136
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, KIAA1549-BRAF	1.2507692307692293	-2.2895030912474708	4.791041552785929	0.9976854216161124
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma (WHO grade I/II)	1.2003826530611883	-2.479074211349375	4.879839517471752	0.9990577471458784
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma (WHO grade I/II)	-1.0682692307692663	-4.608541552785966	2.4720030912474336	0.9996239550908078
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	1.7187500000000009	-4.190127077556778	7.62762707755678	0.9997587178908336
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, BRAF V600E	1.093749999999998	-2.7204137526940277	4.907913752694023	0.9997972981688052
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, RTK	1.0178826530612253	-2.6615742113493384	4.697339517471789	0.9998699466788407
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, NF1-somatic	2.631632653061224	-7.115486693612535	12.378751999734984	0.9999040356588544
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, MYB/MYBL1	1.6247619047619044	-4.514117996174944	7.763641805698754	0.9999253253639961
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B-Low-grade glioma/astrocytoma (WHO grade I/II)	-1.5362500000000379	-7.445127077556817	4.372627077556741	0.9999404353603729
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	2.411632653061202	-7.335486693612557	12.158751999734962	0.9999684454076171
