Pair Compared	DIFF	LWR	UPR	P.adj
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Cerebellum	-27.74015875053508	-34.73934227232248	-20.74097522874768	3.137046178380842e-11
lgg_cohort_Hemispheric-GTExBrain - Cerebellum	-41.768530701755736	-52.98864010527261	-30.548421298238868	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Cerebellum	-42.59317066939117	-52.24553420106634	-32.940807137716	3.137046178380842e-11
GTExBrain - Hippocampus-GTExBrain - Cortex	-33.13608101921074	-41.52864796069326	-24.743514077728218	3.137046178380842e-11
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Cortex	-46.10107412721293	-54.0080428165546	-38.194105437871265	3.137046178380842e-11
GTExBrain - Putamen (basal ganglia)-GTExBrain - Cortex	-39.98873103778187	-48.28839855481427	-31.689063520749464	3.137046178380842e-11
lgg_cohort_Hemispheric-GTExBrain - Cortex	-60.12944607843359	-71.93717401015088	-48.32171814671629	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Cortex	-60.95408604606902	-71.28364100406127	-50.624531088076786	3.137046178380842e-11
lgg_cohort_Hemispheric-GTExBrain - Frontal Cortex (BA9)	-41.64094696969774	-53.73139984259363	-29.55049409680184	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Frontal Cortex (BA9)	-42.465586937333164	-53.117174490014776	-31.813999384651552	3.137046178380842e-11
lgg_cohort_Hemispheric-GTExBrain - Hypothalamus	-42.3042466996707	-54.448257599526585	-30.160235799814817	3.137046178380842e-11
lgg_cohort_Posterior fossa-GTExBrain - Hypothalamus	-43.12888666730613	-53.84122849608212	-32.41654483853015	3.137046178380842e-11
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Hypothalamus	-28.275874748450043	-36.67675063615313	-19.87499886074696	3.137123893992566e-11
GTExBrain - Nucleus accumbens (basal ganglia)-GTExBrain - Frontal Cortex (BA9)	-27.612575018477074	-35.935841541693144	-19.289308495261004	3.137778925577095e-11
lgg_cohort_Posterior fossa-GTExBrain - Substantia nigra	-37.9454966822649	-49.44847948187048	-26.44251388265933	3.1380675835634975e-11
lgg_cohort_Posterior fossa-GTExBrain - Spinal cord (cervical c-1)	-36.506990596567675	-47.697819890779854	-25.316161302355496	3.140065985007823e-11
GTExBrain - Putamen (basal ganglia)-GTExBrain - Hypothalamus	-22.16353165901898	-30.935021995309864	-13.392041322728094	3.150724126044224e-11
lgg_cohort_Posterior fossa-GTExBrain - Hippocampus	-27.81800502685828	-38.576157664719545	-17.05985238899701	3.151101601872597e-11
GTExBrain - Putamen (basal ganglia)-GTExBrain - Frontal Cortex (BA9)	-21.50023192904601	-30.19742070792983	-12.80304315016219	3.152789140870027e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Cortex	-24.447095449501347	-33.38756478729013	-15.506626111712567	3.1528113453305195e-11
GTExBrain - Putamen (basal ganglia)-GTExBrain - Cerebellum	-21.627815661104016	-29.06776841705036	-14.187862905157672	3.152922367632982e-11
GTExBrain - Substantia nigra-GTExBrain - Cortex	-23.00858936380412	-32.33682311815256	-13.68035560945568	3.1530333899354446e-11
lgg_cohort_Ventricles-GTExBrain - Cortex	-70.02640120663843	-95.18314521847515	-44.8696571948017	3.1531222077774146e-11
lgg_cohort_Mixed-GTExBrain - Cortex	-61.73319607843475	-83.31082800737771	-40.155564149491795	3.153188821158892e-11
lgg_cohort_Hemispheric-GTExBrain - Substantia nigra	-37.12085671462947	-49.96769860543269	-24.27401482382625	3.1532110256193846e-11
lgg_cohort_Midline-GTExBrain - Cortex	-57.90086274509869	-81.40774122484018	-34.393984265357204	3.153222127849631e-11
GTExBrain - Substantia nigra-GTExBrain - Nucleus accumbens (basal ganglia)	23.092484763408812	13.704244166147303	32.48072536067032	3.1533775590730784e-11
lgg_cohort_Hemispheric-GTExBrain - Spinal cord (cervical c-1)	-35.68235062893224	-48.250460811910116	-23.114240445954362	3.15396597727613e-11
GTExBrain - Cortex-GTExBrain - Cerebellum	18.360915376677852	11.442429022325712	25.279401731029992	3.155664618503806e-11
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Nucleus accumbens (basal ganglia)	21.653978677711585	12.650917614037471	30.6570397413857	3.157119010666065e-11
lgg_cohort_Suprasellar-GTExBrain - Cortex	-62.52569607843211	-88.66076906784477	-36.39062308901946	3.158528993907339e-11
GTExBrain - Frontal Cortex (BA9)-GTExBrain - Cortex	-18.48849910873586	-26.744021447157927	-10.23297677031379	3.330546949342761e-11
lgg_cohort_Hemispheric-GTExBrain - Hippocampus	-26.99336505922285	-39.17780519649614	-14.808924921949565	3.4904301671190296e-11
GTExBrain - Hypothalamus-GTExBrain - Cortex	-17.82519937876289	-26.158961983030395	-9.491436774495382	5.626232812971921e-11
lgg_cohort_Ventricles-GTExBrain - Cerebellum	-51.66548582996057	-76.55183119030856	-26.779140469612585	1.5180046109009027e-10
lgg_cohort_Ventricles-GTExBrain - Hypothalamus	-52.201201827875536	-77.51752721493447	-26.8848764408166	2.019542311160194e-10
lgg_cohort_Mixed-GTExBrain - Cerebellum	-43.3722807017569	-64.63404487546481	-22.110516528048983	3.240808732485334e-10
lgg_cohort_Ventricles-GTExBrain - Frontal Cortex (BA9)	-51.537902097902574	-76.82857984760598	-26.24722434819917	3.3942948451937127e-10
lgg_cohort_Mixed-GTExBrain - Hypothalamus	-43.90799669967186	-65.67146980226512	-22.144523597078607	5.355134113926852e-10
lgg_cohort_Mixed-GTExBrain - Frontal Cortex (BA9)	-43.24469696969889	-64.97833015476941	-21.511063784628377	1.0122388482969313e-9
lgg_cohort_Posterior fossa-GTExBrain - Putamen (basal ganglia)	-20.965355008287155	-31.651193730892828	-10.279516285681481	1.9251471528036745e-9
GTExBrain - Hippocampus-GTExBrain - Cerebellum	-14.77516564253289	-22.318612864108456	-7.231718420957325	2.0779044040963868e-9
lgg_cohort_Ventricles-GTExBrain - Substantia nigra	-47.017811842834305	-72.67869017805351	-21.356933507615093	3.6483957410737844e-8
lgg_cohort_Ventricles-GTExBrain - Spinal cord (cervical c-1)	-45.57930575713708	-71.10178063593946	-20.0568308783347	1.0038778486265443e-7
lgg_cohort_Mixed-GTExBrain - Substantia nigra	-38.72460671463063	-60.887934698459645	-16.561278730801618	2.2872460991862908e-7
GTExBrain - Substantia nigra-GTExBrain - Putamen (basal ganglia)	16.980141673977748	7.258856339665087	26.70142700829041	2.3134988058615136e-7
GTExBrain - Hypothalamus-GTExBrain - Hippocampus	15.310881640447853	6.4514379957471935	24.170325285148515	3.4116037428422175e-7
lgg_cohort_Suprasellar-GTExBrain - Cerebellum	-44.16478070175426	-70.03968082290173	-18.289880580606795	5.314558576552386e-7
lgg_cohort_Midline-GTExBrain - Cerebellum	-39.53994736842084	-62.757220076014306	-16.322674660827374	5.750003239102242e-7
lgg_cohort_Suprasellar-GTExBrain - Hypothalamus	-44.70049669966922	-70.98921294805777	-18.411780451280674	6.075199432409306e-7
lgg_cohort_Mixed-GTExBrain - Spinal cord (cervical c-1)	-37.286100628933404	-59.289035758659935	-15.28316549920687	6.83986493776878e-7
lgg_cohort_Midline-GTExBrain - Hypothalamus	-40.0756633663358	-63.753245542049925	-16.398081190621678	7.131833970053236e-7
lgg_cohort_Suprasellar-GTExBrain - Frontal Cortex (BA9)	-44.037196969696254	-70.30121516806389	-17.773178771328624	9.852283192612887e-7
GTExBrain - Hippocampus-GTExBrain - Frontal Cortex (BA9)	-14.647581910474884	-23.43346784357947	-5.861695977370294	1.1951571960988616e-6
lgg_cohort_Midline-GTExBrain - Frontal Cortex (BA9)	-39.41236363636283	-63.062521090882946	-15.762206181842707	1.212123442950741e-6
GTExBrain - Spinal cord (cervical c-1)-GTExBrain - Putamen (basal ganglia)	15.54163558828052	6.191799463764852	24.89147171279619	1.3202189246275253e-6
